; Candidate 10012
; ADRP+ADD at VM 0xfffffff008c60110 (fileoff 0x1c5c110): page=0x1fe6e6000 add_imm=0xd03

0xfffffff008c60090: 29000014  b	#0xfffffff008c60134
0xfffffff008c60094: 96008052  mov	w22, #4
0xfffffff008c60098: 603640f9  ldr	x0, [x19, #0x68]
0xfffffff008c6009c: 400300b4  cbz	x0, #0xfffffff008c60104
0xfffffff008c600a0: 100040f9  ldr	x16, [x0]
0xfffffff008c600a4: f10300aa  mov	x17, x0
0xfffffff008c600a8: 5158f7f2  movk	x17, #0xbac2, lsl #48
0xfffffff008c600ac: 301ac1da  autda	x16, x17
0xfffffff008c600b0: 080e44f8  ldr	x8, [x16, #0x40]!
0xfffffff008c600b4: e90310aa  mov	x9, x16
0xfffffff008c600b8: f10309aa  mov	x17, x9
0xfffffff008c600bc: 916bfcf2  movk	x17, #0xe35c, lsl #48
0xfffffff008c600c0: 11093fd7  blraa	x8, x17
0xfffffff008c600c4: 000200b4  cbz	x0, #0xfffffff008c60104
0xfffffff008c600c8: 100040f9  ldr	x16, [x0]
0xfffffff008c600cc: f10300aa  mov	x17, x0
0xfffffff008c600d0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008c600d4: 301ac1da  autda	x16, x17
0xfffffff008c600d8: 088e47f8  ldr	x8, [x16, #0x78]!
0xfffffff008c600dc: e90310aa  mov	x9, x16
0xfffffff008c600e0: 2a37ffd0  adrp	x10, #0xfffffff007346000
0xfffffff008c600e4: 4a0d3191  add	x10, x10, #0xc43
0xfffffff008c600e8: ea5b00a9  stp	x10, x22, [sp]
0xfffffff008c600ec: 2137ffd0  adrp	x1, #0xfffffff007346000
0xfffffff008c600f0: 210c3491  add	x1, x1, #0xd03
0xfffffff008c600f4: f10309aa  mov	x17, x9
0xfffffff008c600f8: 310be8f2  movk	x17, #0x4059, lsl #48
0xfffffff008c600fc: 11093fd7  blraa	x8, x17
0xfffffff008c60100: 07000014  b	#0xfffffff008c6011c
0xfffffff008c60104: 2837ffd0  adrp	x8, #0xfffffff007346000
0xfffffff008c60108: 080d3191  add	x8, x8, #0xc43
0xfffffff008c6010c: e85b00a9  stp	x8, x22, [sp]
0xfffffff008c60110: 2037ffd0  adrp	x0, #0xfffffff007346000
0xfffffff008c60114: 000c3491  add	x0, x0, #0xd03
0xfffffff008c60118: 0e3de097  bl	#0xfffffff00846f550
0xfffffff008c6011c: 48008052  mov	w8, #2
0xfffffff008c60120: 680a00b9  str	w8, [x19, #8]
0xfffffff008c60124: 620e40b9  ldr	w2, [x19, #0xc]
0xfffffff008c60128: e00313aa  mov	x0, x19
0xfffffff008c6012c: 01048052  mov	w1, #0x20
0xfffffff008c60130: 93f9ff97  bl	#0xfffffff008c5e77c
0xfffffff008c60134: 680a40b9  ldr	w8, [x19, #8]
0xfffffff008c60138: 9f02086b  cmp	w20, w8
0xfffffff008c6013c: 81000054  b.ne	#0xfffffff008c6014c
0xfffffff008c60140: 680e40b9  ldr	w8, [x19, #0xc]
0xfffffff008c60144: bf02086b  cmp	w21, w8
0xfffffff008c60148: c0030054  b.eq	#0xfffffff008c601c0
0xfffffff008c6014c: 603640f9  ldr	x0, [x19, #0x68]
0xfffffff008c60150: 800300b4  cbz	x0, #0xfffffff008c601c0
0xfffffff008c60154: 100040f9  ldr	x16, [x0]
0xfffffff008c60158: f10300aa  mov	x17, x0
0xfffffff008c6015c: 5158f7f2  movk	x17, #0xbac2, lsl #48
0xfffffff008c60160: 301ac1da  autda	x16, x17
0xfffffff008c60164: 080e44f8  ldr	x8, [x16, #0x40]!
0xfffffff008c60168: e90310aa  mov	x9, x16
0xfffffff008c6016c: f10309aa  mov	x17, x9
0xfffffff008c60170: 916bfcf2  movk	x17, #0xe35c, lsl #48
0xfffffff008c60174: 11093fd7  blraa	x8, x17
0xfffffff008c60178: 400200b4  cbz	x0, #0xfffffff008c601c0
0xfffffff008c6017c: 100040f9  ldr	x16, [x0]
0xfffffff008c60180: f10300aa  mov	x17, x0
0xfffffff008c60184: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008c60188: 301ac1da  autda	x16, x17
0xfffffff008c6018c: 088e47f8  ldr	x8, [x16, #0x78]!
