; Candidate 6632
; ADRP+ADD at VM 0xfffffff008836aa8 (fileoff 0x1832aa8): page=0x1fe9b3000 add_imm=0xe80

0xfffffff008836a28: c1008052  mov	w1, #6
0xfffffff008836a2c: 69130194  bl	#0xfffffff00887b7d0
0xfffffff008836a30: c0040034  cbz	w0, #0xfffffff008836ac8
0xfffffff008836a34: 200f8052  mov	w0, #0x79
0xfffffff008836a38: 78130194  bl	#0xfffffff00887b818
0xfffffff008836a3c: f60300aa  mov	x22, x0
0xfffffff008836a40: dbf50194  bl	#0xfffffff0088b41ac
0xfffffff008836a44: f50300aa  mov	x21, x0
0xfffffff008836a48: c0008052  mov	w0, #6
0xfffffff008836a4c: 81130194  bl	#0xfffffff00887b850
0xfffffff008836a50: 76010034  cbz	w22, #0xfffffff008836a7c
0xfffffff008836a54: f35302a9  stp	x19, x20, [sp, #0x20]
0xfffffff008836a58: 684fffb0  adrp	x8, #0xfffffff007223000
0xfffffff008836a5c: 08490991  add	x8, x8, #0x252
0xfffffff008836a60: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008836a64: 280f8052  mov	w8, #0x79
0xfffffff008836a68: f52300a9  stp	x21, x8, [sp]
0xfffffff008836a6c: e04efff0  adrp	x0, #0xfffffff007215000
0xfffffff008836a70: 00a81591  add	x0, x0, #0x56a
0xfffffff008836a74: 7b02d697  bl	#0xfffffff007db7460
0xfffffff008836a78: 14000014  b	#0xfffffff008836ac8
0xfffffff008836a7c: ccf50194  bl	#0xfffffff0088b41ac
0xfffffff008836a80: f50300aa  mov	x21, x0
0xfffffff008836a84: c0008052  mov	w0, #6
0xfffffff008836a88: 72130194  bl	#0xfffffff00887b850
0xfffffff008836a8c: e80314aa  mov	x8, x20
0xfffffff008836a90: f32302a9  stp	x19, x8, [sp, #0x20]
0xfffffff008836a94: 684fffb0  adrp	x8, #0xfffffff007223000
0xfffffff008836a98: 08490991  add	x8, x8, #0x252
0xfffffff008836a9c: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008836aa0: 280f8052  mov	w8, #0x79
0xfffffff008836aa4: f52300a9  stp	x21, x8, [sp]
0xfffffff008836aa8: 804dfff0  adrp	x0, #0xfffffff0071e9000
0xfffffff008836aac: 00003a91  add	x0, x0, #0xe80
0xfffffff008836ab0: 818effd0  adrp	x1, #0xfffffff007a08000
0xfffffff008836ab4: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008836ab8: c350ff90  adrp	x3, #0xfffffff00724e000
0xfffffff008836abc: 63380991  add	x3, x3, #0x24e
0xfffffff008836ac0: 02008052  mov	w2, #0
0xfffffff008836ac4: 9bf1eb97  bl	#0xfffffff008333130
0xfffffff008836ac8: e00314aa  mov	x0, x20
0xfffffff008836acc: fd7b47a9  ldp	x29, x30, [sp, #0x70]
0xfffffff008836ad0: f44f46a9  ldp	x20, x19, [sp, #0x60]
0xfffffff008836ad4: f65745a9  ldp	x22, x21, [sp, #0x50]
0xfffffff008836ad8: ff030291  add	sp, sp, #0x80
0xfffffff008836adc: ff0f5fd6  retab	
0xfffffff008836ae0: 75da40b9  ldr	w21, [x19, #0xd8]
0xfffffff008836ae4: e00313aa  mov	x0, x19
0xfffffff008836ae8: b7f7ff97  bl	#0xfffffff0088349c4
0xfffffff008836aec: f40300aa  mov	x20, x0
0xfffffff008836af0: a0f9ff35  cbnz	w0, #0xfffffff008836a24
0xfffffff008836af4: 61da40b9  ldr	w1, [x19, #0xd8]
0xfffffff008836af8: bf02016b  cmp	w21, w1
0xfffffff008836afc: 40e9ff54  b.eq	#0xfffffff008836824
0xfffffff008836b00: 600a40f9  ldr	x0, [x19, #0x10]
0xfffffff008836b04: d5feff97  bl	#0xfffffff008836658
0xfffffff008836b08: f40300aa  mov	x20, x0
0xfffffff008836b0c: c6ffff17  b	#0xfffffff008836a24
0xfffffff008836b10: 7f2303d5  pacibsp	
0xfffffff008836b14: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff008836b18: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff008836b1c: fd430091  add	x29, sp, #0x10
0xfffffff008836b20: f30300aa  mov	x19, x0
0xfffffff008836b24: b8fcff97  bl	#0xfffffff008835e04
