; Candidate 5420
; ADRP+ADD at VM 0xfffffff0087efeb8 (fileoff 0x17ebeb8): page=0x1fea25000 add_imm=0xd8a

0xfffffff0087efe38: 0065803d  str	q0, [x8, #0x190]
0xfffffff0087efe3c: 200543ad  ldp	q0, q1, [x9, #0x60]
0xfffffff0087efe40: 008509ad  stp	q0, q1, [x8, #0x130]
0xfffffff0087efe44: 210144ad  ldp	q1, q0, [x9, #0x80]
0xfffffff0087efe48: 01810aad  stp	q1, q0, [x8, #0x150]
0xfffffff0087efe4c: 200541ad  ldp	q0, q1, [x9, #0x20]
0xfffffff0087efe50: 008507ad  stp	q0, q1, [x8, #0xf0]
0xfffffff0087efe54: 210142ad  ldp	q1, q0, [x9, #0x40]
0xfffffff0087efe58: 018108ad  stp	q1, q0, [x8, #0x110]
0xfffffff0087efe5c: 210140ad  ldp	q1, q0, [x9]
0xfffffff0087efe60: 60920891  add	x0, x19, #0x224
0xfffffff0087efe64: 018106ad  stp	q1, q0, [x8, #0xd0]
0xfffffff0087efe68: e14ffff0  adrp	x1, #0xfffffff0071ee000
0xfffffff0087efe6c: 21803091  add	x1, x1, #0xc20
0xfffffff0087efe70: 82828052  mov	w2, #0x414
0xfffffff0087efe74: c772d597  bl	#0xfffffff007d4c990
0xfffffff0087efe78: 000f8052  mov	w0, #0x78
0xfffffff0087efe7c: e1008052  mov	w1, #7
0xfffffff0087efe80: 542e0294  bl	#0xfffffff00887b7d0
0xfffffff0087efe84: 400d0034  cbz	w0, #0xfffffff0087f002c
0xfffffff0087efe88: 000f8052  mov	w0, #0x78
0xfffffff0087efe8c: 632e0294  bl	#0xfffffff00887b818
0xfffffff0087efe90: f60300aa  mov	x22, x0
0xfffffff0087efe94: c6100394  bl	#0xfffffff0088b41ac
0xfffffff0087efe98: f50300aa  mov	x21, x0
0xfffffff0087efe9c: e0008052  mov	w0, #7
0xfffffff0087efea0: 6c2e0294  bl	#0xfffffff00887b850
0xfffffff0087efea4: 560a0034  cbz	w22, #0xfffffff0087effec
0xfffffff0087efea8: 68024239  ldrb	w8, [x19, #0x80]
0xfffffff0087efeac: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087efeb0: 080f8052  mov	w8, #0x78
0xfffffff0087efeb4: f52300a9  stp	x21, x8, [sp]
0xfffffff0087efeb8: 2051ffb0  adrp	x0, #0xfffffff007214000
0xfffffff0087efebc: 00283691  add	x0, x0, #0xd8a
0xfffffff0087efec0: 681dd797  bl	#0xfffffff007db7460
0xfffffff0087efec4: 5a000014  b	#0xfffffff0087f002c
0xfffffff0087efec8: b9100394  bl	#0xfffffff0088b41ac
0xfffffff0087efecc: f60300aa  mov	x22, x0
0xfffffff0087efed0: 80008052  mov	w0, #4
0xfffffff0087efed4: 5f2e0294  bl	#0xfffffff00887b850
0xfffffff0087efed8: f4cf03a9  stp	x20, x19, [sp, #0x38]
0xfffffff0087efedc: 2851ffb0  adrp	x8, #0xfffffff007214000
0xfffffff0087efee0: 08652591  add	x8, x8, #0x959
0xfffffff0087efee4: 09508052  mov	w9, #0x280
0xfffffff0087efee8: e8d702a9  stp	x8, x21, [sp, #0x28]
0xfffffff0087efeec: 2851ffb0  adrp	x8, #0xfffffff007214000
0xfffffff0087efef0: 08b53291  add	x8, x8, #0xcad
0xfffffff0087efef4: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0087efef8: 080f8052  mov	w8, #0x78
0xfffffff0087efefc: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0087eff00: f60300f9  str	x22, [sp]
0xfffffff0087eff04: c04fffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087eff08: 00003a91  add	x0, x0, #0xe80
0xfffffff0087eff0c: c190ffb0  adrp	x1, #0xfffffff007a08000
0xfffffff0087eff10: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087eff14: 8352ff90  adrp	x3, #0xfffffff00723f000
0xfffffff0087eff18: 63141991  add	x3, x3, #0x645
0xfffffff0087eff1c: 02008052  mov	w2, #0
0xfffffff0087eff20: 840ced97  bl	#0xfffffff008333130
0xfffffff0087eff24: 167d8012  mov	w22, #-0x3e9
0xfffffff0087eff28: e00316aa  mov	x0, x22
0xfffffff0087eff2c: fd7b4ba9  ldp	x29, x30, [sp, #0xb0]
0xfffffff0087eff30: f44f4aa9  ldp	x20, x19, [sp, #0xa0]
0xfffffff0087eff34: f65749a9  ldp	x22, x21, [sp, #0x90]
