; Candidate 504
; ADRP+ADD at VM 0xfffffff007f4bfb4 (fileoff 0xf47fb4): page=0x1ff114000 add_imm=0xd71

0xfffffff007f4bf34: 030080d2  mov	x3, #0
0xfffffff007f4bf38: c4ffff97  bl	#0xfffffff007f4be48
0xfffffff007f4bf3c: 00feff35  cbnz	w0, #0xfffffff007f4befc
0xfffffff007f4bf40: 941a40f9  ldr	x20, [x20, #0x30]
0xfffffff007f4bf44: 34ffffb5  cbnz	x20, #0xfffffff007f4bf28
0xfffffff007f4bf48: ecffff17  b	#0xfffffff007f4bef8
0xfffffff007f4bf4c: 7f2303d5  pacibsp	
0xfffffff007f4bf50: ffc300d1  sub	sp, sp, #0x30
0xfffffff007f4bf54: f44f01a9  stp	x20, x19, [sp, #0x10]
0xfffffff007f4bf58: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff007f4bf5c: fd830091  add	x29, sp, #0x20
0xfffffff007f4bf60: f30300aa  mov	x19, x0
0xfffffff007f4bf64: 140440f9  ldr	x20, [x0, #8]
0xfffffff007f4bf68: b40000b4  cbz	x20, #0xfffffff007f4bf7c
0xfffffff007f4bf6c: e00314aa  mov	x0, x20
0xfffffff007f4bf70: 14000094  bl	#0xfffffff007f4bfc0
0xfffffff007f4bf74: e00314aa  mov	x0, x20
0xfffffff007f4bf78: 71ffff97  bl	#0xfffffff007f4bd3c
0xfffffff007f4bf7c: 7f0600f9  str	xzr, [x19, #8]
0xfffffff007f4bf80: 881701d0  adrp	x8, #0xfffffff00a23d000
0xfffffff007f4bf84: 09854eb9  ldr	w9, [x8, #0xe84]
0xfffffff007f4bf88: 2a050051  sub	w10, w9, #1
0xfffffff007f4bf8c: 0a850eb9  str	w10, [x8, #0xe84]
0xfffffff007f4bf90: a9000034  cbz	w9, #0xfffffff007f4bfa4
0xfffffff007f4bf94: fd7b42a9  ldp	x29, x30, [sp, #0x20]
0xfffffff007f4bf98: f44f41a9  ldp	x20, x19, [sp, #0x10]
0xfffffff007f4bf9c: ffc30091  add	sp, sp, #0x30
0xfffffff007f4bfa0: ff0f5fd6  retab	
0xfffffff007f4bfa4: a888ff90  adrp	x8, #0xfffffff00705f000
0xfffffff007f4bfa8: 08513691  add	x8, x8, #0xd94
0xfffffff007f4bfac: 49768052  mov	w9, #0x3b2
0xfffffff007f4bfb0: e82700a9  stp	x8, x9, [sp]
0xfffffff007f4bfb4: a088ff90  adrp	x0, #0xfffffff00705f000
0xfffffff007f4bfb8: 00c43591  add	x0, x0, #0xd71
0xfffffff007f4bfbc: 54211594  bl	#0xfffffff00849450c
0xfffffff007f4bfc0: 7f2303d5  pacibsp	
0xfffffff007f4bfc4: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff007f4bfc8: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff007f4bfcc: fd430091  add	x29, sp, #0x10
0xfffffff007f4bfd0: 131040f9  ldr	x19, [x0, #0x20]
0xfffffff007f4bfd4: 330100b4  cbz	x19, #0xfffffff007f4bff8
0xfffffff007f4bfd8: 680240b9  ldr	w8, [x19]
0xfffffff007f4bfdc: e8000035  cbnz	w8, #0xfffffff007f4bff8
0xfffffff007f4bfe0: 04000014  b	#0xfffffff007f4bff0
0xfffffff007f4bfe4: f7ffff97  bl	#0xfffffff007f4bfc0
0xfffffff007f4bfe8: 604640f9  ldr	x0, [x19, #0x88]
0xfffffff007f4bfec: 54ffff97  bl	#0xfffffff007f4bd3c
0xfffffff007f4bff0: 604640f9  ldr	x0, [x19, #0x88]
0xfffffff007f4bff4: 80ffffb5  cbnz	x0, #0xfffffff007f4bfe4
0xfffffff007f4bff8: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff007f4bffc: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff007f4c000: ff0f5fd6  retab	
0xfffffff007f4c004: 7f2303d5  pacibsp	
0xfffffff007f4c008: ff4304d1  sub	sp, sp, #0x110
0xfffffff007f4c00c: fc6f0ba9  stp	x28, x27, [sp, #0xb0]
0xfffffff007f4c010: fa670ca9  stp	x26, x25, [sp, #0xc0]
0xfffffff007f4c014: f85f0da9  stp	x24, x23, [sp, #0xd0]
0xfffffff007f4c018: f6570ea9  stp	x22, x21, [sp, #0xe0]
0xfffffff007f4c01c: f44f0fa9  stp	x20, x19, [sp, #0xf0]
0xfffffff007f4c020: fd7b10a9  stp	x29, x30, [sp, #0x100]
0xfffffff007f4c024: fd030491  add	x29, sp, #0x100
0xfffffff007f4c028: ff4b00f9  str	xzr, [sp, #0x90]
0xfffffff007f4c02c: 00e4006f  movi	v0.2d, #0000000000000000
0xfffffff007f4c030: e08303ad  stp	q0, q0, [sp, #0x70]
