; Candidate 15084
; ADRP+ADD at VM 0xfffffff009a91278 (fileoff 0x2a8d278): page=0x1fdb7f000 add_imm=0xd5f

0xfffffff009a911f8: 21c30551  sub	w1, w25, #0x170
0xfffffff009a911fc: 030080d2  mov	x3, #0
0xfffffff009a91200: 040080d2  mov	x4, #0
0xfffffff009a91204: 050080d2  mov	x5, #0
0xfffffff009a91208: 4e030094  bl	#0xfffffff009a91f40
0xfffffff009a9120c: 68e24239  ldrb	w8, [x19, #0xb8]
0xfffffff009a91210: a8030036  tbz	w8, #0, #0xfffffff009a91284
0xfffffff009a91214: 22f39097  bl	#0xfffffff007ecde9c
0xfffffff009a91218: 60020034  cbz	w0, #0xfffffff009a91264
0xfffffff009a9121c: f7dbfef0  adrp	x23, #0xfffffff007610000
0xfffffff009a91220: f7463691  add	x23, x23, #0xd91
0xfffffff009a91224: f7d700a9  stp	x23, x21, [sp, #8]
0xfffffff009a91228: f30300f9  str	x19, [sp]
0xfffffff009a9122c: e0dbfef0  adrp	x0, #0xfffffff007610000
0xfffffff009a91230: 007c3591  add	x0, x0, #0xd5f
0xfffffff009a91234: 7b17a397  bl	#0xfffffff008357020
0xfffffff009a91238: f7d700a9  stp	x23, x21, [sp, #8]
0xfffffff009a9123c: f30300f9  str	x19, [sp]
0xfffffff009a91240: e0dbfef0  adrp	x0, #0xfffffff007610000
0xfffffff009a91244: 00c00f91  add	x0, x0, #0x3f0
0xfffffff009a91248: 2111fff0  adrp	x1, #0xfffffff007cb8000
0xfffffff009a9124c: 213847f9  ldr	x1, [x1, #0xe70]
0xfffffff009a91250: 03dcfe90  adrp	x3, #0xfffffff007611000
0xfffffff009a91254: 63700091  add	x3, x3, #0x1c
0xfffffff009a91258: 02008052  mov	w2, #0
0xfffffff009a9125c: b587a297  bl	#0xfffffff008333130
0xfffffff009a91260: 09000014  b	#0xfffffff009a91284
0xfffffff009a91264: e80315aa  mov	x8, x21
0xfffffff009a91268: e9dbfef0  adrp	x9, #0xfffffff007610000
0xfffffff009a9126c: 29453691  add	x9, x9, #0xd91
0xfffffff009a91270: e9a300a9  stp	x9, x8, [sp, #8]
0xfffffff009a91274: f30300f9  str	x19, [sp]
0xfffffff009a91278: e0dbfef0  adrp	x0, #0xfffffff007610000
0xfffffff009a9127c: 007c3591  add	x0, x0, #0xd5f
0xfffffff009a91280: b478a797  bl	#0xfffffff00846f550
0xfffffff009a91284: da578052  mov	w26, #0x2be
0xfffffff009a91288: 1a00bc72  movk	w26, #0xe000, lsl #16
0xfffffff009a9128c: 57cb0011  add	w23, w26, #0x32
0xfffffff009a91290: 1b008052  mov	w27, #0
0xfffffff009a91294: 18050034  cbz	w24, #0xfffffff009a91334
0xfffffff009a91298: f803182a  mov	w24, w24
0xfffffff009a9129c: c10240b9  ldr	w1, [x22]
0xfffffff009a912a0: 700240f9  ldr	x16, [x19]
0xfffffff009a912a4: f10313aa  mov	x17, x19
0xfffffff009a912a8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009a912ac: 301ac1da  autda	x16, x17
0xfffffff009a912b0: 11ab80d2  mov	x17, #0x558
0xfffffff009a912b4: 1002118b  add	x16, x16, x17
0xfffffff009a912b8: 080240f9  ldr	x8, [x16]
0xfffffff009a912bc: e90310aa  mov	x9, x16
0xfffffff009a912c0: e00313aa  mov	x0, x19
0xfffffff009a912c4: 02008052  mov	w2, #0
0xfffffff009a912c8: f10309aa  mov	x17, x9
0xfffffff009a912cc: 7111f3f2  movk	x17, #0x988b, lsl #48
0xfffffff009a912d0: 11093fd7  blraa	x8, x17
0xfffffff009a912d4: 800200b4  cbz	x0, #0xfffffff009a91324
0xfffffff009a912d8: 100040f9  ldr	x16, [x0]
0xfffffff009a912dc: f10300aa  mov	x17, x0
0xfffffff009a912e0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009a912e4: 301ac1da  autda	x16, x17
0xfffffff009a912e8: 080e4ef8  ldr	x8, [x16, #0xe0]!
0xfffffff009a912ec: e90310aa  mov	x9, x16
0xfffffff009a912f0: e10315aa  mov	x1, x21
0xfffffff009a912f4: e20314aa  mov	x2, x20
