; Candidate 11112
; ADRP+ADD at VM 0xfffffff008e6bd08 (fileoff 0x1e67d08): page=0x1fe57e000 add_imm=0xe0c

0xfffffff008e6bc88: f44f50a9  ldp	x20, x19, [sp, #0x100]
0xfffffff008e6bc8c: f6574fa9  ldp	x22, x21, [sp, #0xf0]
0xfffffff008e6bc90: fc6f4ea9  ldp	x28, x27, [sp, #0xe0]
0xfffffff008e6bc94: ff830491  add	sp, sp, #0x120
0xfffffff008e6bc98: ff0f5fd6  retab	
0xfffffff008e6bc9c: 6cc8bb97  bl	#0xfffffff007d5de4c
0xfffffff008e6bca0: 7f2303d5  pacibsp	
0xfffffff008e6bca4: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff008e6bca8: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff008e6bcac: fd430091  add	x29, sp, #0x10
0xfffffff008e6bcb0: f30301aa  mov	x19, x1
0xfffffff008e6bcb4: f40300aa  mov	x20, x0
0xfffffff008e6bcb8: 006c40f9  ldr	x0, [x0, #0xd8]
0xfffffff008e6bcbc: 100040f9  ldr	x16, [x0]
0xfffffff008e6bcc0: f10300aa  mov	x17, x0
0xfffffff008e6bcc4: 9173e6f2  movk	x17, #0x339c, lsl #48
0xfffffff008e6bcc8: 301ac1da  autda	x16, x17
0xfffffff008e6bccc: 088e47f8  ldr	x8, [x16, #0x78]!
0xfffffff008e6bcd0: e90310aa  mov	x9, x16
0xfffffff008e6bcd4: f10309aa  mov	x17, x9
0xfffffff008e6bcd8: b109e8f2  movk	x17, #0x404d, lsl #48
0xfffffff008e6bcdc: 11093fd7  blraa	x8, x17
0xfffffff008e6bce0: 0000c03d  ldr	q0, [x0]
0xfffffff008e6bce4: 00b8b14e  addv	s0, v0.4s
0xfffffff008e6bce8: 0800261e  fmov	w8, s0
0xfffffff008e6bcec: 80420491  add	x0, x20, #0x110
0xfffffff008e6bcf0: 017d0253  lsr	w1, w8, #2
0xfffffff008e6bcf4: 02d80094  bl	#0xfffffff008ea1cfc
0xfffffff008e6bcf8: e103002a  mov	w1, w0
0xfffffff008e6bcfc: a82cffd0  adrp	x8, #0xfffffff007401000
0xfffffff008e6bd00: 08411e91  add	x8, x8, #0x790
0xfffffff008e6bd04: 020140b9  ldr	w2, [x8]
0xfffffff008e6bd08: e02bffd0  adrp	x0, #0xfffffff0073e9000
0xfffffff008e6bd0c: 00303891  add	x0, x0, #0xe0c
0xfffffff008e6bd10: 86ce0094  bl	#0xfffffff008e9f728
0xfffffff008e6bd14: 1ffc0371  cmp	w0, #0xff
0xfffffff008e6bd18: e81f8052  mov	w8, #0xff
0xfffffff008e6bd1c: 0830881a  csel	w8, w0, w8, lo
0xfffffff008e6bd20: 22008052  mov	w2, #1
0xfffffff008e6bd24: 02791f33  bfi	w2, w8, #1, #0x1f
0xfffffff008e6bd28: e00313aa  mov	x0, x19
0xfffffff008e6bd2c: 81099052  mov	w1, #0x804c
0xfffffff008e6bd30: e100a072  movk	w1, #7, lsl #16
0xfffffff008e6bd34: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff008e6bd38: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff008e6bd3c: ff2303d5  autibsp	
0xfffffff008e6bd40: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff008e6bd44: 5000f0b6  tbz	x16, #0x3e, #0xfffffff008e6bd4c
0xfffffff008e6bd48: 208e38d4  brk	#0xc471
0xfffffff008e6bd4c: f63e0014  b	#0xfffffff008e7b924
0xfffffff008e6bd50: 7f2303d5  pacibsp	
0xfffffff008e6bd54: ffc303d1  sub	sp, sp, #0xf0
0xfffffff008e6bd58: f6570ca9  stp	x22, x21, [sp, #0xc0]
0xfffffff008e6bd5c: f44f0da9  stp	x20, x19, [sp, #0xd0]
0xfffffff008e6bd60: fd7b0ea9  stp	x29, x30, [sp, #0xe0]
0xfffffff008e6bd64: fd830391  add	x29, sp, #0xe0
0xfffffff008e6bd68: f30301aa  mov	x19, x1
0xfffffff008e6bd6c: f40300aa  mov	x20, x0
0xfffffff008e6bd70: e8c30191  add	x8, sp, #0x70
0xfffffff008e6bd74: 8964ffd0  adrp	x9, #0xfffffff007afd000
0xfffffff008e6bd78: 29bd46f9  ldr	x9, [x9, #0xd78]
0xfffffff008e6bd7c: 290140f9  ldr	x9, [x9]
0xfffffff008e6bd80: a9831df8  stur	x9, [x29, #-0x28]
0xfffffff008e6bd84: 150a9052  mov	w21, #0x8050
