; Candidate 9119
; ADRP+ADD at VM 0xfffffff0089f952c (fileoff 0x19f552c): page=0x1fe89b000 add_imm=0xdf4

0xfffffff0089f94ac: 29de8052  mov	w9, #0x6f1
0xfffffff0089f94b0: 19000014  b	#0xfffffff0089f9514
0xfffffff0089f94b4: ff1300f9  str	xzr, [sp, #0x20]
0xfffffff0089f94b8: e844ff90  adrp	x8, #0xfffffff007295000
0xfffffff0089f94bc: 08a51791  add	x8, x8, #0x5e9
0xfffffff0089f94c0: 89de8052  mov	w9, #0x6f4
0xfffffff0089f94c4: 14000014  b	#0xfffffff0089f9514
0xfffffff0089f94c8: ff1300f9  str	xzr, [sp, #0x20]
0xfffffff0089f94cc: e844ff90  adrp	x8, #0xfffffff007295000
0xfffffff0089f94d0: 08a51791  add	x8, x8, #0x5e9
0xfffffff0089f94d4: e9de8052  mov	w9, #0x6f7
0xfffffff0089f94d8: 0f000014  b	#0xfffffff0089f9514
0xfffffff0089f94dc: ff1300f9  str	xzr, [sp, #0x20]
0xfffffff0089f94e0: e844ff90  adrp	x8, #0xfffffff007295000
0xfffffff0089f94e4: 08a51791  add	x8, x8, #0x5e9
0xfffffff0089f94e8: 49df8052  mov	w9, #0x6fa
0xfffffff0089f94ec: 0a000014  b	#0xfffffff0089f9514
0xfffffff0089f94f0: ff1300f9  str	xzr, [sp, #0x20]
0xfffffff0089f94f4: e844ff90  adrp	x8, #0xfffffff007295000
0xfffffff0089f94f8: 08a51791  add	x8, x8, #0x5e9
0xfffffff0089f94fc: e9df8052  mov	w9, #0x6ff
0xfffffff0089f9500: 05000014  b	#0xfffffff0089f9514
0xfffffff0089f9504: ff1300f9  str	xzr, [sp, #0x20]
0xfffffff0089f9508: e844ff90  adrp	x8, #0xfffffff007295000
0xfffffff0089f950c: 08a51791  add	x8, x8, #0x5e9
0xfffffff0089f9510: 49dd8052  mov	w9, #0x6ea
0xfffffff0089f9514: ca44fff0  adrp	x10, #0xfffffff007294000
0xfffffff0089f9518: 4a853991  add	x10, x10, #0xe61
0xfffffff0089f951c: eb44ff90  adrp	x11, #0xfffffff007295000
0xfffffff0089f9520: 6bcd2b91  add	x11, x11, #0xaf3
0xfffffff0089f9524: e82701a9  stp	x8, x9, [sp, #0x10]
0xfffffff0089f9528: eb2b00a9  stp	x11, x10, [sp]
0xfffffff0089f952c: c044fff0  adrp	x0, #0xfffffff007294000
0xfffffff0089f9530: 00d03791  add	x0, x0, #0xdf4
0xfffffff0089f9534: cbf7ce97  bl	#0xfffffff007db7460
0xfffffff0089f9538: 684241b9  ldr	w8, [x19, #0x140]
0xfffffff0089f953c: 49e18052  mov	w9, #0x70a
0xfffffff0089f9540: e90b00f9  str	x9, [sp, #0x10]
0xfffffff0089f9544: e944ff90  adrp	x9, #0xfffffff007295000
0xfffffff0089f9548: 29bd2e91  add	x9, x9, #0xbaf
0xfffffff0089f954c: e82700a9  stp	x8, x9, [sp]
0xfffffff0089f9550: c044fff0  adrp	x0, #0xfffffff007294000
0xfffffff0089f9554: 00400c91  add	x0, x0, #0x310
0xfffffff0089f9558: 6182ffd0  adrp	x1, #0xfffffff007a47000
0xfffffff0089f955c: 214047f9  ldr	x1, [x1, #0xe80]
0xfffffff0089f9560: e344ffd0  adrp	x3, #0xfffffff007297000
0xfffffff0089f9564: 63280891  add	x3, x3, #0x20a
0xfffffff0089f9568: 02028052  mov	w2, #0x10
0xfffffff0089f956c: f1e6e497  bl	#0xfffffff008333130
0xfffffff0089f9570: c0578052  mov	w0, #0x2be
0xfffffff0089f9574: 0000bc72  movk	w0, #0xe000, lsl #16
0xfffffff0089f9578: abffff17  b	#0xfffffff0089f9424
0xfffffff0089f957c: 3492cd97  bl	#0xfffffff007d5de4c
0xfffffff0089f9580: 7f2303d5  pacibsp	
0xfffffff0089f9584: ff4301d1  sub	sp, sp, #0x50
0xfffffff0089f9588: f44f03a9  stp	x20, x19, [sp, #0x30]
0xfffffff0089f958c: fd7b04a9  stp	x29, x30, [sp, #0x40]
0xfffffff0089f9590: fd030191  add	x29, sp, #0x40
0xfffffff0089f9594: f30300aa  mov	x19, x0
0xfffffff0089f9598: 08b840b9  ldr	w8, [x0, #0xb8]
0xfffffff0089f959c: 095840f9  ldr	x9, [x0, #0xb0]
0xfffffff0089f95a0: 0a6840f9  ldr	x10, [x0, #0xd0]
0xfffffff0089f95a4: 2829089b  madd	x8, x9, x8, x10
0xfffffff0089f95a8: 080500d1  sub	x8, x8, #1
