; Candidate 1315
; ADRP+ADD at VM 0xfffffff00834c810 (fileoff 0x1348810): page=0x1fed57000 add_imm=0xd29

0xfffffff00834c790: f3578052  mov	w19, #0x2bf
0xfffffff00834c794: 1300bc72  movk	w19, #0xe000, lsl #16
0xfffffff00834c798: 4a0140f9  ldr	x10, [x10]
0xfffffff00834c79c: ebec92d2  mov	x11, #0x9767
0xfffffff00834c7a0: 0bacb6f2  movk	x11, #0xb560, lsl #16
0xfffffff00834c7a4: 0b2eddf2  movk	x11, #0xe970, lsl #32
0xfffffff00834c7a8: eb86f8f2  movk	x11, #0xc437, lsl #48
0xfffffff00834c7ac: 5f010beb  cmp	x10, x11
0xfffffff00834c7b0: 81020054  b.ne	#0xfffffff00834c800
0xfffffff00834c7b4: 092140b9  ldr	w9, [x8, #0x20]
0xfffffff00834c7b8: 3f090071  cmp	w9, #2
0xfffffff00834c7bc: 01030054  b.ne	#0xfffffff00834c81c
0xfffffff00834c7c0: 094145f8  ldur	x9, [x8, #0x54]
0xfffffff00834c7c4: 3f0500f1  cmp	x9, #1
0xfffffff00834c7c8: a1020054  b.ne	#0xfffffff00834c81c
0xfffffff00834c7cc: 291040b9  ldr	w9, [x1, #0x10]
0xfffffff00834c7d0: 3f910171  cmp	w9, #0x64
0xfffffff00834c7d4: 43020054  b.lo	#0xfffffff00834c81c
0xfffffff00834c7d8: 290440f9  ldr	x9, [x1, #8]
0xfffffff00834c7dc: 890000b4  cbz	x9, #0xfffffff00834c7ec
0xfffffff00834c7e0: 2a1440b9  ldr	w10, [x1, #0x14]
0xfffffff00834c7e4: 5ff10071  cmp	w10, #0x3c
0xfffffff00834c7e8: a3010054  b.lo	#0xfffffff00834c81c
0xfffffff00834c7ec: 0a0840f9  ldr	x10, [x0, #0x10]
0xfffffff00834c7f0: 4b1540f9  ldr	x11, [x10, #0x28]
0xfffffff00834c7f4: cb0100b4  cbz	x11, #0xfffffff00834c82c
0xfffffff00834c7f8: 73660011  add	w19, w19, #0x19
0xfffffff00834c7fc: 08000014  b	#0xfffffff00834c81c
0xfffffff00834c800: 081d40b9  ldr	w8, [x8, #0x1c]
0xfffffff00834c804: 73220011  add	w19, w19, #8
0xfffffff00834c808: 1f01096b  cmp	w8, w9
0xfffffff00834c80c: 80000054  b.eq	#0xfffffff00834c81c
0xfffffff00834c810: a06afff0  adrp	x0, #0xfffffff0070a3000
0xfffffff00834c814: 00a43491  add	x0, x0, #0xd29
0xfffffff00834c818: 3e5bfe97  bl	#0xfffffff0082e3510
0xfffffff00834c81c: e00313aa  mov	x0, x19
0xfffffff00834c820: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff00834c824: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff00834c828: ff0f5fd6  retab	
0xfffffff00834c82c: 13008052  mov	w19, #0
0xfffffff00834c830: 084143f8  ldur	x8, [x8, #0x34]
0xfffffff00834c834: 481500f9  str	x8, [x10, #0x28]
0xfffffff00834c838: 2866ff90  adrp	x8, #0xfffffff007010000
0xfffffff00834c83c: 007dc23d  ldr	q0, [x8, #0x9f0]
0xfffffff00834c840: 2041823c  stur	q0, [x9, #0x24]
0xfffffff00834c844: 88078052  mov	w8, #0x3c
0xfffffff00834c848: 280500b9  str	w8, [x9, #4]
0xfffffff00834c84c: 0866fff0  adrp	x8, #0xfffffff00700f000
0xfffffff00834c850: 008941fd  ldr	d0, [x8, #0x310]
0xfffffff00834c854: 20c101fc  stur	d0, [x9, #0x1c]
0xfffffff00834c858: 3f4103f8  stur	xzr, [x9, #0x34]
0xfffffff00834c85c: f0ffff17  b	#0xfffffff00834c81c
0xfffffff00834c860: a06afff0  adrp	x0, #0xfffffff0070a3000
0xfffffff00834c864: 00a43491  add	x0, x0, #0xd29
0xfffffff00834c868: 2a5bfe97  bl	#0xfffffff0082e3510
0xfffffff00834c86c: 200020d4  brk	#1
0xfffffff00834c870: 5f2403d5  bti	c
0xfffffff00834c874: 60f60090  adrp	x0, #0xfffffff00a218000
0xfffffff00834c878: 00a01b91  add	x0, x0, #0x6e8
0xfffffff00834c87c: c0035fd6  ret	
0xfffffff00834c880: 5f2403d5  bti	c
0xfffffff00834c884: e10300aa  mov	x1, x0
0xfffffff00834c888: 08008092  mov	x8, #-1
0xfffffff00834c88c: 080000f9  str	x8, [x0]
