; Candidate 14609
; ADRP+ADD at VM 0xfffffff009861248 (fileoff 0x285d248): page=0x1fdd5d000 add_imm=0xe8f

0xfffffff0098611c8: d62e0391  add	x22, x22, #0xcb
0xfffffff0098611cc: e7eafeb0  adrp	x7, #0xfffffff0075be000
0xfffffff0098611d0: e77c3891  add	x7, x7, #0xe1f
0xfffffff0098611d4: 00008052  mov	w0, #0
0xfffffff0098611d8: e30313aa  mov	x3, x19
0xfffffff0098611dc: e40316aa  mov	x4, x22
0xfffffff0098611e0: 050080d2  mov	x5, #0
0xfffffff0098611e4: 060080d2  mov	x6, #0
0xfffffff0098611e8: f5bbf797  bl	#0xfffffff0096501bc
0xfffffff0098611ec: c0080037  tbnz	w0, #0, #0xfffffff009861304
0xfffffff0098611f0: e00313aa  mov	x0, x19
0xfffffff0098611f4: 151eac97  bl	#0xfffffff008368a48
0xfffffff0098611f8: f70300aa  mov	x23, x0
0xfffffff0098611fc: 700240f9  ldr	x16, [x19]
0xfffffff009861200: f10313aa  mov	x17, x19
0xfffffff009861204: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009861208: 301ac1da  autda	x16, x17
0xfffffff00986120c: f10310aa  mov	x17, x16
0xfffffff009861210: f147c1da  xpacd	x17
0xfffffff009861214: 1f0211eb  cmp	x16, x17
0xfffffff009861218: 40000054  b.eq	#0xfffffff009861220
0xfffffff00986121c: 408e38d4  brk	#0xc472
0xfffffff009861220: e80310aa  mov	x8, x16
0xfffffff009861224: 600400b4  cbz	x0, #0xfffffff0098612b0
0xfffffff009861228: 09a10791  add	x9, x8, #0x1e8
0xfffffff00986122c: 08f540f9  ldr	x8, [x8, #0x1e8]
0xfffffff009861230: e00313aa  mov	x0, x19
0xfffffff009861234: 010080d2  mov	x1, #0
0xfffffff009861238: f10309aa  mov	x17, x9
0xfffffff00986123c: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff009861240: 11093fd7  blraa	x8, x17
0xfffffff009861244: 21000014  b	#0xfffffff0098612c8
0xfffffff009861248: e0eafeb0  adrp	x0, #0xfffffff0075be000
0xfffffff00986124c: 003c3a91  add	x0, x0, #0xe8f
0xfffffff009861250: 74d7ab97  bl	#0xfffffff008357020
0xfffffff009861254: 36000014  b	#0xfffffff00986132c
0xfffffff009861258: 098d43f8  ldr	x9, [x8, #0x38]!
0xfffffff00986125c: e00313aa  mov	x0, x19
0xfffffff009861260: f10308aa  mov	x17, x8
0xfffffff009861264: 91fffff2  movk	x17, #0xfffc, lsl #48
0xfffffff009861268: 31093fd7  blraa	x9, x17
0xfffffff00986126c: bb0daa97  bl	#0xfffffff0082e4958
0xfffffff009861270: f70300aa  mov	x23, x0
0xfffffff009861274: cebbf797  bl	#0xfffffff0096501ac
0xfffffff009861278: 681fffd0  adrp	x8, #0xfffffff007c4f000
0xfffffff00986127c: 085144f9  ldr	x8, [x8, #0x8a0]
0xfffffff009861280: 180140f9  ldr	x24, [x8]
0xfffffff009861284: cabbf797  bl	#0xfffffff0096501ac
0xfffffff009861288: f65701a9  stp	x22, x21, [sp, #0x10]
0xfffffff00986128c: e05f00a9  stp	x0, x23, [sp]
0xfffffff009861290: a0eafed0  adrp	x0, #0xfffffff0075b7000
0xfffffff009861294: 00c01991  add	x0, x0, #0x670
0xfffffff009861298: 23ebfed0  adrp	x3, #0xfffffff0075c7000
0xfffffff00986129c: 63a43891  add	x3, x3, #0xe29
0xfffffff0098612a0: e10318aa  mov	x1, x24
0xfffffff0098612a4: 02008052  mov	w2, #0
0xfffffff0098612a8: a247ab97  bl	#0xfffffff008333130
0xfffffff0098612ac: 20000014  b	#0xfffffff00986132c
0xfffffff0098612b0: 098d43f8  ldr	x9, [x8, #0x38]!
0xfffffff0098612b4: e00313aa  mov	x0, x19
0xfffffff0098612b8: f10308aa  mov	x17, x8
0xfffffff0098612bc: 91fffff2  movk	x17, #0xfffc, lsl #48
0xfffffff0098612c0: 31093fd7  blraa	x9, x17
0xfffffff0098612c4: a50daa97  bl	#0xfffffff0082e4958
