; Candidate 16643
; ADRP+ADD at VM 0xfffffff009f0c440 (fileoff 0x2f08440): page=0x1fd942000 add_imm=0xdf3

0xfffffff009f0c3c0: 44ffff17  b	#0xfffffff009f0c0d0
0xfffffff009f0c3c4: 686240f9  ldr	x8, [x19, #0xc0]
0xfffffff009f0c3c8: 091544b9  ldr	w9, [x8, #0x414]
0xfffffff009f0c3cc: 2a3d0012  and	w10, w9, #0xffff
0xfffffff009f0c3d0: 5f090071  cmp	w10, #2
0xfffffff009f0c3d4: a1020054  b.ne	#0xfffffff009f0c428
0xfffffff009f0c3d8: 0a1b8452  mov	w10, #0x20d8
0xfffffff009f0c3dc: 6a020a8b  add	x10, x19, x10
0xfffffff009f0c3e0: 637e40f9  ldr	x3, [x19, #0xf8]
0xfffffff009f0c3e4: 020d42f9  ldr	x2, [x8, #0x418]
0xfffffff009f0c3e8: 213d1012  and	w1, w9, #0xffff0000
0xfffffff009f0c3ec: ff7f00a9  stp	xzr, xzr, [sp]
0xfffffff009f0c3f0: ea0b00f9  str	x10, [sp, #0x10]
0xfffffff009f0c3f4: 300000f0  adrp	x16, #0xfffffff009f13000
0xfffffff009f0c3f8: 10a20591  add	x16, x16, #0x168
0xfffffff009f0c3fc: 51d09fd2  mov	x17, #0xfe82
0xfffffff009f0c400: 3002c1da  pacia	x16, x17
0xfffffff009f0c404: e70310aa  mov	x7, x16
0xfffffff009f0c408: e00313aa  mov	x0, x19
0xfffffff009f0c40c: 04008052  mov	w4, #0
0xfffffff009f0c410: 05008052  mov	w5, #0
0xfffffff009f0c414: 06048052  mov	w6, #0x20
0xfffffff009f0c418: 31670094  bl	#0xfffffff009f260dc
0xfffffff009f0c41c: f60300aa  mov	x22, x0
0xfffffff009f0c420: 60000035  cbnz	w0, #0xfffffff009f0c42c
0xfffffff009f0c424: c1ffff17  b	#0xfffffff009f0c328
0xfffffff009f0c428: d6028052  mov	w22, #0x16
0xfffffff009f0c42c: 083e8452  mov	w8, #0x21f0
0xfffffff009f0c430: 6802088b  add	x8, x19, x8
0xfffffff009f0c434: c91c8e52  mov	w9, #0x70e6
0xfffffff009f0c438: f72700a9  stp	x23, x9, [sp]
0xfffffff009f0c43c: e85b01a9  stp	x8, x22, [sp, #0x10]
0xfffffff009f0c440: 00cafed0  adrp	x0, #0xfffffff00784e000
0xfffffff009f0c444: 00cc3791  add	x0, x0, #0xdf3
0xfffffff009f0c448: 1fcdfd97  bl	#0xfffffff009e7f8c4
0xfffffff009f0c44c: 7f6e10f9  str	xzr, [x19, #0x20d8]
0xfffffff009f0c450: 9affff17  b	#0xfffffff009f0c2b8
0xfffffff009f0c454: 7f2303d5  pacibsp	
0xfffffff009f0c458: ff8301d1  sub	sp, sp, #0x60
0xfffffff009f0c45c: f65703a9  stp	x22, x21, [sp, #0x30]
0xfffffff009f0c460: f44f04a9  stp	x20, x19, [sp, #0x40]
0xfffffff009f0c464: fd7b05a9  stp	x29, x30, [sp, #0x50]
0xfffffff009f0c468: fd430191  add	x29, sp, #0x50
0xfffffff009f0c46c: f30300aa  mov	x19, x0
0xfffffff009f0c470: ff7f02a9  stp	xzr, xzr, [sp, #0x20]
0xfffffff009f0c474: e5a30091  add	x5, sp, #0x28
0xfffffff009f0c478: 21008052  mov	w1, #1
0xfffffff009f0c47c: 020080d2  mov	x2, #0
0xfffffff009f0c480: 23008052  mov	w3, #1
0xfffffff009f0c484: 04008052  mov	w4, #0
0xfffffff009f0c488: 5797ff97  bl	#0xfffffff009ef21e4
0xfffffff009f0c48c: a0010034  cbz	w0, #0xfffffff009f0c4c0
0xfffffff009f0c490: f50300aa  mov	x21, x0
0xfffffff009f0c494: 083e8452  mov	w8, #0x21f0
0xfffffff009f0c498: 6802088b  add	x8, x19, x8
0xfffffff009f0c49c: 49a38d52  mov	w9, #0x6d1a
0xfffffff009f0c4a0: 4acafe90  adrp	x10, #0xfffffff007854000
0xfffffff009f0c4a4: 4a892991  add	x10, x10, #0xa62
0xfffffff009f0c4a8: ea2700a9  stp	x10, x9, [sp]
0xfffffff009f0c4ac: e85701a9  stp	x8, x21, [sp, #0x10]
0xfffffff009f0c4b0: 40cafe90  adrp	x0, #0xfffffff007854000
0xfffffff009f0c4b4: 00a82891  add	x0, x0, #0xa2a
0xfffffff009f0c4b8: 03cdfd97  bl	#0xfffffff009e7f8c4
0xfffffff009f0c4bc: 51000014  b	#0xfffffff009f0c600
