; Candidate 15136
; ADRP+ADD at VM 0xfffffff009abd50c (fileoff 0x2ab950c): page=0x1fdb59000 add_imm=0xe05

0xfffffff009abd48c: e0031baa  mov	x0, x27
0xfffffff009abd490: e2031caa  mov	x2, x28
0xfffffff009abd494: 3f3d8a97  bl	#0xfffffff007d4c990
0xfffffff009abd498: 900240f9  ldr	x16, [x20]
0xfffffff009abd49c: f10314aa  mov	x17, x20
0xfffffff009abd4a0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009abd4a4: 301ac1da  autda	x16, x17
0xfffffff009abd4a8: 112780d2  mov	x17, #0x138
0xfffffff009abd4ac: 1002118b  add	x16, x16, x17
0xfffffff009abd4b0: 080240f9  ldr	x8, [x16]
0xfffffff009abd4b4: e90310aa  mov	x9, x16
0xfffffff009abd4b8: a1dafef0  adrp	x1, #0xfffffff007614000
0xfffffff009abd4bc: 21881e91  add	x1, x1, #0x7a2
0xfffffff009abd4c0: e00314aa  mov	x0, x20
0xfffffff009abd4c4: f10309aa  mov	x17, x9
0xfffffff009abd4c8: 71c7e5f2  movk	x17, #0x2e3b, lsl #48
0xfffffff009abd4cc: 11093fd7  blraa	x8, x17
0xfffffff009abd4d0: e10315aa  mov	x1, x21
0xfffffff009abd4d4: 089aa097  bl	#0xfffffff0082e3cf4
0xfffffff009abd4d8: c00400b4  cbz	x0, #0xfffffff009abd570
0xfffffff009abd4dc: e83340f9  ldr	x8, [sp, #0x60]
0xfffffff009abd4e0: 080140f9  ldr	x8, [x8]
0xfffffff009abd4e4: a80100b4  cbz	x8, #0xfffffff009abd518
0xfffffff009abd4e8: c0dafeb0  adrp	x0, #0xfffffff007616000
0xfffffff009abd4ec: 00c83991  add	x0, x0, #0xe72
0xfffffff009abd4f0: d6fcff17  b	#0xfffffff009abc848
0xfffffff009abd4f4: c0dafeb0  adrp	x0, #0xfffffff007616000
0xfffffff009abd4f8: 005c3791  add	x0, x0, #0xdd7
0xfffffff009abd4fc: d3fcff17  b	#0xfffffff009abc848
0xfffffff009abd500: c0dafeb0  adrp	x0, #0xfffffff007616000
0xfffffff009abd504: 00cc3891  add	x0, x0, #0xe33
0xfffffff009abd508: d0fcff17  b	#0xfffffff009abc848
0xfffffff009abd50c: c0dafeb0  adrp	x0, #0xfffffff007616000
0xfffffff009abd510: 00143891  add	x0, x0, #0xe05
0xfffffff009abd514: cdfcff17  b	#0xfffffff009abc848
0xfffffff009abd518: 703a42f9  ldr	x16, [x19, #0x470]
0xfffffff009abd51c: 684640f9  ldr	x8, [x19, #0x88]
0xfffffff009abd520: 080f488b  add	x8, x24, x8, lsr #3
0xfffffff009abd524: f10308aa  mov	x17, x8
0xfffffff009abd528: 7145fbf2  movk	x17, #0xda2b, lsl #48
0xfffffff009abd52c: 301ac1da  autda	x16, x17
0xfffffff009abd530: f10310aa  mov	x17, x16
0xfffffff009abd534: f147c1da  xpacd	x17
0xfffffff009abd538: 1f0211eb  cmp	x16, x17
0xfffffff009abd53c: 40000054  b.eq	#0xfffffff009abd544
0xfffffff009abd540: 408e38d4  brk	#0xc472
0xfffffff009abd544: 5098ffb5  cbnz	x16, #0xfffffff009abc84c
0xfffffff009abd548: 100040f9  ldr	x16, [x0]
0xfffffff009abd54c: f10300aa  mov	x17, x0
0xfffffff009abd550: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009abd554: 301ac1da  autda	x16, x17
0xfffffff009abd558: 080e4bf8  ldr	x8, [x16, #0xb0]!
0xfffffff009abd55c: e90310aa  mov	x9, x16
0xfffffff009abd560: f10309aa  mov	x17, x9
0xfffffff009abd564: 51fff7f2  movk	x17, #0xbffa, lsl #48
0xfffffff009abd568: 11093fd7  blraa	x8, x17
0xfffffff009abd56c: 603200f9  str	x0, [x19, #0x60]
0xfffffff009abd570: 900240f9  ldr	x16, [x20]
0xfffffff009abd574: f10314aa  mov	x17, x20
0xfffffff009abd578: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009abd57c: 301ac1da  autda	x16, x17
0xfffffff009abd580: 112780d2  mov	x17, #0x138
0xfffffff009abd584: 1002118b  add	x16, x16, x17
0xfffffff009abd588: 080240f9  ldr	x8, [x16]
