; Candidate 4082
; ADRP+ADD at VM 0xfffffff008791274 (fileoff 0x178d274): page=0x1fe9a0000 add_imm=0xd90

0xfffffff0087911f4: e08301ad  stp	q0, q0, [sp, #0x30]
0xfffffff0087911f8: e08300ad  stp	q0, q0, [sp, #0x10]
0xfffffff0087911fc: e0430091  add	x0, sp, #0x10
0xfffffff008791200: 01008052  mov	w1, #0
0xfffffff008791204: 02098052  mov	w2, #0x48
0xfffffff008791208: 6eeed697  bl	#0xfffffff007d4cbc0
0xfffffff00879120c: f40b00f9  str	x20, [sp, #0x10]
0xfffffff008791210: 884241b9  ldr	w8, [x20, #0x140]
0xfffffff008791214: e81b00b9  str	w8, [sp, #0x18]
0xfffffff008791218: 88566fb9  ldr	w8, [x20, #0x2f54]
0xfffffff00879121c: e8030034  cbz	w8, #0xfffffff008791298
0xfffffff008791220: e12b40b9  ldr	w1, [sp, #0x28]
0xfffffff008791224: e23340b9  ldr	w2, [sp, #0x30]
0xfffffff008791228: e00314aa  mov	x0, x20
0xfffffff00879122c: 290d0094  bl	#0xfffffff0087946d0
0xfffffff008791230: 40030034  cbz	w0, #0xfffffff008791298
0xfffffff008791234: 484effd0  adrp	x8, #0xfffffff00715b000
0xfffffff008791238: 08e91391  add	x8, x8, #0x4fa
0xfffffff00879123c: e80300f9  str	x8, [sp]
0xfffffff008791240: 004dff90  adrp	x0, #0xfffffff007131000
0xfffffff008791244: 00403691  add	x0, x0, #0xd90
0xfffffff008791248: 6193ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff00879124c: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008791250: a34dfff0  adrp	x3, #0xfffffff007148000
0xfffffff008791254: 63cc1e91  add	x3, x3, #0x7b3
0xfffffff008791258: 02008052  mov	w2, #0
0xfffffff00879125c: b587ee97  bl	#0xfffffff008333130
0xfffffff008791260: 17268052  mov	w23, #0x130
0xfffffff008791264: 0e000014  b	#0xfffffff00879129c
0xfffffff008791268: 494effd0  adrp	x9, #0xfffffff00715b000
0xfffffff00879126c: 29e91391  add	x9, x9, #0x4fa
0xfffffff008791270: e92300a9  stp	x9, x8, [sp]
0xfffffff008791274: 004dff90  adrp	x0, #0xfffffff007131000
0xfffffff008791278: 00403691  add	x0, x0, #0xd90
0xfffffff00879127c: 6193ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff008791280: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008791284: a34dfff0  adrp	x3, #0xfffffff007148000
0xfffffff008791288: 63881d91  add	x3, x3, #0x762
0xfffffff00879128c: 02008052  mov	w2, #0
0xfffffff008791290: a887ee97  bl	#0xfffffff008333130
0xfffffff008791294: 28000014  b	#0xfffffff008791334
0xfffffff008791298: 17008052  mov	w23, #0
0xfffffff00879129c: 08008052  mov	w8, #0
0xfffffff0087912a0: a94effd0  adrp	x9, #0xfffffff007167000
0xfffffff0087912a4: 205947fd  ldr	d0, [x9, #0xeb0]
0xfffffff0087912a8: e01b00fd  str	d0, [sp, #0x30]
0xfffffff0087912ac: f80308aa  mov	x24, x8
0xfffffff0087912b0: 806e40f9  ldr	x0, [x20, #0xd8]
0xfffffff0087912b4: e1430091  add	x1, sp, #0x10
0xfffffff0087912b8: 62018052  mov	w2, #0xb
0xfffffff0087912bc: 15c6fe97  bl	#0xfffffff008742b10
0xfffffff0087912c0: f50300aa  mov	x21, x0
0xfffffff0087912c4: 68220011  add	w8, w19, #8
0xfffffff0087912c8: 1f00086b  cmp	w0, w8
0xfffffff0087912cc: c1000054  b.ne	#0xfffffff0087912e4
0xfffffff0087912d0: 20008052  mov	w0, #1
0xfffffff0087912d4: 4517ef97  bl	#0xfffffff008356fe8
0xfffffff0087912d8: 08070011  add	w8, w24, #1
0xfffffff0087912dc: 1f8f0171  cmp	w24, #0x63
0xfffffff0087912e0: 63feff54  b.lo	#0xfffffff0087912ac
0xfffffff0087912e4: 1f8b0171  cmp	w24, #0x62
0xfffffff0087912e8: a09a407a  ccmp	w21, #0, #0, ls
0xfffffff0087912ec: 08268052  mov	w8, #0x130
0xfffffff0087912f0: 1311971a  csel	w19, w8, w23, ne
