; Candidate 16417
; ADRP+ADD at VM 0xfffffff009e9ab08 (fileoff 0x2e96b08): page=0x1fd9a3000 add_imm=0xd9f

0xfffffff009e9aa88: a20302d1  sub	x2, x29, #0x80
0xfffffff009e9aa8c: e00313aa  mov	x0, x19
0xfffffff009e9aa90: e10314aa  mov	x1, x20
0xfffffff009e9aa94: 81750194  bl	#0xfffffff009ef8098
0xfffffff009e9aa98: f70300aa  mov	x23, x0
0xfffffff009e9aa9c: ba0358b8  ldur	w26, [x29, #-0x80]
0xfffffff009e9aaa0: e00313aa  mov	x0, x19
0xfffffff009e9aaa4: 81008052  mov	w1, #4
0xfffffff009e9aaa8: 694c0294  bl	#0xfffffff009f2dc4c
0xfffffff009e9aaac: d7410034  cbz	w23, #0xfffffff009e9b2e4
0xfffffff009e9aab0: 5f1b0071  cmp	w26, #6
0xfffffff009e9aab4: 81410054  b.ne	#0xfffffff009e9b2e4
0xfffffff009e9aab8: 60410036  tbz	w0, #0, #0xfffffff009e9b2e4
0xfffffff009e9aabc: e00313aa  mov	x0, x19
0xfffffff009e9aac0: e10314aa  mov	x1, x20
0xfffffff009e9aac4: 75a80194  bl	#0xfffffff009f04c98
0xfffffff009e9aac8: e01b0036  tbz	w0, #0, #0xfffffff009e9ae44
0xfffffff009e9aacc: 88f24139  ldrb	w8, [x20, #0x7c]
0xfffffff009e9aad0: 68002836  tbz	w8, #5, #0xfffffff009e9aadc
0xfffffff009e9aad4: 88a64139  ldrb	w8, [x20, #0x69]
0xfffffff009e9aad8: c81d3037  tbnz	w8, #6, #0xfffffff009e9ae90
0xfffffff009e9aadc: e00313aa  mov	x0, x19
0xfffffff009e9aae0: e10314aa  mov	x1, x20
0xfffffff009e9aae4: 51590194  bl	#0xfffffff009ef1028
0xfffffff009e9aae8: ed000014  b	#0xfffffff009e9ae9c
0xfffffff009e9aaec: 880640f9  ldr	x8, [x20, #8]
0xfffffff009e9aaf0: 897640b9  ldr	w9, [x20, #0x74]
0xfffffff009e9aaf4: e82701a9  stp	x8, x9, [sp, #0x10]
0xfffffff009e9aaf8: 08cdfef0  adrp	x8, #0xfffffff00783d000
0xfffffff009e9aafc: 08053791  add	x8, x8, #0xdc1
0xfffffff009e9ab00: c99e8052  mov	w9, #0x4f6
0xfffffff009e9ab04: e82700a9  stp	x8, x9, [sp]
0xfffffff009e9ab08: 00cdfef0  adrp	x0, #0xfffffff00783d000
0xfffffff009e9ab0c: 007c3691  add	x0, x0, #0xd9f
0xfffffff009e9ab10: 4c93ff97  bl	#0xfffffff009e7f840
0xfffffff009e9ab14: 970b8052  mov	w23, #0x5c
0xfffffff009e9ab18: fc000014  b	#0xfffffff009e9af08
0xfffffff009e9ab1c: 5f130071  cmp	w26, #4
0xfffffff009e9ab20: e8179f1a  cset	w8, eq
0xfffffff009e9ab24: 09000052  eor	w9, w0, #1
0xfffffff009e9ab28: 0801090a  and	w8, w8, w9
0xfffffff009e9ab2c: c80f0037  tbnz	w8, #0, #0xfffffff009e9ad24
0xfffffff009e9ab30: e88340b9  ldr	w8, [sp, #0x80]
0xfffffff009e9ab34: ff02086b  cmp	w23, w8
0xfffffff009e9ab38: 401c0054  b.eq	#0xfffffff009e9aec0
0xfffffff009e9ab3c: e88340b9  ldr	w8, [sp, #0x80]
0xfffffff009e9ab40: 081d0051  sub	w8, w8, #7
0xfffffff009e9ab44: 1f090031  cmn	w8, #2
0xfffffff009e9ab48: 630f0054  b.lo	#0xfffffff009e9ad34
0xfffffff009e9ab4c: c8a68052  mov	w8, #0x536
0xfffffff009e9ab50: c9ccfed0  adrp	x9, #0xfffffff007834000
0xfffffff009e9ab54: 291d3591  add	x9, x9, #0xd47
0xfffffff009e9ab58: 0acdfef0  adrp	x10, #0xfffffff00783d000
0xfffffff009e9ab5c: 4ab93e91  add	x10, x10, #0xfae
0xfffffff009e9ab60: bc010014  b	#0xfffffff009e9b250
0xfffffff009e9ab64: 23cdfe90  adrp	x3, #0xfffffff00783e000
0xfffffff009e9ab68: 63b00291  add	x3, x3, #0xac
0xfffffff009e9ab6c: e00313aa  mov	x0, x19
0xfffffff009e9ab70: e10318aa  mov	x1, x24
0xfffffff009e9ab74: 020080d2  mov	x2, #0
0xfffffff009e9ab78: f13e0294  bl	#0xfffffff009f2a73c
0xfffffff009e9ab7c: e82740f9  ldr	x8, [sp, #0x48]
0xfffffff009e9ab80: 087700b9  str	w8, [x24, #0x74]
0xfffffff009e9ab84: 02000014  b	#0xfffffff009e9ab8c
