; Candidate 9378
; ADRP+ADD at VM 0xfffffff008a356c8 (fileoff 0x1a316c8): page=0x1fe864000 add_imm=0xe40

0xfffffff008a35648: 1f00086b  cmp	w0, w8
0xfffffff008a3564c: 60020054  b.eq	#0xfffffff008a35698
0xfffffff008a35650: f40300aa  mov	x20, x0
0xfffffff008a35654: 40330035  cbnz	w0, #0xfffffff008a35cbc
0xfffffff008a35658: 614242b9  ldr	w1, [x19, #0x240]
0xfffffff008a3565c: e00313aa  mov	x0, x19
0xfffffff008a35660: e20319aa  mov	x2, x25
0xfffffff008a35664: 18050037  tbnz	w24, #0, #0xfffffff008a35704
0xfffffff008a35668: e30315aa  mov	x3, x21
0xfffffff008a3566c: fcfdff97  bl	#0xfffffff008a34e5c
0xfffffff008a35670: a880ffd0  adrp	x8, #0xfffffff007a4b000
0xfffffff008a35674: 084146f9  ldr	x8, [x8, #0xc80]
0xfffffff008a35678: 150f0034  cbz	w21, #0xfffffff008a35858
0xfffffff008a3567c: 09611591  add	x9, x8, #0x558
0xfffffff008a35680: 08ad42f9  ldr	x8, [x8, #0x558]
0xfffffff008a35684: e00313aa  mov	x0, x19
0xfffffff008a35688: f10309aa  mov	x17, x9
0xfffffff008a3568c: d19ef9f2  movk	x17, #0xccf6, lsl #48
0xfffffff008a35690: 11093fd7  blraa	x8, x17
0xfffffff008a35694: 77000014  b	#0xfffffff008a35870
0xfffffff008a35698: 145b8052  mov	w20, #0x2d8
0xfffffff008a3569c: 1400bc72  movk	w20, #0xe000, lsl #16
0xfffffff008a356a0: f5300034  cbz	w21, #0xfffffff008a35cbc
0xfffffff008a356a4: e00313aa  mov	x0, x19
0xfffffff008a356a8: 648df097  bl	#0xfffffff008658c38
0xfffffff008a356ac: e00313aa  mov	x0, x19
0xfffffff008a356b0: 628df097  bl	#0xfffffff008658c38
0xfffffff008a356b4: 95758052  mov	w21, #0x3ac
0xfffffff008a356b8: 5643ffb0  adrp	x22, #0xfffffff00729e000
0xfffffff008a356bc: d67a0391  add	x22, x22, #0xde
0xfffffff008a356c0: f6d700a9  stp	x22, x21, [sp, #8]
0xfffffff008a356c4: e00300f9  str	x0, [sp]
0xfffffff008a356c8: 2043ff90  adrp	x0, #0xfffffff007299000
0xfffffff008a356cc: 00003991  add	x0, x0, #0xe40
0xfffffff008a356d0: a180ffd0  adrp	x1, #0xfffffff007a4b000
0xfffffff008a356d4: 215046f9  ldr	x1, [x1, #0xca0]
0xfffffff008a356d8: 6343ff90  adrp	x3, #0xfffffff0072a1000
0xfffffff008a356dc: 63680991  add	x3, x3, #0x25a
0xfffffff008a356e0: 02028052  mov	w2, #0x10
0xfffffff008a356e4: 93f6e397  bl	#0xfffffff008333130
0xfffffff008a356e8: e00313aa  mov	x0, x19
0xfffffff008a356ec: 538df097  bl	#0xfffffff008658c38
0xfffffff008a356f0: f6d700a9  stp	x22, x21, [sp, #8]
0xfffffff008a356f4: e00300f9  str	x0, [sp]
0xfffffff008a356f8: 4043ffb0  adrp	x0, #0xfffffff00729e000
0xfffffff008a356fc: 00e00191  add	x0, x0, #0x78
0xfffffff008a35700: ad000014  b	#0xfffffff008a359b4
0xfffffff008a35704: e30317aa  mov	x3, x23
0xfffffff008a35708: e9010094  bl	#0xfffffff008a35eac
0xfffffff008a3570c: a880ffd0  adrp	x8, #0xfffffff007a4b000
0xfffffff008a35710: 084146f9  ldr	x8, [x8, #0xc80]
0xfffffff008a35714: 09611591  add	x9, x8, #0x558
0xfffffff008a35718: 08ad42f9  ldr	x8, [x8, #0x558]
0xfffffff008a3571c: e00313aa  mov	x0, x19
0xfffffff008a35720: f10309aa  mov	x17, x9
0xfffffff008a35724: d19ef9f2  movk	x17, #0xccf6, lsl #48
0xfffffff008a35728: 11093fd7  blraa	x8, x17
0xfffffff008a3572c: 80140034  cbz	w0, #0xfffffff008a359bc
0xfffffff008a35730: f40300aa  mov	x20, x0
0xfffffff008a35734: e00313aa  mov	x0, x19
0xfffffff008a35738: 408df097  bl	#0xfffffff008658c38
0xfffffff008a3573c: 700240f9  ldr	x16, [x19]
0xfffffff008a35740: f10313aa  mov	x17, x19
0xfffffff008a35744: 31b4f9f2  movk	x17, #0xcda1, lsl #48
