; Candidate 1175
; ADRP+ADD at VM 0xfffffff008279b8c (fileoff 0x1275b8c): page=0x1fee16000 add_imm=0xd86

0xfffffff008279b0c: 0801158b  add	x8, x8, x21
0xfffffff008279b10: 685601f9  str	x8, [x19, #0x2a8]
0xfffffff008279b14: fd7b42a9  ldp	x29, x30, [sp, #0x20]
0xfffffff008279b18: f44f41a9  ldp	x20, x19, [sp, #0x10]
0xfffffff008279b1c: f657c3a8  ldp	x22, x21, [sp], #0x30
0xfffffff008279b20: ff0f5fd6  retab	
0xfffffff008279b24: 605a01f9  str	x0, [x19, #0x2b0]
0xfffffff008279b28: f5ffff17  b	#0xfffffff008279afc
0xfffffff008279b2c: 7f2303d5  pacibsp	
0xfffffff008279b30: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff008279b34: fd030091  mov	x29, sp
0xfffffff008279b38: 88d038d5  mrs	x8, tpidr_el1
0xfffffff008279b3c: 08595939  ldrb	w8, [x8, #0x656]
0xfffffff008279b40: 68020036  tbz	w8, #0, #0xfffffff008279b8c
0xfffffff008279b44: 081c40b9  ldr	w8, [x0, #0x1c]
0xfffffff008279b48: 08011e32  orr	w8, w8, #4
0xfffffff008279b4c: 1f110071  cmp	w8, #4
0xfffffff008279b50: 61010054  b.ne	#0xfffffff008279b7c
0xfffffff008279b54: 082c40b9  ldr	w8, [x0, #0x2c]
0xfffffff008279b58: 092040b9  ldr	w9, [x0, #0x20]
0xfffffff008279b5c: 0801096b  subs	w8, w8, w9
0xfffffff008279b60: 65000054  b.pl	#0xfffffff008279b6c
0xfffffff008279b64: 090c40b9  ldr	w9, [x0, #0xc]
0xfffffff008279b68: 2801080b  add	w8, w9, w8
0xfffffff008279b6c: 092c40b9  ldr	w9, [x0, #0x2c]
0xfffffff008279b70: 092000b9  str	w9, [x0, #0x20]
0xfffffff008279b74: bf3b03d5  dmb	ish
0xfffffff008279b78: 02000014  b	#0xfffffff008279b80
0xfffffff008279b7c: 08008052  mov	w8, #0
0xfffffff008279b80: e00308aa  mov	x0, x8
0xfffffff008279b84: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff008279b88: ff0f5fd6  retab	
0xfffffff008279b8c: a070ffd0  adrp	x0, #0xfffffff00708f000
0xfffffff008279b90: 00183691  add	x0, x0, #0xd86
0xfffffff008279b94: a170ffd0  adrp	x1, #0xfffffff00708f000
0xfffffff008279b98: 21743691  add	x1, x1, #0xd9d
0xfffffff008279b9c: e2358052  mov	w2, #0x1af
0xfffffff008279ba0: 1d970894  bl	#0xfffffff00849f814
0xfffffff008279ba4: 7f2303d5  pacibsp	
0xfffffff008279ba8: fa67bba9  stp	x26, x25, [sp, #-0x50]!
0xfffffff008279bac: f85f01a9  stp	x24, x23, [sp, #0x10]
0xfffffff008279bb0: f65702a9  stp	x22, x21, [sp, #0x20]
0xfffffff008279bb4: f44f03a9  stp	x20, x19, [sp, #0x30]
0xfffffff008279bb8: fd7b04a9  stp	x29, x30, [sp, #0x40]
0xfffffff008279bbc: fd030191  add	x29, sp, #0x40
0xfffffff008279bc0: 3a2c40b9  ldr	w26, [x1, #0x2c]
0xfffffff008279bc4: 5f03026b  cmp	w26, w2
0xfffffff008279bc8: a0030054  b.eq	#0xfffffff008279c3c
0xfffffff008279bcc: f30304aa  mov	x19, x4
0xfffffff008279bd0: f40303aa  mov	x20, x3
0xfffffff008279bd4: f50302aa  mov	x21, x2
0xfffffff008279bd8: f60301aa  mov	x22, x1
0xfffffff008279bdc: f70300aa  mov	x23, x0
0xfffffff008279be0: 59018052  mov	w25, #0xa
0xfffffff008279be4: c84640f9  ldr	x8, [x22, #0x88]
0xfffffff008279be8: 18597af8  ldr	x24, [x8, w26, uxtw #3]
0xfffffff008279bec: 0833c079  ldrsh	w8, [x24, #0x18]
0xfffffff008279bf0: c800f837  tbnz	w8, #0x1f, #0xfffffff008279c08
0xfffffff008279bf4: 08835fb8  ldur	w8, [x24, #-8]
0xfffffff008279bf8: 091b40f9  ldr	x9, [x24, #0x30]
0xfffffff008279bfc: 29815fb8  ldur	w9, [x9, #-8]
0xfffffff008279c00: 1f01096b  cmp	w8, w9
0xfffffff008279c04: c1020054  b.ne	#0xfffffff008279c5c
0xfffffff008279c08: e00317aa  mov	x0, x23
