; Candidate 14773
; ADRP+ADD at VM 0xfffffff009912f10 (fileoff 0x290ef10): page=0xa83000 add_imm=0xe48

0xfffffff009912e90: f30301aa  mov	x19, x1
0xfffffff009912e94: f40300aa  mov	x20, x0
0xfffffff009912e98: 0e059797  bl	#0xfffffff007ed42d0
0xfffffff009912e9c: f50300aa  mov	x21, x0
0xfffffff009912ea0: 900240f9  ldr	x16, [x20]
0xfffffff009912ea4: f10314aa  mov	x17, x20
0xfffffff009912ea8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009912eac: 301ac1da  autda	x16, x17
0xfffffff009912eb0: 080e48f8  ldr	x8, [x16, #0x80]!
0xfffffff009912eb4: e90310aa  mov	x9, x16
0xfffffff009912eb8: e00314aa  mov	x0, x20
0xfffffff009912ebc: f10309aa  mov	x17, x9
0xfffffff009912ec0: 11fffef2  movk	x17, #0xf7f8, lsl #48
0xfffffff009912ec4: 11093fd7  blraa	x8, x17
0xfffffff009912ec8: e8f301b2  mov	x8, #-0x5555555555555556
0xfffffff009912ecc: e80700f9  str	x8, [sp, #8]
0xfffffff009912ed0: a00200cb  sub	x0, x21, x0
0xfffffff009912ed4: e1230091  add	x1, sp, #8
0xfffffff009912ed8: 5a069797  bl	#0xfffffff007ed4840
0xfffffff009912edc: e80740f9  ldr	x8, [sp, #8]
0xfffffff009912ee0: e903132a  mov	w9, w19
0xfffffff009912ee4: 0009c99a  udiv	x0, x8, x9
0xfffffff009912ee8: fd7b43a9  ldp	x29, x30, [sp, #0x30]
0xfffffff009912eec: f44f42a9  ldp	x20, x19, [sp, #0x20]
0xfffffff009912ef0: f65741a9  ldp	x22, x21, [sp, #0x10]
0xfffffff009912ef4: ff030191  add	sp, sp, #0x40
0xfffffff009912ef8: ff0f5fd6  retab	
0xfffffff009912efc: 5f2403d5  bti	c
0xfffffff009912f00: fd45a717  b	#0xfffffff0082e46f4
0xfffffff009912f04: 7f2303d5  pacibsp	
0xfffffff009912f08: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff009912f0c: fd030091  mov	x29, sp
0xfffffff009912f10: 005400f0  adrp	x0, #0xfffffff00a395000
0xfffffff009912f14: 00203991  add	x0, x0, #0xe48
0xfffffff009912f18: 61e6fe90  adrp	x1, #0xfffffff0075de000
0xfffffff009912f1c: 21d02491  add	x1, x1, #0x934
0xfffffff009912f20: e21afff0  adrp	x2, #0xfffffff007c71000
0xfffffff009912f24: 424842f9  ldr	x2, [x2, #0x490]
0xfffffff009912f28: 030a8052  mov	w3, #0x50
0xfffffff009912f2c: 0343a797  bl	#0xfffffff0082e3b38
0xfffffff009912f30: 301bffb0  adrp	x16, #0xfffffff007c77000
0xfffffff009912f34: 10422291  add	x16, x16, #0x890
0xfffffff009912f38: 10420091  add	x16, x16, #0x10
0xfffffff009912f3c: f10300aa  mov	x17, x0
0xfffffff009912f40: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009912f44: 300ac1da  pacda	x16, x17
0xfffffff009912f48: 100000f9  str	x16, [x0]
0xfffffff009912f4c: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff009912f50: ff0f5fd6  retab	
0xfffffff009912f54: 5f2403d5  bti	c
0xfffffff009912f58: 005400f0  adrp	x0, #0xfffffff00a395000
0xfffffff009912f5c: 00203991  add	x0, x0, #0xe48
0xfffffff009912f60: e545a717  b	#0xfffffff0082e46f4
0xfffffff009912f64: 7f2303d5  pacibsp	
0xfffffff009912f68: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff009912f6c: fd030091  mov	x29, sp
0xfffffff009912f70: 61e6fe90  adrp	x1, #0xfffffff0075de000
0xfffffff009912f74: 21682591  add	x1, x1, #0x95a
0xfffffff009912f78: e21afff0  adrp	x2, #0xfffffff007c71000
0xfffffff009912f7c: 422442f9  ldr	x2, [x2, #0x448]
0xfffffff009912f80: 030a8052  mov	w3, #0x50
0xfffffff009912f84: ed42a797  bl	#0xfffffff0082e3b38
0xfffffff009912f88: 301bffb0  adrp	x16, #0xfffffff007c77000
0xfffffff009912f8c: 10022891  add	x16, x16, #0xa00
