; Candidate 11290
; ADRP+ADD at VM 0xfffffff008ee1108 (fileoff 0x1edd108): page=0x1fe523000 add_imm=0xe0f

0xfffffff008ee1088: ff030191  add	sp, sp, #0x40
0xfffffff008ee108c: ff0f5fd6  retab	
0xfffffff008ee1090: 5f2403d5  bti	c
0xfffffff008ee1094: 48a100d0  adrp	x8, #0xfffffff00a30b000
0xfffffff008ee1098: 08ad46b9  ldr	w8, [x8, #0x6ac]
0xfffffff008ee109c: 1f010071  cmp	w8, #0
0xfffffff008ee10a0: e0079f1a  cset	w0, ne
0xfffffff008ee10a4: c0035fd6  ret	
0xfffffff008ee10a8: 7f2303d5  pacibsp	
0xfffffff008ee10ac: ff8300d1  sub	sp, sp, #0x20
0xfffffff008ee10b0: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff008ee10b4: fd430091  add	x29, sp, #0x10
0xfffffff008ee10b8: 8861ffb0  adrp	x8, #0xfffffff007b12000
0xfffffff008ee10bc: 08616739  ldrb	w8, [x8, #0x9d8]
0xfffffff008ee10c0: 48010034  cbz	w8, #0xfffffff008ee10e8
0xfffffff008ee10c4: 0029fff0  adrp	x0, #0xfffffff007404000
0xfffffff008ee10c8: 00983891  add	x0, x0, #0xe26
0xfffffff008ee10cc: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff008ee10d0: ff830091  add	sp, sp, #0x20
0xfffffff008ee10d4: ff2303d5  autibsp	
0xfffffff008ee10d8: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff008ee10dc: 5000f0b6  tbz	x16, #0x3e, #0xfffffff008ee10e4
0xfffffff008ee10e0: 208e38d4  brk	#0xc471
0xfffffff008ee10e4: cfd7d117  b	#0xfffffff008357020
0xfffffff008ee10e8: 0e000094  bl	#0xfffffff008ee1120
0xfffffff008ee10ec: 4f50cc97  bl	#0xfffffff0081f5228
0xfffffff008ee10f0: 48a100d0  adrp	x8, #0xfffffff00a30b000
0xfffffff008ee10f4: 08ad46b9  ldr	w8, [x8, #0x6ac]
0xfffffff008ee10f8: 1f010071  cmp	w8, #0
0xfffffff008ee10fc: e8079f1a  cset	w8, ne
0xfffffff008ee1100: e903002a  mov	w9, w0
0xfffffff008ee1104: e92300a9  stp	x9, x8, [sp]
0xfffffff008ee1108: 0029fff0  adrp	x0, #0xfffffff007404000
0xfffffff008ee110c: 003c3891  add	x0, x0, #0xe0f
0xfffffff008ee1110: c4d7d197  bl	#0xfffffff008357020
0xfffffff008ee1114: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff008ee1118: ff830091  add	sp, sp, #0x20
0xfffffff008ee111c: ff0f5fd6  retab	
0xfffffff008ee1120: 7f2303d5  pacibsp	
0xfffffff008ee1124: ff4301d1  sub	sp, sp, #0x50
0xfffffff008ee1128: f65702a9  stp	x22, x21, [sp, #0x20]
0xfffffff008ee112c: f44f03a9  stp	x20, x19, [sp, #0x30]
0xfffffff008ee1130: fd7b04a9  stp	x29, x30, [sp, #0x40]
0xfffffff008ee1134: fd030191  add	x29, sp, #0x40
0xfffffff008ee1138: 8861ffb0  adrp	x8, #0xfffffff007b12000
0xfffffff008ee113c: 08656739  ldrb	w8, [x8, #0x9d9]
0xfffffff008ee1140: e8050035  cbnz	w8, #0xfffffff008ee11fc
0xfffffff008ee1144: 2029ff90  adrp	x0, #0xfffffff007405000
0xfffffff008ee1148: 00880491  add	x0, x0, #0x122
0xfffffff008ee114c: 010080d2  mov	x1, #0
0xfffffff008ee1150: d0a3d297  bl	#0xfffffff00838a090
0xfffffff008ee1154: f30300aa  mov	x19, x0
0xfffffff008ee1158: 018095d2  mov	x1, #0xac00
0xfffffff008ee115c: 6184bff2  movk	x1, #0xfc23, lsl #16
0xfffffff008ee1160: c100c0f2  movk	x1, #6, lsl #32
0xfffffff008ee1164: 0aa3d297  bl	#0xfffffff008389d8c
0xfffffff008ee1168: f50300aa  mov	x21, x0
0xfffffff008ee116c: 8861ff90  adrp	x8, #0xfffffff007b11000
0xfffffff008ee1170: 080543f9  ldr	x8, [x8, #0x608]
0xfffffff008ee1174: 010140f9  ldr	x1, [x8]
0xfffffff008ee1178: df0ad097  bl	#0xfffffff0082e3cf4
0xfffffff008ee117c: 201000b4  cbz	x0, #0xfffffff008ee1380
0xfffffff008ee1180: f40300aa  mov	x20, x0
0xfffffff008ee1184: 289c0394  bl	#0xfffffff008fc8224
