; Candidate 13424
; ADRP+ADD at VM 0xfffffff0092cfda8 (fileoff 0x22cbda8): page=0x1fe210000 add_imm=0xe26

0xfffffff0092cfd28: 400300b4  cbz	x0, #0xfffffff0092cfd90
0xfffffff0092cfd2c: 700240f9  ldr	x16, [x19]
0xfffffff0092cfd30: f10313aa  mov	x17, x19
0xfffffff0092cfd34: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0092cfd38: 301ac1da  autda	x16, x17
0xfffffff0092cfd3c: 116e80d2  mov	x17, #0x370
0xfffffff0092cfd40: 1002118b  add	x16, x16, x17
0xfffffff0092cfd44: 080240f9  ldr	x8, [x16]
0xfffffff0092cfd48: e90310aa  mov	x9, x16
0xfffffff0092cfd4c: e00313aa  mov	x0, x19
0xfffffff0092cfd50: f10309aa  mov	x17, x9
0xfffffff0092cfd54: f176f2f2  movk	x17, #0x93b7, lsl #48
0xfffffff0092cfd58: 11093fd7  blraa	x8, x17
0xfffffff0092cfd5c: 100040f9  ldr	x16, [x0]
0xfffffff0092cfd60: f10300aa  mov	x17, x0
0xfffffff0092cfd64: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0092cfd68: 301ac1da  autda	x16, x17
0xfffffff0092cfd6c: 113d80d2  mov	x17, #0x1e8
0xfffffff0092cfd70: 1002118b  add	x16, x16, x17
0xfffffff0092cfd74: 080240f9  ldr	x8, [x16]
0xfffffff0092cfd78: e90310aa  mov	x9, x16
0xfffffff0092cfd7c: 010080d2  mov	x1, #0
0xfffffff0092cfd80: f10309aa  mov	x17, x9
0xfffffff0092cfd84: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff0092cfd88: 11093fd7  blraa	x8, x17
0xfffffff0092cfd8c: 03000014  b	#0xfffffff0092cfd98
0xfffffff0092cfd90: 6010fff0  adrp	x0, #0xfffffff0074de000
0xfffffff0092cfd94: 00102191  add	x0, x0, #0x844
0xfffffff0092cfd98: a8024079  ldrh	w8, [x21]
0xfffffff0092cfd9c: f4a301a9  stp	x20, x8, [sp, #0x18]
0xfffffff0092cfda0: f78300a9  stp	x23, x0, [sp, #8]
0xfffffff0092cfda4: f60300f9  str	x22, [sp]
0xfffffff0092cfda8: 8010ff90  adrp	x0, #0xfffffff0074df000
0xfffffff0092cfdac: 00983891  add	x0, x0, #0xe26
0xfffffff0092cfdb0: 9c1cc297  bl	#0xfffffff008357020
0xfffffff0092cfdb4: 75a23a91  add	x21, x19, #0xea8
0xfffffff0092cfdb8: 9410ff90  adrp	x20, #0xfffffff0074df000
0xfffffff0092cfdbc: 94723291  add	x20, x20, #0xc9c
0xfffffff0092cfdc0: e00314aa  mov	x0, x20
0xfffffff0092cfdc4: e10315aa  mov	x1, x21
0xfffffff0092cfdc8: 42008052  mov	w2, #2
0xfffffff0092cfdcc: 7b74c697  bl	#0xfffffff00846cfb8
0xfffffff0092cfdd0: c0070034  cbz	w0, #0xfffffff0092cfec8
0xfffffff0092cfdd4: 700240f9  ldr	x16, [x19]
0xfffffff0092cfdd8: f10313aa  mov	x17, x19
0xfffffff0092cfddc: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0092cfde0: 301ac1da  autda	x16, x17
0xfffffff0092cfde4: 113d80d2  mov	x17, #0x1e8
0xfffffff0092cfde8: 1002118b  add	x16, x16, x17
0xfffffff0092cfdec: 080240f9  ldr	x8, [x16]
0xfffffff0092cfdf0: e90310aa  mov	x9, x16
0xfffffff0092cfdf4: e00313aa  mov	x0, x19
0xfffffff0092cfdf8: 010080d2  mov	x1, #0
0xfffffff0092cfdfc: f10309aa  mov	x17, x9
0xfffffff0092cfe00: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff0092cfe04: 11093fd7  blraa	x8, x17
0xfffffff0092cfe08: f60300aa  mov	x22, x0
0xfffffff0092cfe0c: 700240f9  ldr	x16, [x19]
0xfffffff0092cfe10: f10313aa  mov	x17, x19
0xfffffff0092cfe14: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0092cfe18: 301ac1da  autda	x16, x17
0xfffffff0092cfe1c: 116e80d2  mov	x17, #0x370
0xfffffff0092cfe20: 1002118b  add	x16, x16, x17
0xfffffff0092cfe24: 080240f9  ldr	x8, [x16]
