; Candidate 2384
; ADRP+ADD at VM 0xfffffff0086406e0 (fileoff 0x163c6e0): page=0x1fead1000 add_imm=0xdff

0xfffffff008640660: 94220091  add	x20, x20, #8
0xfffffff008640664: 9f8200f1  cmp	x20, #0x20
0xfffffff008640668: 81feff54  b.ne	#0xfffffff008640638
0xfffffff00864066c: a8835df8  ldur	x8, [x29, #-0x28]
0xfffffff008640670: 899cffd0  adrp	x9, #0xfffffff0079d2000
0xfffffff008640674: 291142f9  ldr	x9, [x9, #0x420]
0xfffffff008640678: 290140f9  ldr	x9, [x9]
0xfffffff00864067c: 3f0108eb  cmp	x9, x8
0xfffffff008640680: 81030054  b.ne	#0xfffffff0086406f0
0xfffffff008640684: e00313aa  mov	x0, x19
0xfffffff008640688: fd7b46a9  ldp	x29, x30, [sp, #0x60]
0xfffffff00864068c: f44f45a9  ldp	x20, x19, [sp, #0x50]
0xfffffff008640690: f65744a9  ldp	x22, x21, [sp, #0x40]
0xfffffff008640694: ffc30191  add	sp, sp, #0x70
0xfffffff008640698: ff0f5fd6  retab	
0xfffffff00864069c: 900240f9  ldr	x16, [x20]
0xfffffff0086406a0: f10314aa  mov	x17, x20
0xfffffff0086406a4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0086406a8: 301ac1da  autda	x16, x17
0xfffffff0086406ac: 113d80d2  mov	x17, #0x1e8
0xfffffff0086406b0: 1002118b  add	x16, x16, x17
0xfffffff0086406b4: 080240f9  ldr	x8, [x16]
0xfffffff0086406b8: e90310aa  mov	x9, x16
0xfffffff0086406bc: e00314aa  mov	x0, x20
0xfffffff0086406c0: 010080d2  mov	x1, #0
0xfffffff0086406c4: f10309aa  mov	x17, x9
0xfffffff0086406c8: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff0086406cc: 11093fd7  blraa	x8, x17
0xfffffff0086406d0: 8856ffb0  adrp	x8, #0xfffffff007111000
0xfffffff0086406d4: 08c93891  add	x8, x8, #0xe32
0xfffffff0086406d8: e8cf00a9  stp	x8, x19, [sp, #8]
0xfffffff0086406dc: e00300f9  str	x0, [sp]
0xfffffff0086406e0: 8056ffb0  adrp	x0, #0xfffffff007111000
0xfffffff0086406e4: 00fc3791  add	x0, x0, #0xdff
0xfffffff0086406e8: 77ffff97  bl	#0xfffffff0086404c4
0xfffffff0086406ec: e0ffff17  b	#0xfffffff00864066c
0xfffffff0086406f0: d775dc97  bl	#0xfffffff007d5de4c
0xfffffff0086406f4: 7f2303d5  pacibsp	
0xfffffff0086406f8: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff0086406fc: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff008640700: fd430091  add	x29, sp, #0x10
0xfffffff008640704: f30301aa  mov	x19, x1
0xfffffff008640708: f40300aa  mov	x20, x0
0xfffffff00864070c: 8056ffb0  adrp	x0, #0xfffffff007111000
0xfffffff008640710: 00641a91  add	x0, x0, #0x699
0xfffffff008640714: 5bffff97  bl	#0xfffffff008640480
0xfffffff008640718: 88a240f9  ldr	x8, [x20, #0x140]
0xfffffff00864071c: 480400b4  cbz	x8, #0xfffffff0086407a4
0xfffffff008640720: 900240f9  ldr	x16, [x20]
0xfffffff008640724: f10314aa  mov	x17, x20
0xfffffff008640728: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00864072c: 301ac1da  autda	x16, x17
0xfffffff008640730: 116f80d2  mov	x17, #0x378
0xfffffff008640734: 1002118b  add	x16, x16, x17
0xfffffff008640738: 080240f9  ldr	x8, [x16]
0xfffffff00864073c: e90310aa  mov	x9, x16
0xfffffff008640740: e00314aa  mov	x0, x20
0xfffffff008640744: f10309aa  mov	x17, x9
0xfffffff008640748: d171ecf2  movk	x17, #0x638e, lsl #48
0xfffffff00864074c: 11093fd7  blraa	x8, x17
0xfffffff008640750: 81a240f9  ldr	x1, [x20, #0x140]
0xfffffff008640754: 100040f9  ldr	x16, [x0]
0xfffffff008640758: f10300aa  mov	x17, x0
0xfffffff00864075c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
