; Candidate 13011
; ADRP+ADD at VM 0xfffffff0091b87fc (fileoff 0x21b47fc): page=0x1fe2e0000 add_imm=0xed6

0xfffffff0091b877c: 31abeff2  movk	x17, #0x7d59, lsl #48
0xfffffff0091b8780: 11093fd7  blraa	x8, x17
0xfffffff0091b8784: 35008052  mov	w21, #1
0xfffffff0091b8788: e00315aa  mov	x0, x21
0xfffffff0091b878c: fd7b43a9  ldp	x29, x30, [sp, #0x30]
0xfffffff0091b8790: f44f42a9  ldp	x20, x19, [sp, #0x20]
0xfffffff0091b8794: f65741a9  ldp	x22, x21, [sp, #0x10]
0xfffffff0091b8798: ff030191  add	sp, sp, #0x40
0xfffffff0091b879c: ff0f5fd6  retab	
0xfffffff0091b87a0: 15008052  mov	w21, #0
0xfffffff0091b87a4: f9ffff17  b	#0xfffffff0091b8788
0xfffffff0091b87a8: 7f2303d5  pacibsp	
0xfffffff0091b87ac: ff0302d1  sub	sp, sp, #0x80
0xfffffff0091b87b0: f85f04a9  stp	x24, x23, [sp, #0x40]
0xfffffff0091b87b4: f65705a9  stp	x22, x21, [sp, #0x50]
0xfffffff0091b87b8: f44f06a9  stp	x20, x19, [sp, #0x60]
0xfffffff0091b87bc: fd7b07a9  stp	x29, x30, [sp, #0x70]
0xfffffff0091b87c0: fdc30191  add	x29, sp, #0x70
0xfffffff0091b87c4: f30302aa  mov	x19, x2
0xfffffff0091b87c8: f40300aa  mov	x20, x0
0xfffffff0091b87cc: 884dfff0  adrp	x8, #0xfffffff007b6b000
0xfffffff0091b87d0: 08dd40f9  ldr	x8, [x8, #0x1b8]
0xfffffff0091b87d4: 080140f9  ldr	x8, [x8]
0xfffffff0091b87d8: e81f00f9  str	x8, [sp, #0x38]
0xfffffff0091b87dc: 0017ff90  adrp	x0, #0xfffffff007498000
0xfffffff0091b87e0: 00dc3a91  add	x0, x0, #0xeb7
0xfffffff0091b87e4: ebc2c597  bl	#0xfffffff008329390
0xfffffff0091b87e8: e01300f9  str	x0, [sp, #0x20]
0xfffffff0091b87ec: 0017ff90  adrp	x0, #0xfffffff007498000
0xfffffff0091b87f0: 00283b91  add	x0, x0, #0xeca
0xfffffff0091b87f4: e7c2c597  bl	#0xfffffff008329390
0xfffffff0091b87f8: e01700f9  str	x0, [sp, #0x28]
0xfffffff0091b87fc: 0017ff90  adrp	x0, #0xfffffff007498000
0xfffffff0091b8800: 00583b91  add	x0, x0, #0xed6
0xfffffff0091b8804: e3c2c597  bl	#0xfffffff008329390
0xfffffff0091b8808: e01b00f9  str	x0, [sp, #0x30]
0xfffffff0091b880c: 80be40b9  ldr	w0, [x20, #0xbc]
0xfffffff0091b8810: 01048052  mov	w1, #0x20
0xfffffff0091b8814: b69ac597  bl	#0xfffffff00831f2ec
0xfffffff0091b8818: e00700f9  str	x0, [sp, #8]
0xfffffff0091b881c: 80ba40b9  ldr	w0, [x20, #0xb8]
0xfffffff0091b8820: 01048052  mov	w1, #0x20
0xfffffff0091b8824: b29ac597  bl	#0xfffffff00831f2ec
0xfffffff0091b8828: e00b00f9  str	x0, [sp, #0x10]
0xfffffff0091b882c: 80c240b9  ldr	w0, [x20, #0xc0]
0xfffffff0091b8830: 01048052  mov	w1, #0x20
0xfffffff0091b8834: ae9ac597  bl	#0xfffffff00831f2ec
0xfffffff0091b8838: e00f00f9  str	x0, [sp, #0x18]
0xfffffff0091b883c: f5230091  add	x21, sp, #8
0xfffffff0091b8840: f6830091  add	x22, sp, #0x20
0xfffffff0091b8844: e0230091  add	x0, sp, #8
0xfffffff0091b8848: e1830091  add	x1, sp, #0x20
0xfffffff0091b884c: 03008052  mov	w3, #0
0xfffffff0091b8850: 62008052  mov	w2, #3
0xfffffff0091b8854: 64e2c497  bl	#0xfffffff0082f11e4
0xfffffff0091b8858: f40300aa  mov	x20, x0
0xfffffff0091b885c: a00700b4  cbz	x0, #0xfffffff0091b8950
0xfffffff0091b8860: 900240f9  ldr	x16, [x20]
0xfffffff0091b8864: f10314aa  mov	x17, x20
0xfffffff0091b8868: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0091b886c: 301ac1da  autda	x16, x17
0xfffffff0091b8870: 080e43f8  ldr	x8, [x16, #0x30]!
0xfffffff0091b8874: e90310aa  mov	x9, x16
0xfffffff0091b8878: e00314aa  mov	x0, x20
