; Candidate 10756
; ADRP+ADD at VM 0xfffffff008de5940 (fileoff 0x1de1940): page=0x1fe5df000 add_imm=0xd54

0xfffffff008de58c0: eb079f1a  cset	w11, ne
0xfffffff008de58c4: 7f010a6b  cmp	w11, w10
0xfffffff008de58c8: 81070054  b.ne	#0xfffffff008de59b8
0xfffffff008de58cc: aa1340f9  ldr	x10, [x29, #0x20]
0xfffffff008de58d0: 6a0800b4  cbz	x10, #0xfffffff008de59dc
0xfffffff008de58d4: ab1740f9  ldr	x11, [x29, #0x28]
0xfffffff008de58d8: ac1f40b9  ldr	w12, [x29, #0x1c]
0xfffffff008de58dc: eaaf01a9  stp	x10, x11, [sp, #0x18]
0xfffffff008de58e0: e8330229  stp	w8, w12, [sp, #0x10]
0xfffffff008de58e4: e90700f9  str	x9, [sp, #8]
0xfffffff008de58e8: f8030039  strb	w24, [sp]
0xfffffff008de58ec: e0031aaa  mov	x0, x26
0xfffffff008de58f0: e10319aa  mov	x1, x25
0xfffffff008de58f4: 62018052  mov	w2, #0xb
0xfffffff008de58f8: e30317aa  mov	x3, x23
0xfffffff008de58fc: e40316aa  mov	x4, x22
0xfffffff008de5900: e50315aa  mov	x5, x21
0xfffffff008de5904: e60314aa  mov	x6, x20
0xfffffff008de5908: e70313aa  mov	x7, x19
0xfffffff008de590c: e6fbff97  bl	#0xfffffff008de48a4
0xfffffff008de5910: f30300aa  mov	x19, x0
0xfffffff008de5914: 40080035  cbnz	w0, #0xfffffff008de5a1c
0xfffffff008de5918: 48018052  mov	w8, #0xa
0xfffffff008de591c: 69034039  ldrb	w9, [x27]
0xfffffff008de5920: 1f01096b  cmp	w8, w9
0xfffffff008de5924: 43010054  b.lo	#0xfffffff008de594c
0xfffffff008de5928: e80313aa  mov	x8, x19
0xfffffff008de592c: 087d4093  sxtw	x8, w8
0xfffffff008de5930: e92effb0  adrp	x9, #0xfffffff0073c2000
0xfffffff008de5934: 29751391  add	x9, x9, #0x4dd
0xfffffff008de5938: fc2700a9  stp	x28, x9, [sp]
0xfffffff008de593c: e80b00f9  str	x8, [sp, #0x10]
0xfffffff008de5940: e02efff0  adrp	x0, #0xfffffff0073c4000
0xfffffff008de5944: 00503591  add	x0, x0, #0xd54
0xfffffff008de5948: b6c5d597  bl	#0xfffffff008357020
0xfffffff008de594c: e00313aa  mov	x0, x19
0xfffffff008de5950: fd7b48a9  ldp	x29, x30, [sp, #0x80]
0xfffffff008de5954: f44f47a9  ldp	x20, x19, [sp, #0x70]
0xfffffff008de5958: f65746a9  ldp	x22, x21, [sp, #0x60]
0xfffffff008de595c: f85f45a9  ldp	x24, x23, [sp, #0x50]
0xfffffff008de5960: fa6744a9  ldp	x26, x25, [sp, #0x40]
0xfffffff008de5964: fc6f43a9  ldp	x28, x27, [sp, #0x30]
0xfffffff008de5968: ff430291  add	sp, sp, #0x90
0xfffffff008de596c: ff0f5fd6  retab	
0xfffffff008de5970: c8f78052  mov	w8, #0x7be
0xfffffff008de5974: e92eff90  adrp	x9, #0xfffffff0073c1000
0xfffffff008de5978: 29490d91  add	x9, x9, #0x352
0xfffffff008de597c: e81300f9  str	x8, [sp, #0x20]
0xfffffff008de5980: e82efff0  adrp	x8, #0xfffffff0073c4000
0xfffffff008de5984: 08493991  add	x8, x8, #0xe52
0xfffffff008de5988: ea2eff90  adrp	x10, #0xfffffff0073c1000
0xfffffff008de598c: 4add1491  add	x10, x10, #0x537
0xfffffff008de5990: 1b000014  b	#0xfffffff008de59fc
0xfffffff008de5994: e8f78052  mov	w8, #0x7bf
0xfffffff008de5998: e92eff90  adrp	x9, #0xfffffff0073c1000
0xfffffff008de599c: 29490d91  add	x9, x9, #0x352
0xfffffff008de59a0: e81300f9  str	x8, [sp, #0x20]
0xfffffff008de59a4: e82efff0  adrp	x8, #0xfffffff0073c4000
0xfffffff008de59a8: 08493991  add	x8, x8, #0xe52
0xfffffff008de59ac: ea2effb0  adrp	x10, #0xfffffff0073c2000
0xfffffff008de59b0: 4ae11291  add	x10, x10, #0x4b8
0xfffffff008de59b4: 12000014  b	#0xfffffff008de59fc
0xfffffff008de59b8: 08f88052  mov	w8, #0x7c0
0xfffffff008de59bc: e92eff90  adrp	x9, #0xfffffff0073c1000
