; Candidate 8432
; ADRP+ADD at VM 0xfffffff0088aa5d0 (fileoff 0x18a65d0): page=0x1fe93f000 add_imm=0xe80

0xfffffff0088aa550: 08650891  add	x8, x8, #0x219
0xfffffff0088aa554: 49448052  mov	w9, #0x222
0xfffffff0088aa558: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0088aa55c: 484cffb0  adrp	x8, #0xfffffff007233000
0xfffffff0088aa560: 080d0891  add	x8, x8, #0x203
0xfffffff0088aa564: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088aa568: c80f8052  mov	w8, #0x7e
0xfffffff0088aa56c: 404bfff0  adrp	x0, #0xfffffff007215000
0xfffffff0088aa570: 00081391  add	x0, x0, #0x4c2
0xfffffff0088aa574: f52300a9  stp	x21, x8, [sp]
0xfffffff0088aa578: ba33d497  bl	#0xfffffff007db7460
0xfffffff0088aa57c: 61000014  b	#0xfffffff0088aa700
0xfffffff0088aa580: 0b270094  bl	#0xfffffff0088b41ac
0xfffffff0088aa584: f50300aa  mov	x21, x0
0xfffffff0088aa588: 00018052  mov	w0, #8
0xfffffff0088aa58c: b144ff97  bl	#0xfffffff00887b850
0xfffffff0088aa590: 880e40f9  ldr	x8, [x20, #0x18]
0xfffffff0088aa594: 691240b9  ldr	w9, [x19, #0x10]
0xfffffff0088aa598: 8a2e4229  ldp	w10, w11, [x20, #0x10]
0xfffffff0088aa59c: 8c2240b9  ldr	w12, [x20, #0x20]
0xfffffff0088aa5a0: eb3305a9  stp	x11, x12, [sp, #0x50]
0xfffffff0088aa5a4: e82b04a9  stp	x8, x10, [sp, #0x40]
0xfffffff0088aa5a8: e95303a9  stp	x9, x20, [sp, #0x30]
0xfffffff0088aa5ac: 88448052  mov	w8, #0x224
0xfffffff0088aa5b0: e84f02a9  stp	x8, x19, [sp, #0x20]
0xfffffff0088aa5b4: 484cffb0  adrp	x8, #0xfffffff007233000
0xfffffff0088aa5b8: 080d0891  add	x8, x8, #0x203
0xfffffff0088aa5bc: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088aa5c0: c80f8052  mov	w8, #0x7e
0xfffffff0088aa5c4: c34dffb0  adrp	x3, #0xfffffff007263000
0xfffffff0088aa5c8: 63280e91  add	x3, x3, #0x38a
0xfffffff0088aa5cc: f52300a9  stp	x21, x8, [sp]
0xfffffff0088aa5d0: e049fff0  adrp	x0, #0xfffffff0071e9000
0xfffffff0088aa5d4: 00003a91  add	x0, x0, #0xe80
0xfffffff0088aa5d8: e18affd0  adrp	x1, #0xfffffff007a08000
0xfffffff0088aa5dc: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088aa5e0: 02008052  mov	w2, #0
0xfffffff0088aa5e4: d322ea97  bl	#0xfffffff008333130
0xfffffff0088aa5e8: 881240b9  ldr	w8, [x20, #0x10]
0xfffffff0088aa5ec: 1f0d0071  cmp	w8, #3
0xfffffff0088aa5f0: 01040054  b.ne	#0xfffffff0088aa670
0xfffffff0088aa5f4: e00313aa  mov	x0, x19
0xfffffff0088aa5f8: 47faff97  bl	#0xfffffff0088a8f14
0xfffffff0088aa5fc: a0030034  cbz	w0, #0xfffffff0088aa670
0xfffffff0088aa600: f50300aa  mov	x21, x0
0xfffffff0088aa604: c00f8052  mov	w0, #0x7e
0xfffffff0088aa608: 81008052  mov	w1, #4
0xfffffff0088aa60c: 7144ff97  bl	#0xfffffff00887b7d0
0xfffffff0088aa610: a0070034  cbz	w0, #0xfffffff0088aa704
0xfffffff0088aa614: c00f8052  mov	w0, #0x7e
0xfffffff0088aa618: 8044ff97  bl	#0xfffffff00887b818
0xfffffff0088aa61c: f70300aa  mov	x23, x0
0xfffffff0088aa620: e3260094  bl	#0xfffffff0088b41ac
0xfffffff0088aa624: f60300aa  mov	x22, x0
0xfffffff0088aa628: 80008052  mov	w0, #4
0xfffffff0088aa62c: 8944ff97  bl	#0xfffffff00887b850
0xfffffff0088aa630: 170d0034  cbz	w23, #0xfffffff0088aa7d0
0xfffffff0088aa634: f4d703a9  stp	x20, x21, [sp, #0x38]
0xfffffff0088aa638: 284bffd0  adrp	x8, #0xfffffff007210000
0xfffffff0088aa63c: 08b92791  add	x8, x8, #0x9ee
0xfffffff0088aa640: 89458052  mov	w9, #0x22c
0xfffffff0088aa644: e8cf02a9  stp	x8, x19, [sp, #0x28]
0xfffffff0088aa648: 484cffb0  adrp	x8, #0xfffffff007233000
0xfffffff0088aa64c: 080d0891  add	x8, x8, #0x203
