; Candidate 9854
; ADRP+ADD at VM 0xfffffff008b5b294 (fileoff 0x1b57294): page=0x1fe7d2000 add_imm=0xdbc

0xfffffff008b5b214: 800740f9  ldr	x0, [x28, #8]
0xfffffff008b5b218: 91993d94  bl	#0xfffffff009ac185c
0xfffffff008b5b21c: 880340f9  ldr	x8, [x28]
0xfffffff008b5b220: 890b40f9  ldr	x9, [x28, #0x10]
0xfffffff008b5b224: 8aef4039  ldrb	w10, [x28, #0x3b]
0xfffffff008b5b228: 8beb4039  ldrb	w11, [x28, #0x3a]
0xfffffff008b5b22c: 8ce74039  ldrb	w12, [x28, #0x39]
0xfffffff008b5b230: 8de34039  ldrb	w13, [x28, #0x38]
0xfffffff008b5b234: ec3703a9  stp	x12, x13, [sp, #0x30]
0xfffffff008b5b238: ea2f02a9  stp	x10, x11, [sp, #0x20]
0xfffffff008b5b23c: e82701a9  stp	x8, x9, [sp, #0x10]
0xfffffff008b5b240: f60300a9  stp	x22, x0, [sp]
0xfffffff008b5b244: e00319aa  mov	x0, x25
0xfffffff008b5b248: e1031aaa  mov	x1, x26
0xfffffff008b5b24c: 02008052  mov	w2, #0
0xfffffff008b5b250: e3031baa  mov	x3, x27
0xfffffff008b5b254: b75fdf97  bl	#0xfffffff008333130
0xfffffff008b5b258: d6060011  add	w22, w22, #1
0xfffffff008b5b25c: 605642f9  ldr	x0, [x19, #0x4a8]
0xfffffff008b5b260: 100040f9  ldr	x16, [x0]
0xfffffff008b5b264: f10300aa  mov	x17, x0
0xfffffff008b5b268: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008b5b26c: 301ac1da  autda	x16, x17
0xfffffff008b5b270: 080e49f8  ldr	x8, [x16, #0x90]!
0xfffffff008b5b274: e90310aa  mov	x9, x16
0xfffffff008b5b278: f10309aa  mov	x17, x9
0xfffffff008b5b27c: 113de5f2  movk	x17, #0x29e8, lsl #48
0xfffffff008b5b280: 11093fd7  blraa	x8, x17
0xfffffff008b5b284: df02006b  cmp	w22, w0
0xfffffff008b5b288: 83f6ff54  b.lo	#0xfffffff008b5b158
0xfffffff008b5b28c: 94010036  tbz	w20, #0, #0xfffffff008b5b2bc
0xfffffff008b5b290: f80300f9  str	x24, [sp]
0xfffffff008b5b294: 803effd0  adrp	x0, #0xfffffff00732d000
0xfffffff008b5b298: 00f03691  add	x0, x0, #0xdbc
0xfffffff008b5b29c: 7170c997  bl	#0xfffffff007db7460
0xfffffff008b5b2a0: f93340f9  ldr	x25, [sp, #0x60]
0xfffffff008b5b2a4: e80319aa  mov	x8, x25
0xfffffff008b5b2a8: e80300f9  str	x8, [sp]
0xfffffff008b5b2ac: 803effd0  adrp	x0, #0xfffffff00732d000
0xfffffff008b5b2b0: 00183891  add	x0, x0, #0xe06
0xfffffff008b5b2b4: 6b70c997  bl	#0xfffffff007db7460
0xfffffff008b5b2b8: 15000014  b	#0xfffffff008b5b30c
0xfffffff008b5b2bc: f80300f9  str	x24, [sp]
0xfffffff008b5b2c0: 563dffd0  adrp	x22, #0xfffffff007305000
0xfffffff008b5b2c4: d6420c91  add	x22, x22, #0x310
0xfffffff008b5b2c8: 9779ffd0  adrp	x23, #0xfffffff007a8d000
0xfffffff008b5b2cc: f7a641f9  ldr	x23, [x23, #0x348]
0xfffffff008b5b2d0: a33dffd0  adrp	x3, #0xfffffff007311000
0xfffffff008b5b2d4: 63083d91  add	x3, x3, #0xf42
0xfffffff008b5b2d8: e00316aa  mov	x0, x22
0xfffffff008b5b2dc: e10317aa  mov	x1, x23
0xfffffff008b5b2e0: 02008052  mov	w2, #0
0xfffffff008b5b2e4: 935fdf97  bl	#0xfffffff008333130
0xfffffff008b5b2e8: f93340f9  ldr	x25, [sp, #0x60]
0xfffffff008b5b2ec: e80319aa  mov	x8, x25
0xfffffff008b5b2f0: e80300f9  str	x8, [sp]
0xfffffff008b5b2f4: a33dffd0  adrp	x3, #0xfffffff007311000
0xfffffff008b5b2f8: 63303e91  add	x3, x3, #0xf8c
0xfffffff008b5b2fc: e00316aa  mov	x0, x22
0xfffffff008b5b300: e10317aa  mov	x1, x23
0xfffffff008b5b304: 02008052  mov	w2, #0
0xfffffff008b5b308: 8a5fdf97  bl	#0xfffffff008333130
0xfffffff008b5b30c: f50318aa  mov	x21, x24
0xfffffff008b5b310: 990a0034  cbz	w25, #0xfffffff008b5b460
