; Candidate 10066
; ADRP+ADD at VM 0xfffffff008c910fc (fileoff 0x1c8d0fc): page=0x1fe6c0000 add_imm=0xd6c

0xfffffff008c9107c: 092644f9  ldr	x9, [x16, #0x848]
0xfffffff008c91080: e00313aa  mov	x0, x19
0xfffffff008c91084: f10308aa  mov	x17, x8
0xfffffff008c91088: 11d0e0f2  movk	x17, #0x680, lsl #48
0xfffffff008c9108c: 31093fd7  blraa	x9, x17
0xfffffff008c91090: 606648f9  ldr	x0, [x19, #0x10c8]
0xfffffff008c91094: 200100b4  cbz	x0, #0xfffffff008c910b8
0xfffffff008c91098: fd7b42a9  ldp	x29, x30, [sp, #0x20]
0xfffffff008c9109c: f44f41a9  ldp	x20, x19, [sp, #0x10]
0xfffffff008c910a0: ffc30091  add	sp, sp, #0x30
0xfffffff008c910a4: ff2303d5  autibsp	
0xfffffff008c910a8: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff008c910ac: 5000f0b6  tbz	x16, #0x3e, #0xfffffff008c910b4
0xfffffff008c910b0: 208e38d4  brk	#0xc471
0xfffffff008c910b4: b290dc17  b	#0xfffffff0083b537c
0xfffffff008c910b8: fd7b42a9  ldp	x29, x30, [sp, #0x20]
0xfffffff008c910bc: f44f41a9  ldp	x20, x19, [sp, #0x10]
0xfffffff008c910c0: ffc30091  add	sp, sp, #0x30
0xfffffff008c910c4: ff0f5fd6  retab	
0xfffffff008c910c8: 7f2303d5  pacibsp	
0xfffffff008c910cc: ffc300d1  sub	sp, sp, #0x30
0xfffffff008c910d0: f44f01a9  stp	x20, x19, [sp, #0x10]
0xfffffff008c910d4: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff008c910d8: fd830091  add	x29, sp, #0x20
0xfffffff008c910dc: f30300aa  mov	x19, x0
0xfffffff008c910e0: 08248252  mov	w8, #0x1120
0xfffffff008c910e4: 1400088b  add	x20, x0, x8
0xfffffff008c910e8: 882b8252  mov	w8, #0x115c
0xfffffff008c910ec: 08686838  ldrb	w8, [x0, x8]
0xfffffff008c910f0: c8002036  tbz	w8, #4, #0xfffffff008c91108
0xfffffff008c910f4: 88024039  ldrb	w8, [x20]
0xfffffff008c910f8: e80300f9  str	x8, [sp]
0xfffffff008c910fc: 0036ff90  adrp	x0, #0xfffffff007351000
0xfffffff008c91100: 00b03591  add	x0, x0, #0xd6c
0xfffffff008c91104: c717db97  bl	#0xfffffff008357020
0xfffffff008c91108: 606648f9  ldr	x0, [x19, #0x10c8]
0xfffffff008c9110c: 400000b4  cbz	x0, #0xfffffff008c91114
0xfffffff008c91110: a790dc97  bl	#0xfffffff0083b53ac
0xfffffff008c91114: 9f8e0039  strb	wzr, [x20, #0x23]
0xfffffff008c91118: e00313aa  mov	x0, x19
0xfffffff008c9111c: 85feff97  bl	#0xfffffff008c90b30
0xfffffff008c91120: 700240f9  ldr	x16, [x19]
0xfffffff008c91124: f10313aa  mov	x17, x19
0xfffffff008c91128: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008c9112c: 301ac1da  autda	x16, x17
0xfffffff008c91130: 110481d2  mov	x17, #0x820
0xfffffff008c91134: 1002118b  add	x16, x16, x17
0xfffffff008c91138: 080240f9  ldr	x8, [x16]
0xfffffff008c9113c: e90310aa  mov	x9, x16
0xfffffff008c91140: e00313aa  mov	x0, x19
0xfffffff008c91144: f10309aa  mov	x17, x9
0xfffffff008c91148: 1110ebf2  movk	x17, #0x5880, lsl #48
0xfffffff008c9114c: 11093fd7  blraa	x8, x17
0xfffffff008c91150: 606648f9  ldr	x0, [x19, #0x10c8]
0xfffffff008c91154: 400000b4  cbz	x0, #0xfffffff008c9115c
0xfffffff008c91158: 8990dc97  bl	#0xfffffff0083b537c
0xfffffff008c9115c: 00008052  mov	w0, #0
0xfffffff008c91160: fd7b42a9  ldp	x29, x30, [sp, #0x20]
0xfffffff008c91164: f44f41a9  ldp	x20, x19, [sp, #0x10]
0xfffffff008c91168: ffc30091  add	sp, sp, #0x30
0xfffffff008c9116c: ff0f5fd6  retab	
0xfffffff008c91170: 7f2303d5  pacibsp	
0xfffffff008c91174: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff008c91178: fd7b01a9  stp	x29, x30, [sp, #0x10]
