; Candidate 999
; ADRP+ADD at VM 0xfffffff008161288 (fileoff 0x115d288): page=0x1ff818000 add_imm=0xcf0

0xfffffff008161208: 08004279  ldrh	w8, [x0, #0x100]
0xfffffff00816120c: 1fc90071  cmp	w8, #0x32
0xfffffff008161210: 69008052  mov	w9, #3
0xfffffff008161214: 29019f1a  csel	w9, w9, wzr, eq
0xfffffff008161218: 1fcd0071  cmp	w8, #0x33
0xfffffff00816121c: 48008052  mov	w8, #2
0xfffffff008161220: 1801891a  csel	w24, w8, w9, eq
0xfffffff008161224: 983b0034  cbz	w24, #0xfffffff008161994
0xfffffff008161228: f60301aa  mov	x22, x1
0xfffffff00816122c: 080080d2  mov	x8, #0
0xfffffff008161230: 93d038d5  mrs	x19, tpidr_el1
0xfffffff008161234: 691a44b9  ldr	w9, [x19, #0x418]
0xfffffff008161238: 790501f0  adrp	x25, #0xfffffff00a210000
0xfffffff00816123c: 39432791  add	x25, x25, #0x9d0
0xfffffff008161240: 297fe8c8  casa	x8, x9, [x25]
0xfffffff008161244: 1f0100f1  cmp	x8, #0
0xfffffff008161248: 41340054  b.ne	#0xfffffff0081618d0
0xfffffff00816124c: b7020291  add	x23, x21, #0x80
0xfffffff008161250: 1a0701f0  adrp	x26, #0xfffffff00a244000
0xfffffff008161254: 54ef46f9  ldr	x20, [x26, #0xdd8]
0xfffffff008161258: 740400b5  cbnz	x20, #0xfffffff0081612e4
0xfffffff00816125c: c0c0ff90  adrp	x0, #0xfffffff007979000
0xfffffff008161260: 00c03291  add	x0, x0, #0xcb0
0xfffffff008161264: a1008052  mov	w1, #5
0xfffffff008161268: 1b17f197  bl	#0xfffffff007da6ed4
0xfffffff00816126c: f40300aa  mov	x20, x0
0xfffffff008161270: 000200b5  cbnz	x0, #0xfffffff0081612b0
0xfffffff008161274: 681a44b9  ldr	w8, [x19, #0x418]
0xfffffff008161278: e20308aa  mov	x2, x8
0xfffffff00816127c: 3fffa288  casl	w2, wzr, [x25]
0xfffffff008161280: 5f00086b  cmp	w2, w8
0xfffffff008161284: c1340054  b.ne	#0xfffffff00816191c
0xfffffff008161288: c0c0ff90  adrp	x0, #0xfffffff007979000
0xfffffff00816128c: 00c03391  add	x0, x0, #0xcf0
0xfffffff008161290: 81009052  mov	w1, #0x8004
0xfffffff008161294: 1017f197  bl	#0xfffffff007da6ed4
0xfffffff008161298: f40300aa  mov	x20, x0
0xfffffff00816129c: 080080d2  mov	x8, #0
0xfffffff0081612a0: 691a44b9  ldr	w9, [x19, #0x418]
0xfffffff0081612a4: 297fe8c8  casa	x8, x9, [x25]
0xfffffff0081612a8: 1f0100f1  cmp	x8, #0
0xfffffff0081612ac: 21340054  b.ne	#0xfffffff008161930
0xfffffff0081612b0: 80420091  add	x0, x20, #0x10
0xfffffff0081612b4: e10315aa  mov	x1, x21
0xfffffff0081612b8: 02228052  mov	w2, #0x110
0xfffffff0081612bc: b5adef97  bl	#0xfffffff007d4c990
0xfffffff0081612c0: 090701f0  adrp	x9, #0xfffffff00a244000
0xfffffff0081612c4: 28f94db9  ldr	w8, [x9, #0xdf8]
0xfffffff0081612c8: 1f050031  cmn	w8, #1
0xfffffff0081612cc: 00050054  b.eq	#0xfffffff00816136c
0xfffffff0081612d0: 08050011  add	w8, w8, #1
0xfffffff0081612d4: 28f90db9  str	w8, [x9, #0xdf8]
0xfffffff0081612d8: 26000014  b	#0xfffffff008161370
0xfffffff0081612dc: 940240f9  ldr	x20, [x20]
0xfffffff0081612e0: f4fbffb4  cbz	x20, #0xfffffff00816125c
0xfffffff0081612e4: a80a41b9  ldr	w8, [x21, #0x108]
0xfffffff0081612e8: 88000034  cbz	w8, #0xfffffff0081612f8
0xfffffff0081612ec: 891a41b9  ldr	w9, [x20, #0x118]
0xfffffff0081612f0: 1f01096b  cmp	w8, w9
0xfffffff0081612f4: 41ffff54  b.ne	#0xfffffff0081612dc
0xfffffff0081612f8: a8024279  ldrh	w8, [x21, #0x100]
0xfffffff0081612fc: 89224279  ldrh	w9, [x20, #0x110]
0xfffffff008161300: 1f01096b  cmp	w8, w9
0xfffffff008161304: c1feff54  b.ne	#0xfffffff0081612dc
