; Candidate 5321
; ADRP+ADD at VM 0xfffffff0087e6a84 (fileoff 0x17e2a84): page=0x1fea2d000 add_imm=0xe0f

0xfffffff0087e6a04: e00315aa  mov	x0, x21
0xfffffff0087e6a08: fd7b47a9  ldp	x29, x30, [sp, #0x70]
0xfffffff0087e6a0c: f44f46a9  ldp	x20, x19, [sp, #0x60]
0xfffffff0087e6a10: f65745a9  ldp	x22, x21, [sp, #0x50]
0xfffffff0087e6a14: f85f44a9  ldp	x24, x23, [sp, #0x40]
0xfffffff0087e6a18: ff030291  add	sp, sp, #0x80
0xfffffff0087e6a1c: ff0f5fd6  retab	
0xfffffff0087e6a20: 7f2303d5  pacibsp	
0xfffffff0087e6a24: ff8301d1  sub	sp, sp, #0x60
0xfffffff0087e6a28: f65703a9  stp	x22, x21, [sp, #0x30]
0xfffffff0087e6a2c: f44f04a9  stp	x20, x19, [sp, #0x40]
0xfffffff0087e6a30: fd7b05a9  stp	x29, x30, [sp, #0x50]
0xfffffff0087e6a34: fd430191  add	x29, sp, #0x50
0xfffffff0087e6a38: f30300aa  mov	x19, x0
0xfffffff0087e6a3c: 600e8052  mov	w0, #0x73
0xfffffff0087e6a40: c1008052  mov	w1, #6
0xfffffff0087e6a44: 63530294  bl	#0xfffffff00887b7d0
0xfffffff0087e6a48: 40020034  cbz	w0, #0xfffffff0087e6a90
0xfffffff0087e6a4c: 600e8052  mov	w0, #0x73
0xfffffff0087e6a50: 72530294  bl	#0xfffffff00887b818
0xfffffff0087e6a54: f50300aa  mov	x21, x0
0xfffffff0087e6a58: d5350394  bl	#0xfffffff0088b41ac
0xfffffff0087e6a5c: f40300aa  mov	x20, x0
0xfffffff0087e6a60: c0008052  mov	w0, #6
0xfffffff0087e6a64: 7b530294  bl	#0xfffffff00887b850
0xfffffff0087e6a68: f5040034  cbz	w21, #0xfffffff0087e6b04
0xfffffff0087e6a6c: 6851ffb0  adrp	x8, #0xfffffff007213000
0xfffffff0087e6a70: 08b13891  add	x8, x8, #0xe2c
0xfffffff0087e6a74: e8cf01a9  stp	x8, x19, [sp, #0x18]
0xfffffff0087e6a78: 680e8052  mov	w8, #0x73
0xfffffff0087e6a7c: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0087e6a80: f40300f9  str	x20, [sp]
0xfffffff0087e6a84: 6051ffb0  adrp	x0, #0xfffffff007213000
0xfffffff0087e6a88: 003c3891  add	x0, x0, #0xe0f
0xfffffff0087e6a8c: 7542d797  bl	#0xfffffff007db7460
0xfffffff0087e6a90: 130600b4  cbz	x19, #0xfffffff0087e6b50
0xfffffff0087e6a94: 600a40f9  ldr	x0, [x19, #0x10]
0xfffffff0087e6a98: c00100b4  cbz	x0, #0xfffffff0087e6ad0
0xfffffff0087e6a9c: 610240f9  ldr	x1, [x19]
0xfffffff0087e6aa0: 100040f9  ldr	x16, [x0]
0xfffffff0087e6aa4: f10300aa  mov	x17, x0
0xfffffff0087e6aa8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0087e6aac: 301ac1da  autda	x16, x17
0xfffffff0087e6ab0: 115780d2  mov	x17, #0x2b8
0xfffffff0087e6ab4: 1002118b  add	x16, x16, x17
0xfffffff0087e6ab8: 080240f9  ldr	x8, [x16]
0xfffffff0087e6abc: e90310aa  mov	x9, x16
0xfffffff0087e6ac0: f10309aa  mov	x17, x9
0xfffffff0087e6ac4: b110f6f2  movk	x17, #0xb085, lsl #48
0xfffffff0087e6ac8: 11093fd7  blraa	x8, x17
0xfffffff0087e6acc: 7f0a00f9  str	xzr, [x19, #0x10]
0xfffffff0087e6ad0: 600640f9  ldr	x0, [x19, #8]
0xfffffff0087e6ad4: e00300b4  cbz	x0, #0xfffffff0087e6b50
0xfffffff0087e6ad8: 100040f9  ldr	x16, [x0]
0xfffffff0087e6adc: f10300aa  mov	x17, x0
0xfffffff0087e6ae0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0087e6ae4: 301ac1da  autda	x16, x17
0xfffffff0087e6ae8: 088e47f8  ldr	x8, [x16, #0x78]!
0xfffffff0087e6aec: e90310aa  mov	x9, x16
0xfffffff0087e6af0: f10309aa  mov	x17, x9
0xfffffff0087e6af4: b116e7f2  movk	x17, #0x38b5, lsl #48
0xfffffff0087e6af8: 11093fd7  blraa	x8, x17
0xfffffff0087e6afc: 7f0600f9  str	xzr, [x19, #8]
0xfffffff0087e6b00: 14000014  b	#0xfffffff0087e6b50
