; Candidate 4714
; ADRP+ADD at VM 0xfffffff0087c3a5c (fileoff 0x17bfa5c): page=0x1fe96e000 add_imm=0xd90

0xfffffff0087c39dc: 21002a91  add	x1, x1, #0xa80
0xfffffff0087c39e0: 22008052  mov	w2, #1
0xfffffff0087c39e4: 37deff97  bl	#0xfffffff0087bb2c0
0xfffffff0087c39e8: e00313aa  mov	x0, x19
0xfffffff0087c39ec: e14cff90  adrp	x1, #0xfffffff00715f000
0xfffffff0087c39f0: 21bc2a91  add	x1, x1, #0xaaf
0xfffffff0087c39f4: 62008052  mov	w2, #3
0xfffffff0087c39f8: 32deff97  bl	#0xfffffff0087bb2c0
0xfffffff0087c39fc: f70300aa  mov	x23, x0
0xfffffff0087c3a00: 1f1c0071  cmp	w0, #7
0xfffffff0087c3a04: 080b0054  b.hi	#0xfffffff0087c3b64
0xfffffff0087c3a08: f94cff90  adrp	x25, #0xfffffff00715f000
0xfffffff0087c3a0c: 391b2b91  add	x25, x25, #0xac6
0xfffffff0087c3a10: 37010034  cbz	w23, #0xfffffff0087c3a34
0xfffffff0087c3a14: e00313aa  mov	x0, x19
0xfffffff0087c3a18: e10319aa  mov	x1, x25
0xfffffff0087c3a1c: 02018052  mov	w2, #8
0xfffffff0087c3a20: 28deff97  bl	#0xfffffff0087bb2c0
0xfffffff0087c3a24: 1ffc0371  cmp	w0, #0xff
0xfffffff0087c3a28: 48010054  b.hi	#0xfffffff0087c3a50
0xfffffff0087c3a2c: f7060071  subs	w23, w23, #1
0xfffffff0087c3a30: 21ffff54  b.ne	#0xfffffff0087c3a14
0xfffffff0087c3a34: 94060011  add	w20, w20, #1
0xfffffff0087c3a38: 9f021b6b  cmp	w20, w27
0xfffffff0087c3a3c: 794cffb0  adrp	x25, #0xfffffff007150000
0xfffffff0087c3a40: 39df2a91  add	x25, x25, #0xab7
0xfffffff0087c3a44: f5031caa  mov	x21, x28
0xfffffff0087c3a48: e1faff54  b.ne	#0xfffffff0087c39a4
0xfffffff0087c3a4c: 0f000014  b	#0xfffffff0087c3a88
0xfffffff0087c3a50: e84cff90  adrp	x8, #0xfffffff00715f000
0xfffffff0087c3a54: 08ad2491  add	x8, x8, #0x92b
0xfffffff0087c3a58: e80300a9  stp	x8, x0, [sp]
0xfffffff0087c3a5c: 604bffd0  adrp	x0, #0xfffffff007131000
0xfffffff0087c3a60: 00403691  add	x0, x0, #0xd90
0xfffffff0087c3a64: c191ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087c3a68: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087c3a6c: 02008052  mov	w2, #0
0xfffffff0087c3a70: 434cfff0  adrp	x3, #0xfffffff00714e000
0xfffffff0087c3a74: 630c3a91  add	x3, x3, #0xe83
0xfffffff0087c3a78: aebded97  bl	#0xfffffff008333130
0xfffffff0087c3a7c: 794cffb0  adrp	x25, #0xfffffff007150000
0xfffffff0087c3a80: 39df2a91  add	x25, x25, #0xab7
0xfffffff0087c3a84: f5031caa  mov	x21, x28
0xfffffff0087c3a88: 682e40b9  ldr	w8, [x19, #0x2c]
0xfffffff0087c3a8c: e803084b  neg	w8, w8
0xfffffff0087c3a90: 14090012  and	w20, w8, #7
0xfffffff0087c3a94: 08018052  mov	w8, #8
0xfffffff0087c3a98: 0201144b  sub	w2, w8, w20
0xfffffff0087c3a9c: e00313aa  mov	x0, x19
0xfffffff0087c3aa0: 614cffb0  adrp	x1, #0xfffffff007150000
0xfffffff0087c3aa4: 21682a91  add	x1, x1, #0xa9a
0xfffffff0087c3aa8: 06deff97  bl	#0xfffffff0087bb2c0
0xfffffff0087c3aac: 880a0052  eor	w8, w20, #7
0xfffffff0087c3ab0: 29008052  mov	w9, #1
0xfffffff0087c3ab4: 2821c81a  lsl	w8, w9, w8
0xfffffff0087c3ab8: 1f00086b  cmp	w0, w8
0xfffffff0087c3abc: 41410054  b.ne	#0xfffffff0087c42e4
0xfffffff0087c3ac0: 17008052  mov	w23, #0
0xfffffff0087c3ac4: 681240b9  ldr	w8, [x19, #0x10]
0xfffffff0087c3ac8: 690a40b9  ldr	w9, [x19, #8]
0xfffffff0087c3acc: 0801094b  sub	w8, w8, w9
0xfffffff0087c3ad0: 692e40b9  ldr	w9, [x19, #0x2c]
0xfffffff0087c3ad4: ebab4a29  ldp	w11, w10, [sp, #0x54]
0xfffffff0087c3ad8: 4a010b0b  add	w10, w10, w11
