; Candidate 1270
; ADRP+ADD at VM 0xfffffff008326c80 (fileoff 0x1322c80): page=0x1fed75000 add_imm=0xebf

0xfffffff008326c00: 5000f0b6  tbz	x16, #0x3e, #0xfffffff008326c08
0xfffffff008326c04: 208e38d4  brk	#0xc471
0xfffffff008326c08: 1a77eb17  b	#0xfffffff007e04870
0xfffffff008326c0c: 730100b4  cbz	x19, #0xfffffff008326c38
0xfffffff008326c10: f40301aa  mov	x20, x1
0xfffffff008326c14: 20b0fff0  adrp	x0, #0xfffffff00792d000
0xfffffff008326c18: 00c01c91  add	x0, x0, #0x730
0xfffffff008326c1c: e10313aa  mov	x1, x19
0xfffffff008326c20: e20314aa  mov	x2, x20
0xfffffff008326c24: 92ffe997  bl	#0xfffffff007da6a6c
0xfffffff008326c28: e80314cb  neg	x8, x20
0xfffffff008326c2c: a9f70090  adrp	x9, #0xfffffff00a21a000
0xfffffff008326c30: 29c10191  add	x9, x9, #0x70
0xfffffff008326c34: 280128f8  ldadd	x8, x8, [x9]
0xfffffff008326c38: fd7b42a9  ldp	x29, x30, [sp, #0x20]
0xfffffff008326c3c: f44f41a9  ldp	x20, x19, [sp, #0x10]
0xfffffff008326c40: f657c3a8  ldp	x22, x21, [sp], #0x30
0xfffffff008326c44: ff0f5fd6  retab	
0xfffffff008326c48: 7f2303d5  pacibsp	
0xfffffff008326c4c: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff008326c50: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff008326c54: fd430091  add	x29, sp, #0x10
0xfffffff008326c58: f30300aa  mov	x19, x0
0xfffffff008326c5c: c16bffd0  adrp	x1, #0xfffffff0070a0000
0xfffffff008326c60: 21103591  add	x1, x1, #0xd44
0xfffffff008326c64: a2f70090  adrp	x2, #0xfffffff00a21a000
0xfffffff008326c68: 42602191  add	x2, x2, #0x858
0xfffffff008326c6c: 03038052  mov	w3, #0x18
0xfffffff008326c70: b2f3fe97  bl	#0xfffffff0082e3b38
0xfffffff008326c74: a8f400b0  adrp	x8, #0xfffffff00a1bb000
0xfffffff008326c78: 08894c39  ldrb	w8, [x8, #0x322]
0xfffffff008326c7c: 68013037  tbnz	w8, #6, #0xfffffff008326ca8
0xfffffff008326c80: a06bffb0  adrp	x0, #0xfffffff00709b000
0xfffffff008326c84: 00fc3a91  add	x0, x0, #0xebf
0xfffffff008326c88: 01038052  mov	w1, #0x18
0xfffffff008326c8c: 02028052  mov	w2, #0x10
0xfffffff008326c90: 0240a072  movk	w2, #0x200, lsl #16
0xfffffff008326c94: e3ff9f52  mov	w3, #0xffff
0xfffffff008326c98: 040080d2  mov	x4, #0
0xfffffff008326c9c: ea7eeb97  bl	#0xfffffff007e06844
0xfffffff008326ca0: 28b0ffd0  adrp	x8, #0xfffffff00792c000
0xfffffff008326ca4: 005903f9  str	x0, [x8, #0x6b0]
0xfffffff008326ca8: 30b0ffd0  adrp	x16, #0xfffffff00792c000
0xfffffff008326cac: 10e21a91  add	x16, x16, #0x6b8
0xfffffff008326cb0: 10420091  add	x16, x16, #0x10
0xfffffff008326cb4: f10313aa  mov	x17, x19
0xfffffff008326cb8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008326cbc: 300ac1da  pacda	x16, x17
0xfffffff008326cc0: 700200f9  str	x16, [x19]
0xfffffff008326cc4: e00313aa  mov	x0, x19
0xfffffff008326cc8: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff008326ccc: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff008326cd0: ff0f5fd6  retab	
0xfffffff008326cd4: 7f2303d5  pacibsp	
0xfffffff008326cd8: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff008326cdc: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff008326ce0: fd430091  add	x29, sp, #0x10
0xfffffff008326ce4: 28b0ffd0  adrp	x8, #0xfffffff00792c000
0xfffffff008326ce8: 085943f9  ldr	x8, [x8, #0x6b0]
0xfffffff008326cec: a80000b4  cbz	x8, #0xfffffff008326d00
0xfffffff008326cf0: 000540a9  ldp	x0, x1, [x8]
0xfffffff008326cf4: 82008052  mov	w2, #4
0xfffffff008326cf8: b679eb97  bl	#0xfffffff007e053d0
0xfffffff008326cfc: 0c000014  b	#0xfffffff008326d2c
