; Candidate 5278
; ADRP+ADD at VM 0xfffffff0087e4220 (fileoff 0x17e0220): page=0x1fea05000 add_imm=0xe80

0xfffffff0087e41a0: 390c0034  cbz	w25, #0xfffffff0087e4324
0xfffffff0087e41a4: e80317aa  mov	x8, x23
0xfffffff0087e41a8: 693240b9  ldr	w9, [x19, #0x30]
0xfffffff0087e41ac: e9a304a9  stp	x9, x8, [sp, #0x48]
0xfffffff0087e41b0: 88008052  mov	w8, #4
0xfffffff0087e41b4: f6a303a9  stp	x22, x8, [sp, #0x38]
0xfffffff0087e41b8: f31b00f9  str	x19, [sp, #0x30]
0xfffffff0087e41bc: 6851ff90  adrp	x8, #0xfffffff007210000
0xfffffff0087e41c0: 08b92791  add	x8, x8, #0x9ee
0xfffffff0087e41c4: c97b8052  mov	w9, #0x3de
0xfffffff0087e41c8: 39000014  b	#0xfffffff0087e42ac
0xfffffff0087e41cc: f83f0394  bl	#0xfffffff0088b41ac
0xfffffff0087e41d0: f80300aa  mov	x24, x0
0xfffffff0087e41d4: 80008052  mov	w0, #4
0xfffffff0087e41d8: 9e5d0294  bl	#0xfffffff00887b850
0xfffffff0087e41dc: e80317aa  mov	x8, x23
0xfffffff0087e41e0: 692e40b9  ldr	w9, [x19, #0x2c]
0xfffffff0087e41e4: e9a304a9  stp	x9, x8, [sp, #0x48]
0xfffffff0087e41e8: 68008052  mov	w8, #3
0xfffffff0087e41ec: f6a303a9  stp	x22, x8, [sp, #0x38]
0xfffffff0087e41f0: 6851ff90  adrp	x8, #0xfffffff007210000
0xfffffff0087e41f4: 08b92791  add	x8, x8, #0x9ee
0xfffffff0087e41f8: e97a8052  mov	w9, #0x3d7
0xfffffff0087e41fc: e8cf02a9  stp	x8, x19, [sp, #0x28]
0xfffffff0087e4200: 6851fff0  adrp	x8, #0xfffffff007213000
0xfffffff0087e4204: 080d0f91  add	x8, x8, #0x3c3
0xfffffff0087e4208: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0087e420c: 680e8052  mov	w8, #0x73
0xfffffff0087e4210: c352ffb0  adrp	x3, #0xfffffff00723d000
0xfffffff0087e4214: 63b43591  add	x3, x3, #0xd6d
0xfffffff0087e4218: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0087e421c: f80300f9  str	x24, [sp]
0xfffffff0087e4220: 2050ffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087e4224: 00003a91  add	x0, x0, #0xe80
0xfffffff0087e4228: 2191ff90  adrp	x1, #0xfffffff007a08000
0xfffffff0087e422c: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087e4230: 02008052  mov	w2, #0
0xfffffff0087e4234: bf3bed97  bl	#0xfffffff008333130
0xfffffff0087e4238: 26000014  b	#0xfffffff0087e42d0
0xfffffff0087e423c: 210780b9  ldrsw	x1, [x25, #4]
0xfffffff0087e4240: 6051fff0  adrp	x0, #0xfffffff007213000
0xfffffff0087e4244: 00a02291  add	x0, x0, #0x8a8
0xfffffff0087e4248: e20316aa  mov	x2, x22
0xfffffff0087e424c: ba060094  bl	#0xfffffff0087e5d34
0xfffffff0087e4250: 200a0034  cbz	w0, #0xfffffff0087e4394
0xfffffff0087e4254: f70300aa  mov	x23, x0
0xfffffff0087e4258: 600e8052  mov	w0, #0x73
0xfffffff0087e425c: 81008052  mov	w1, #4
0xfffffff0087e4260: 5c5d0294  bl	#0xfffffff00887b7d0
0xfffffff0087e4264: 60030034  cbz	w0, #0xfffffff0087e42d0
0xfffffff0087e4268: 600e8052  mov	w0, #0x73
0xfffffff0087e426c: 6b5d0294  bl	#0xfffffff00887b818
0xfffffff0087e4270: fa0300aa  mov	x26, x0
0xfffffff0087e4274: ce3f0394  bl	#0xfffffff0088b41ac
0xfffffff0087e4278: f80300aa  mov	x24, x0
0xfffffff0087e427c: 80008052  mov	w0, #4
0xfffffff0087e4280: 745d0294  bl	#0xfffffff00887b850
0xfffffff0087e4284: 3a0d0034  cbz	w26, #0xfffffff0087e4428
0xfffffff0087e4288: e80317aa  mov	x8, x23
0xfffffff0087e428c: 290740b9  ldr	w9, [x25, #4]
0xfffffff0087e4290: e9a304a9  stp	x9, x8, [sp, #0x48]
0xfffffff0087e4294: a8008052  mov	w8, #5
0xfffffff0087e4298: f6a303a9  stp	x22, x8, [sp, #0x38]
0xfffffff0087e429c: f31b00f9  str	x19, [sp, #0x30]
