; Candidate 15343
; ADRP+ADD at VM 0xfffffff009b524e4 (fileoff 0x2b4e4e4): page=0x1fdad6000 add_imm=0xed0

0xfffffff009b52464: 08a20791  add	x8, x16, #0x1e8
0xfffffff009b52468: 09f640f9  ldr	x9, [x16, #0x1e8]
0xfffffff009b5246c: e00314aa  mov	x0, x20
0xfffffff009b52470: 010080d2  mov	x1, #0
0xfffffff009b52474: f10308aa  mov	x17, x8
0xfffffff009b52478: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff009b5247c: 31093fd7  blraa	x9, x17
0xfffffff009b52480: f80300aa  mov	x24, x0
0xfffffff009b52484: 900240f9  ldr	x16, [x20]
0xfffffff009b52488: f10314aa  mov	x17, x20
0xfffffff009b5248c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009b52490: 301ac1da  autda	x16, x17
0xfffffff009b52494: f10310aa  mov	x17, x16
0xfffffff009b52498: f147c1da  xpacd	x17
0xfffffff009b5249c: 1f0211eb  cmp	x16, x17
0xfffffff009b524a0: 40000054  b.eq	#0xfffffff009b524a8
0xfffffff009b524a4: 408e38d4  brk	#0xc472
0xfffffff009b524a8: 08620891  add	x8, x16, #0x218
0xfffffff009b524ac: 090e41f9  ldr	x9, [x16, #0x218]
0xfffffff009b524b0: e00314aa  mov	x0, x20
0xfffffff009b524b4: 010080d2  mov	x1, #0
0xfffffff009b524b8: f10308aa  mov	x17, x8
0xfffffff009b524bc: 11a8e6f2  movk	x17, #0x3540, lsl #48
0xfffffff009b524c0: 31093fd7  blraa	x9, x17
0xfffffff009b524c4: e803152a  mov	w8, w21
0xfffffff009b524c8: e84f02a9  stp	x8, x19, [sp, #0x20]
0xfffffff009b524cc: c8d6fe90  adrp	x8, #0xfffffff00762a000
0xfffffff009b524d0: 08f91f91  add	x8, x8, #0x7fe
0xfffffff009b524d4: a9d6fef0  adrp	x9, #0xfffffff007629000
0xfffffff009b524d8: 29f11f91  add	x9, x9, #0x7fc
0xfffffff009b524dc: e92301a9  stp	x9, x8, [sp, #0x10]
0xfffffff009b524e0: f80300a9  stp	x24, x0, [sp]
0xfffffff009b524e4: a0d6fed0  adrp	x0, #0xfffffff007628000
0xfffffff009b524e8: 00403b91  add	x0, x0, #0xed0
0xfffffff009b524ec: c3d6fed0  adrp	x3, #0xfffffff00762c000
0xfffffff009b524f0: 63141791  add	x3, x3, #0x5c5
0xfffffff009b524f4: e10317aa  mov	x1, x23
0xfffffff009b524f8: e20316aa  mov	x2, x22
0xfffffff009b524fc: 0d839f97  bl	#0xfffffff008333130
0xfffffff009b52500: 884643b9  ldr	w8, [x20, #0x344]
0xfffffff009b52504: 3f03086b  cmp	w25, w8
0xfffffff009b52508: e9050054  b.ls	#0xfffffff009b525c4
0xfffffff009b5250c: 88c641b9  ldr	w8, [x20, #0x1c4]
0xfffffff009b52510: 49008052  mov	w9, #2
0xfffffff009b52514: 0900a872  movk	w9, #0x4000, lsl #16
0xfffffff009b52518: 3f01286a  bics	wzr, w9, w8
0xfffffff009b5251c: e1060054  b.ne	#0xfffffff009b525f8
0xfffffff009b52520: 5fee8d97  bl	#0xfffffff007ecde9c
0xfffffff009b52524: 1f040071  cmp	w0, #1
0xfffffff009b52528: 81060054  b.ne	#0xfffffff009b525f8
0xfffffff009b5252c: 900240f9  ldr	x16, [x20]
0xfffffff009b52530: f10314aa  mov	x17, x20
0xfffffff009b52534: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009b52538: 301ac1da  autda	x16, x17
0xfffffff009b5253c: 113d80d2  mov	x17, #0x1e8
0xfffffff009b52540: 1002118b  add	x16, x16, x17
0xfffffff009b52544: 080240f9  ldr	x8, [x16]
0xfffffff009b52548: e90310aa  mov	x9, x16
0xfffffff009b5254c: e00314aa  mov	x0, x20
0xfffffff009b52550: 010080d2  mov	x1, #0
0xfffffff009b52554: f10309aa  mov	x17, x9
0xfffffff009b52558: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff009b5255c: 11093fd7  blraa	x8, x17
0xfffffff009b52560: f50300aa  mov	x21, x0
