; Candidate 13418
; ADRP+ADD at VM 0xfffffff0092cf730 (fileoff 0x22cb730): page=0x1fe210000 add_imm=0xe26

0xfffffff0092cf6b0: 400300b4  cbz	x0, #0xfffffff0092cf718
0xfffffff0092cf6b4: 700240f9  ldr	x16, [x19]
0xfffffff0092cf6b8: f10313aa  mov	x17, x19
0xfffffff0092cf6bc: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0092cf6c0: 301ac1da  autda	x16, x17
0xfffffff0092cf6c4: 116e80d2  mov	x17, #0x370
0xfffffff0092cf6c8: 1002118b  add	x16, x16, x17
0xfffffff0092cf6cc: 080240f9  ldr	x8, [x16]
0xfffffff0092cf6d0: e90310aa  mov	x9, x16
0xfffffff0092cf6d4: e00313aa  mov	x0, x19
0xfffffff0092cf6d8: f10309aa  mov	x17, x9
0xfffffff0092cf6dc: f176f2f2  movk	x17, #0x93b7, lsl #48
0xfffffff0092cf6e0: 11093fd7  blraa	x8, x17
0xfffffff0092cf6e4: 100040f9  ldr	x16, [x0]
0xfffffff0092cf6e8: f10300aa  mov	x17, x0
0xfffffff0092cf6ec: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0092cf6f0: 301ac1da  autda	x16, x17
0xfffffff0092cf6f4: 113d80d2  mov	x17, #0x1e8
0xfffffff0092cf6f8: 1002118b  add	x16, x16, x17
0xfffffff0092cf6fc: 080240f9  ldr	x8, [x16]
0xfffffff0092cf700: e90310aa  mov	x9, x16
0xfffffff0092cf704: 010080d2  mov	x1, #0
0xfffffff0092cf708: f10309aa  mov	x17, x9
0xfffffff0092cf70c: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff0092cf710: 11093fd7  blraa	x8, x17
0xfffffff0092cf714: 03000014  b	#0xfffffff0092cf720
0xfffffff0092cf718: 6010fff0  adrp	x0, #0xfffffff0074de000
0xfffffff0092cf71c: 00102191  add	x0, x0, #0x844
0xfffffff0092cf720: a8024079  ldrh	w8, [x21]
0xfffffff0092cf724: f4a301a9  stp	x20, x8, [sp, #0x18]
0xfffffff0092cf728: f78300a9  stp	x23, x0, [sp, #8]
0xfffffff0092cf72c: f60300f9  str	x22, [sp]
0xfffffff0092cf730: 8010ff90  adrp	x0, #0xfffffff0074df000
0xfffffff0092cf734: 00983891  add	x0, x0, #0xe26
0xfffffff0092cf738: 3a1ec297  bl	#0xfffffff008357020
0xfffffff0092cf73c: 75f23991  add	x21, x19, #0xe7c
0xfffffff0092cf740: 9410ff90  adrp	x20, #0xfffffff0074df000
0xfffffff0092cf744: 94a62d91  add	x20, x20, #0xb69
0xfffffff0092cf748: e00314aa  mov	x0, x20
0xfffffff0092cf74c: e10315aa  mov	x1, x21
0xfffffff0092cf750: 42008052  mov	w2, #2
0xfffffff0092cf754: 1976c697  bl	#0xfffffff00846cfb8
0xfffffff0092cf758: c0070034  cbz	w0, #0xfffffff0092cf850
0xfffffff0092cf75c: 700240f9  ldr	x16, [x19]
0xfffffff0092cf760: f10313aa  mov	x17, x19
0xfffffff0092cf764: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0092cf768: 301ac1da  autda	x16, x17
0xfffffff0092cf76c: 113d80d2  mov	x17, #0x1e8
0xfffffff0092cf770: 1002118b  add	x16, x16, x17
0xfffffff0092cf774: 080240f9  ldr	x8, [x16]
0xfffffff0092cf778: e90310aa  mov	x9, x16
0xfffffff0092cf77c: e00313aa  mov	x0, x19
0xfffffff0092cf780: 010080d2  mov	x1, #0
0xfffffff0092cf784: f10309aa  mov	x17, x9
0xfffffff0092cf788: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff0092cf78c: 11093fd7  blraa	x8, x17
0xfffffff0092cf790: f60300aa  mov	x22, x0
0xfffffff0092cf794: 700240f9  ldr	x16, [x19]
0xfffffff0092cf798: f10313aa  mov	x17, x19
0xfffffff0092cf79c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0092cf7a0: 301ac1da  autda	x16, x17
0xfffffff0092cf7a4: 116e80d2  mov	x17, #0x370
0xfffffff0092cf7a8: 1002118b  add	x16, x16, x17
0xfffffff0092cf7ac: 080240f9  ldr	x8, [x16]
