; Candidate 11366
; ADRP+ADD at VM 0xfffffff008ef5f1c (fileoff 0x1ef1f1c): page=0x1fe515000 add_imm=0xd07

0xfffffff008ef5e9c: 1199e4f2  movk	x17, #0x24c8, lsl #48
0xfffffff008ef5ea0: 11093fd7  blraa	x8, x17
0xfffffff008ef5ea4: ecffff17  b	#0xfffffff008ef5e54
0xfffffff008ef5ea8: 0061ffb0  adrp	x0, #0xfffffff007b16000
0xfffffff008ef5eac: 00003d91  add	x0, x0, #0xf40
0xfffffff008ef5eb0: e10314aa  mov	x1, x20
0xfffffff008ef5eb4: e20315aa  mov	x2, x21
0xfffffff008ef5eb8: cc83d197  bl	#0xfffffff008356de8
0xfffffff008ef5ebc: f060fff0  adrp	x16, #0xfffffff007b14000
0xfffffff008ef5ec0: 10022e91  add	x16, x16, #0xb80
0xfffffff008ef5ec4: 10420091  add	x16, x16, #0x10
0xfffffff008ef5ec8: f10313aa  mov	x17, x19
0xfffffff008ef5ecc: 31f3f1f2  movk	x17, #0x8f99, lsl #48
0xfffffff008ef5ed0: 300ac1da  pacda	x16, x17
0xfffffff008ef5ed4: 700200f9  str	x16, [x19]
0xfffffff008ef5ed8: 680640f9  ldr	x8, [x19, #8]
0xfffffff008ef5edc: 080200b5  cbnz	x8, #0xfffffff008ef5f1c
0xfffffff008ef5ee0: 0061ff90  adrp	x0, #0xfffffff007b15000
0xfffffff008ef5ee4: 00002e91  add	x0, x0, #0xb80
0xfffffff008ef5ee8: e10313aa  mov	x1, x19
0xfffffff008ef5eec: fd7b43a9  ldp	x29, x30, [sp, #0x30]
0xfffffff008ef5ef0: f44f42a9  ldp	x20, x19, [sp, #0x20]
0xfffffff008ef5ef4: f65741a9  ldp	x22, x21, [sp, #0x10]
0xfffffff008ef5ef8: f85fc4a8  ldp	x24, x23, [sp], #0x40
0xfffffff008ef5efc: ff2303d5  autibsp	
0xfffffff008ef5f00: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff008ef5f04: 5000f0b6  tbz	x16, #0x3e, #0xfffffff008ef5f0c
0xfffffff008ef5f08: 208e38d4  brk	#0xc471
0xfffffff008ef5f0c: 0082d117  b	#0xfffffff00835670c
0xfffffff008ef5f10: 6028fff0  adrp	x0, #0xfffffff007404000
0xfffffff008ef5f14: 00000891  add	x0, x0, #0x200
0xfffffff008ef5f18: 73feff97  bl	#0xfffffff008ef58e4
0xfffffff008ef5f1c: a028ffb0  adrp	x0, #0xfffffff00740a000
0xfffffff008ef5f20: 001c3491  add	x0, x0, #0xd07
0xfffffff008ef5f24: 70feff97  bl	#0xfffffff008ef58e4
0xfffffff008ef5f28: 7f2303d5  pacibsp	
0xfffffff008ef5f2c: f85fbca9  stp	x24, x23, [sp, #-0x40]!
0xfffffff008ef5f30: f65701a9  stp	x22, x21, [sp, #0x10]
0xfffffff008ef5f34: f44f02a9  stp	x20, x19, [sp, #0x20]
0xfffffff008ef5f38: fd7b03a9  stp	x29, x30, [sp, #0x30]
0xfffffff008ef5f3c: fdc30091  add	x29, sp, #0x30
0xfffffff008ef5f40: f30300aa  mov	x19, x0
0xfffffff008ef5f44: f060fff0  adrp	x16, #0xfffffff007b14000
0xfffffff008ef5f48: 10822a91  add	x16, x16, #0xaa0
0xfffffff008ef5f4c: 10420091  add	x16, x16, #0x10
0xfffffff008ef5f50: f10300aa  mov	x17, x0
0xfffffff008ef5f54: 31f3f1f2  movk	x17, #0x8f99, lsl #48
0xfffffff008ef5f58: 300ac1da  pacda	x16, x17
0xfffffff008ef5f5c: 100000f9  str	x16, [x0]
0xfffffff008ef5f60: 141040f9  ldr	x20, [x0, #0x20]
0xfffffff008ef5f64: 340400b4  cbz	x20, #0xfffffff008ef5fe8
0xfffffff008ef5f68: 682a40b9  ldr	w8, [x19, #0x28]
0xfffffff008ef5f6c: 15f17dd3  lsl	x21, x8, #3
0xfffffff008ef5f70: 28030034  cbz	w8, #0xfffffff008ef5fd4
0xfffffff008ef5f74: f60315aa  mov	x22, x21
0xfffffff008ef5f78: f70314aa  mov	x23, x20
0xfffffff008ef5f7c: 04000014  b	#0xfffffff008ef5f8c
0xfffffff008ef5f80: ff8600f8  str	xzr, [x23], #8
0xfffffff008ef5f84: d62200f1  subs	x22, x22, #8
0xfffffff008ef5f88: 60020054  b.eq	#0xfffffff008ef5fd4
0xfffffff008ef5f8c: e00240f9  ldr	x0, [x23]
0xfffffff008ef5f90: 80ffffb4  cbz	x0, #0xfffffff008ef5f80
0xfffffff008ef5f94: 080440f9  ldr	x8, [x0, #8]
0xfffffff008ef5f98: 1f0100f1  cmp	x8, #0
