; Candidate 1329
; ADRP+ADD at VM 0xfffffff0083537e8 (fileoff 0x134f7e8): page=0x1fed50000 add_imm=0xd29

0xfffffff008353768: 360440f9  ldr	x22, [x1, #8]
0xfffffff00835376c: 960000b4  cbz	x22, #0xfffffff00835377c
0xfffffff008353770: 291440b9  ldr	w9, [x1, #0x14]
0xfffffff008353774: 3ff10071  cmp	w9, #0x3c
0xfffffff008353778: e3030054  b.lo	#0xfffffff0083537f4
0xfffffff00835377c: 154146f8  ldur	x21, [x8, #0x64]
0xfffffff008353780: 350200b4  cbz	x21, #0xfffffff0083537c4
0xfffffff008353784: b00240f9  ldr	x16, [x21]
0xfffffff008353788: f10315aa  mov	x17, x21
0xfffffff00835378c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008353790: 301ac1da  autda	x16, x17
0xfffffff008353794: 088e43f8  ldr	x8, [x16, #0x38]!
0xfffffff008353798: e90310aa  mov	x9, x16
0xfffffff00835379c: e00315aa  mov	x0, x21
0xfffffff0083537a0: f10309aa  mov	x17, x9
0xfffffff0083537a4: 91fffff2  movk	x17, #0xfffc, lsl #48
0xfffffff0083537a8: 11093fd7  blraa	x8, x17
0xfffffff0083537ac: 28f600f0  adrp	x8, #0xfffffff00a21a000
0xfffffff0083537b0: 08e10e91  add	x8, x8, #0x3b8
0xfffffff0083537b4: 1f0008eb  cmp	x0, x8
0xfffffff0083537b8: 80020054  b.eq	#0xfffffff008353808
0xfffffff0083537bc: 000840f9  ldr	x0, [x0, #0x10]
0xfffffff0083537c0: a0ffffb5  cbnz	x0, #0xfffffff0083537b4
0xfffffff0083537c4: 730e0011  add	w19, w19, #3
0xfffffff0083537c8: 0b000014  b	#0xfffffff0083537f4
0xfffffff0083537cc: e9578052  mov	w9, #0x2bf
0xfffffff0083537d0: 0900bc72  movk	w9, #0xe000, lsl #16
0xfffffff0083537d4: 2a0040f9  ldr	x10, [x1]
0xfffffff0083537d8: 4a1d40b9  ldr	w10, [x10, #0x1c]
0xfffffff0083537dc: 33210011  add	w19, w9, #8
0xfffffff0083537e0: 5f01086b  cmp	w10, w8
0xfffffff0083537e4: 80000054  b.eq	#0xfffffff0083537f4
0xfffffff0083537e8: 806aff90  adrp	x0, #0xfffffff0070a3000
0xfffffff0083537ec: 00a43491  add	x0, x0, #0xd29
0xfffffff0083537f0: 483ffe97  bl	#0xfffffff0082e3510
0xfffffff0083537f4: e00313aa  mov	x0, x19
0xfffffff0083537f8: fd7b42a9  ldp	x29, x30, [sp, #0x20]
0xfffffff0083537fc: f44f41a9  ldp	x20, x19, [sp, #0x10]
0xfffffff008353800: f657c3a8  ldp	x22, x21, [sp], #0x30
0xfffffff008353804: ff0f5fd6  retab	
0xfffffff008353808: e00314aa  mov	x0, x20
0xfffffff00835380c: e10315aa  mov	x1, x21
0xfffffff008353810: 517b0394  bl	#0xfffffff008432554
0xfffffff008353814: f30300aa  mov	x19, x0
0xfffffff008353818: e0feff35  cbnz	w0, #0xfffffff0083537f4
0xfffffff00835381c: e865ffb0  adrp	x8, #0xfffffff007010000
0xfffffff008353820: 000dc33d  ldr	q0, [x8, #0xc30]
0xfffffff008353824: c042823c  stur	q0, [x22, #0x24]
0xfffffff008353828: 88078052  mov	w8, #0x3c
0xfffffff00835382c: c80600b9  str	w8, [x22, #4]
0xfffffff008353830: e865ff90  adrp	x8, #0xfffffff00700f000
0xfffffff008353834: 008941fd  ldr	d0, [x8, #0x310]
0xfffffff008353838: c0c201fc  stur	d0, [x22, #0x1c]
0xfffffff00835383c: df4203f8  stur	xzr, [x22, #0x34]
0xfffffff008353840: edffff17  b	#0xfffffff0083537f4
0xfffffff008353844: 806aff90  adrp	x0, #0xfffffff0070a3000
0xfffffff008353848: 00a43491  add	x0, x0, #0xd29
0xfffffff00835384c: 313ffe97  bl	#0xfffffff0082e3510
0xfffffff008353850: 200020d4  brk	#1
0xfffffff008353854: 5f2403d5  bti	c
0xfffffff008353858: 20f600b0  adrp	x0, #0xfffffff00a218000
0xfffffff00835385c: 00002091  add	x0, x0, #0x800
0xfffffff008353860: c0035fd6  ret	
0xfffffff008353864: 5f2403d5  bti	c
