; Candidate 10800
; ADRP+ADD at VM 0xfffffff008de70a8 (fileoff 0x1de30a8): page=0x1fe5dd000 add_imm=0xe15

0xfffffff008de7028: f65745a9  ldp	x22, x21, [sp, #0x50]
0xfffffff008de702c: f85f44a9  ldp	x24, x23, [sp, #0x40]
0xfffffff008de7030: fa6743a9  ldp	x26, x25, [sp, #0x30]
0xfffffff008de7034: ff030291  add	sp, sp, #0x80
0xfffffff008de7038: ff0f5fd6  retab	
0xfffffff008de703c: f40300aa  mov	x20, x0
0xfffffff008de7040: 887e4093  sxtw	x8, w20
0xfffffff008de7044: a90d8052  mov	w9, #0x6d
0xfffffff008de7048: ca2efff0  adrp	x10, #0xfffffff0073c2000
0xfffffff008de704c: 4ae92e91  add	x10, x10, #0xbba
0xfffffff008de7050: eaa701a9  stp	x10, x9, [sp, #0x18]
0xfffffff008de7054: e92effb0  adrp	x9, #0xfffffff0073c4000
0xfffffff008de7058: 29493991  add	x9, x9, #0xe52
0xfffffff008de705c: eb2effb0  adrp	x11, #0xfffffff0073c4000
0xfffffff008de7060: 6bf13a91  add	x11, x11, #0xebc
0xfffffff008de7064: e8a700a9  stp	x8, x9, [sp, #8]
0xfffffff008de7068: eb0300f9  str	x11, [sp]
0xfffffff008de706c: e02effb0  adrp	x0, #0xfffffff0073c4000
0xfffffff008de7070: 00543891  add	x0, x0, #0xe15
0xfffffff008de7074: ebbfd597  bl	#0xfffffff008357020
0xfffffff008de7078: c8088052  mov	w8, #0x46
0xfffffff008de707c: deffff17  b	#0xfffffff008de6ff4
0xfffffff008de7080: e80d8052  mov	w8, #0x6f
0xfffffff008de7084: c92efff0  adrp	x9, #0xfffffff0073c2000
0xfffffff008de7088: 29e92e91  add	x9, x9, #0xbba
0xfffffff008de708c: e81300f9  str	x8, [sp, #0x20]
0xfffffff008de7090: e82effb0  adrp	x8, #0xfffffff0073c4000
0xfffffff008de7094: 08493991  add	x8, x8, #0xe52
0xfffffff008de7098: ea2eff90  adrp	x10, #0xfffffff0073c3000
0xfffffff008de709c: 4a812891  add	x10, x10, #0xa20
0xfffffff008de70a0: e82701a9  stp	x8, x9, [sp, #0x10]
0xfffffff008de70a4: ea7f00a9  stp	x10, xzr, [sp]
0xfffffff008de70a8: e02effb0  adrp	x0, #0xfffffff0073c4000
0xfffffff008de70ac: 00543891  add	x0, x0, #0xe15
0xfffffff008de70b0: dcbfd597  bl	#0xfffffff008357020
0xfffffff008de70b4: c8088052  mov	w8, #0x46
0xfffffff008de70b8: 54008012  mov	w20, #-3
0xfffffff008de70bc: ceffff17  b	#0xfffffff008de6ff4
0xfffffff008de70c0: 680c8052  mov	w8, #0x63
0xfffffff008de70c4: c92efff0  adrp	x9, #0xfffffff0073c2000
0xfffffff008de70c8: 29e92e91  add	x9, x9, #0xbba
0xfffffff008de70cc: e81300f9  str	x8, [sp, #0x20]
0xfffffff008de70d0: e82effb0  adrp	x8, #0xfffffff0073c4000
0xfffffff008de70d4: 08493991  add	x8, x8, #0xe52
0xfffffff008de70d8: ea2eff90  adrp	x10, #0xfffffff0073c3000
0xfffffff008de70dc: 4a4d2891  add	x10, x10, #0xa13
0xfffffff008de70e0: f0ffff17  b	#0xfffffff008de70a0
0xfffffff008de70e4: 7f2303d5  pacibsp	
0xfffffff008de70e8: ff4302d1  sub	sp, sp, #0x90
0xfffffff008de70ec: fa6704a9  stp	x26, x25, [sp, #0x40]
0xfffffff008de70f0: f85f05a9  stp	x24, x23, [sp, #0x50]
0xfffffff008de70f4: f65706a9  stp	x22, x21, [sp, #0x60]
0xfffffff008de70f8: f44f07a9  stp	x20, x19, [sp, #0x70]
0xfffffff008de70fc: fd7b08a9  stp	x29, x30, [sp, #0x80]
0xfffffff008de7100: fd030291  add	x29, sp, #0x80
0xfffffff008de7104: e33f00b9  str	w3, [sp, #0x3c]
0xfffffff008de7108: ff1b00f9  str	xzr, [sp, #0x30]
0xfffffff008de710c: 200800b4  cbz	x0, #0xfffffff008de7210
0xfffffff008de7110: f80301aa  mov	x24, x1
0xfffffff008de7114: 010900b4  cbz	x1, #0xfffffff008de7234
0xfffffff008de7118: f50305aa  mov	x21, x5
0xfffffff008de711c: f60304aa  mov	x22, x4
0xfffffff008de7120: 9f0000f1  cmp	x4, #0
0xfffffff008de7124: e8079f1a  cset	w8, ne
