; Candidate 4240
; ADRP+ADD at VM 0xfffffff00879834c (fileoff 0x179434c): page=0x1ff26d000 add_imm=0xd68

0xfffffff0087982cc: 140080d2  mov	x20, #0
0xfffffff0087982d0: 5093ffb0  adrp	x16, #0xfffffff007a01000
0xfffffff0087982d4: 10823e91  add	x16, x16, #0xfa0
0xfffffff0087982d8: 10420091  add	x16, x16, #0x10
0xfffffff0087982dc: f10300aa  mov	x17, x0
0xfffffff0087982e0: b1eae6f2  movk	x17, #0x3755, lsl #48
0xfffffff0087982e4: 300ac1da  pacda	x16, x17
0xfffffff0087982e8: f50300aa  mov	x21, x0
0xfffffff0087982ec: b00601f8  str	x16, [x21], #0x10
0xfffffff0087982f0: a8024039  ldrb	w8, [x21]
0xfffffff0087982f4: 88000034  cbz	w8, #0xfffffff008798304
0xfffffff0087982f8: e00313aa  mov	x0, x19
0xfffffff0087982fc: e10314aa  mov	x1, x20
0xfffffff008798300: 61030094  bl	#0xfffffff008799084
0xfffffff008798304: 94060091  add	x20, x20, #1
0xfffffff008798308: b5020391  add	x21, x21, #0xc0
0xfffffff00879830c: 9f4200f1  cmp	x20, #0x10
0xfffffff008798310: 01ffff54  b.ne	#0xfffffff0087982f0
0xfffffff008798314: 00e4006f  movi	v0.2d, #0000000000000000
0xfffffff008798318: 60e20dfd  str	d0, [x19, #0x1bc0]
0xfffffff00879831c: 7fca1bb9  str	wzr, [x19, #0x1bc8]
0xfffffff008798320: e00313aa  mov	x0, x19
0xfffffff008798324: fd7b42a9  ldp	x29, x30, [sp, #0x20]
0xfffffff008798328: f44f41a9  ldp	x20, x19, [sp, #0x10]
0xfffffff00879832c: f657c3a8  ldp	x22, x21, [sp], #0x30
0xfffffff008798330: ff0f5fd6  retab	
0xfffffff008798334: 7f2303d5  pacibsp	
0xfffffff008798338: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff00879833c: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff008798340: fd430091  add	x29, sp, #0x10
0xfffffff008798344: f30300aa  mov	x19, x0
0xfffffff008798348: dbffff97  bl	#0xfffffff0087982b4
0xfffffff00879834c: 6093ffb0  adrp	x0, #0xfffffff007a05000
0xfffffff008798350: 00a03591  add	x0, x0, #0xd68
0xfffffff008798354: e10313aa  mov	x1, x19
0xfffffff008798358: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff00879835c: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff008798360: ff2303d5  autibsp	
0xfffffff008798364: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff008798368: 5000f0b6  tbz	x16, #0x3e, #0xfffffff008798370
0xfffffff00879836c: 208e38d4  brk	#0xc471
0xfffffff008798370: e7f8ee17  b	#0xfffffff00835670c
0xfffffff008798374: 5f2403d5  bti	c
0xfffffff008798378: 9f040071  cmp	w4, #1
0xfffffff00879837c: 21010054  b.ne	#0xfffffff0087983a0
0xfffffff008798380: 280440b9  ldr	w8, [x1, #4]
0xfffffff008798384: 08711d12  and	w8, w8, #0xfffffff8
0xfffffff008798388: 1f410071  cmp	w8, #0x10
0xfffffff00879838c: a1000054  b.ne	#0xfffffff0087983a0
0xfffffff008798390: 09008052  mov	w9, #0
0xfffffff008798394: 1fc01bb9  str	wzr, [x0, #0x1bc0]
0xfffffff008798398: 682040b9  ldr	w8, [x3, #0x20]
0xfffffff00879839c: 17000014  b	#0xfffffff0087983f8
0xfffffff0087983a0: 682040b9  ldr	w8, [x3, #0x20]
0xfffffff0087983a4: 09c45bb9  ldr	w9, [x0, #0x1bc4]
0xfffffff0087983a8: 2a01086b  subs	w10, w9, w8
0xfffffff0087983ac: a9000054  b.ls	#0xfffffff0087983c0
0xfffffff0087983b0: 0b308b52  mov	w11, #0x5980
0xfffffff0087983b4: 4b686bb8  ldr	w11, [x2, x11]
0xfffffff0087983b8: 5f054b6b  cmp	w10, w11, lsr #1
0xfffffff0087983bc: 82010054  b.hs	#0xfffffff0087983ec
0xfffffff0087983c0: 0901096b  subs	w9, w8, w9
0xfffffff0087983c4: 09010054  b.ls	#0xfffffff0087983e4
0xfffffff0087983c8: 0a308b52  mov	w10, #0x5980
