; Candidate 14811
; ADRP+ADD at VM 0xfffffff0099625b4 (fileoff 0x295e5b4): page=0x1fdc87000 add_imm=0xea1

0xfffffff009962534: e01700f9  str	x0, [sp, #0x28]
0xfffffff009962538: 01000014  b	#0xfffffff00996253c
0xfffffff00996253c: e01340f9  ldr	x0, [sp, #0x20]
0xfffffff009962540: e81740f9  ldr	x8, [sp, #0x28]
0xfffffff009962544: a9035ff8  ldur	x9, [x29, #-0x10]
0xfffffff009962548: 288501f9  str	x8, [x9, #0x308]
0xfffffff00996254c: a8035ff8  ldur	x8, [x29, #-0x10]
0xfffffff009962550: 011543b9  ldr	w1, [x8, #0x314]
0xfffffff009962554: a2035eb8  ldur	w2, [x29, #-0x20]
0xfffffff009962558: 2f000094  bl	#0xfffffff009962614
0xfffffff00996255c: 1a000014  b	#0xfffffff0099625c4
0xfffffff009962560: 01000014  b	#0xfffffff009962564
0xfffffff009962564: a8035eb8  ldur	w8, [x29, #-0x20]
0xfffffff009962568: 08050011  add	w8, w8, #1
0xfffffff00996256c: a8031eb8  stur	w8, [x29, #-0x20]
0xfffffff009962570: bcffff17  b	#0xfffffff009962460
0xfffffff009962574: a8035ff8  ldur	x8, [x29, #-0x10]
0xfffffff009962578: 08295539  ldrb	w8, [x8, #0x54a]
0xfffffff00996257c: 28020037  tbnz	w8, #0, #0xfffffff0099625c0
0xfffffff009962580: 01000014  b	#0xfffffff009962584
0xfffffff009962584: a8035ff8  ldur	x8, [x29, #-0x10]
0xfffffff009962588: 086941f9  ldr	x8, [x8, #0x2d0]
0xfffffff00996258c: 080100f1  subs	x8, x8, #0
0xfffffff009962590: e8179f1a  cset	w8, eq
0xfffffff009962594: 68010037  tbnz	w8, #0, #0xfffffff0099625c0
0xfffffff009962598: 01000014  b	#0xfffffff00996259c
0xfffffff00996259c: e9030091  mov	x9, sp
0xfffffff0099625a0: 28e4fef0  adrp	x8, #0xfffffff0075e9000
0xfffffff0099625a4: 08f93a91  add	x8, x8, #0xebe
0xfffffff0099625a8: 280100f9  str	x8, [x9]
0xfffffff0099625ac: 881b80d2  mov	x8, #0xdc
0xfffffff0099625b0: 280500f9  str	x8, [x9, #8]
0xfffffff0099625b4: 20e4fef0  adrp	x0, #0xfffffff0075e9000
0xfffffff0099625b8: 00843a91  add	x0, x0, #0xea1
0xfffffff0099625bc: d4c7ac97  bl	#0xfffffff00849450c
0xfffffff0099625c0: 01000014  b	#0xfffffff0099625c4
0xfffffff0099625c4: a8035ff8  ldur	x8, [x29, #-0x10]
0xfffffff0099625c8: 080100f1  subs	x8, x8, #0
0xfffffff0099625cc: e8179f1a  cset	w8, eq
0xfffffff0099625d0: c8010037  tbnz	w8, #0, #0xfffffff009962608
0xfffffff0099625d4: 01000014  b	#0xfffffff0099625d8
0xfffffff0099625d8: a0035ff8  ldur	x0, [x29, #-0x10]
0xfffffff0099625dc: 100040f9  ldr	x16, [x0]
0xfffffff0099625e0: e80300aa  mov	x8, x0
0xfffffff0099625e4: f10308aa  mov	x17, x8
0xfffffff0099625e8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0099625ec: 301ac1da  autda	x16, x17
0xfffffff0099625f0: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff0099625f4: e90310aa  mov	x9, x16
0xfffffff0099625f8: f10309aa  mov	x17, x9
0xfffffff0099625fc: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff009962600: 11093fd7  blraa	x8, x17
0xfffffff009962604: 01000014  b	#0xfffffff009962608
0xfffffff009962608: fd7b45a9  ldp	x29, x30, [sp, #0x50]
0xfffffff00996260c: ff830191  add	sp, sp, #0x60
0xfffffff009962610: ff0f5fd6  retab	
0xfffffff009962614: 7f2303d5  pacibsp	
0xfffffff009962618: ff8302d1  sub	sp, sp, #0xa0
0xfffffff00996261c: fd7b09a9  stp	x29, x30, [sp, #0x90]
0xfffffff009962620: fd430291  add	x29, sp, #0x90
0xfffffff009962624: e8f30132  mov	w8, #-0x55555556
0xfffffff009962628: e81700b9  str	w8, [sp, #0x14]
0xfffffff00996262c: 0919ff90  adrp	x9, #0xfffffff007c82000
0xfffffff009962630: 29d546f9  ldr	x9, [x9, #0xda8]
