; Candidate 4261
; ADRP+ADD at VM 0xfffffff00879a2f4 (fileoff 0x17962f4): page=0x1ff26b000 add_imm=0xe68

0xfffffff00879a274: 08200129  stp	w8, w8, [x0, #8]
0xfffffff00879a278: 09008452  mov	w9, #0x2000
0xfffffff00879a27c: 2900a072  movk	w9, #1, lsl #16
0xfffffff00879a280: 0a494011  add	w10, w8, #0x12, lsl #12
0xfffffff00879a284: 4a094011  add	w10, w10, #2, lsl #12
0xfffffff00879a288: 09280229  stp	w9, w10, [x0, #0x10]
0xfffffff00879a28c: 091800b9  str	w9, [x0, #0x18]
0xfffffff00879a290: e950ff90  adrp	x9, #0xfffffff0071b6000
0xfffffff00879a294: 29c10f91  add	x9, x9, #0x3f0
0xfffffff00879a298: 091000f9  str	x9, [x0, #0x20]
0xfffffff00879a29c: 018003ad  stp	q1, q0, [x0, #0x70]
0xfffffff00879a2a0: 08a14011  add	w8, w8, #0x28, lsl #12
0xfffffff00879a2a4: 08710211  add	w8, w8, #0x9c
0xfffffff00879a2a8: 089000b9  str	w8, [x0, #0x90]
0xfffffff00879a2ac: e850ff90  adrp	x8, #0xfffffff0071b6000
0xfffffff00879a2b0: 00f141fd  ldr	d0, [x8, #0x3e0]
0xfffffff00879a2b4: 001400fd  str	d0, [x0, #0x28]
0xfffffff00879a2b8: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff00879a2bc: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff00879a2c0: ff0f5fd6  retab	
0xfffffff00879a2c4: 5f2403d5  bti	c
0xfffffff00879a2c8: c6ffff17  b	#0xfffffff00879a1e0
0xfffffff00879a2cc: 5f2403d5  bti	c
0xfffffff00879a2d0: 0862ff17  b	#0xfffffff008772af0
0xfffffff00879a2d4: 5f2403d5  bti	c
0xfffffff00879a2d8: 0662ff17  b	#0xfffffff008772af0
0xfffffff00879a2dc: 7f2303d5  pacibsp	
0xfffffff00879a2e0: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff00879a2e4: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff00879a2e8: fd430091  add	x29, sp, #0x10
0xfffffff00879a2ec: f30300aa  mov	x19, x0
0xfffffff00879a2f0: 0062ff97  bl	#0xfffffff008772af0
0xfffffff00879a2f4: 4093fff0  adrp	x0, #0xfffffff007a05000
0xfffffff00879a2f8: 00a03991  add	x0, x0, #0xe68
0xfffffff00879a2fc: e10313aa  mov	x1, x19
0xfffffff00879a300: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff00879a304: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff00879a308: ff2303d5  autibsp	
0xfffffff00879a30c: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff00879a310: 5000f0b6  tbz	x16, #0x3e, #0xfffffff00879a318
0xfffffff00879a314: 208e38d4  brk	#0xc471
0xfffffff00879a318: fdf0ee17  b	#0xfffffff00835670c
0xfffffff00879a31c: 5f2403d5  bti	c
0xfffffff00879a320: 080c40b9  ldr	w8, [x0, #0xc]
0xfffffff00879a324: 08454011  add	w8, w8, #0x11, lsl #12
0xfffffff00879a328: 00013011  add	w0, w8, #0xc00
0xfffffff00879a32c: c0035fd6  ret	
0xfffffff00879a330: 5f2403d5  bti	c
0xfffffff00879a334: 00808052  mov	w0, #0x400
0xfffffff00879a338: c0035fd6  ret	
0xfffffff00879a33c: 7f2303d5  pacibsp	
0xfffffff00879a340: ffc301d1  sub	sp, sp, #0x70
0xfffffff00879a344: fc6f01a9  stp	x28, x27, [sp, #0x10]
0xfffffff00879a348: fa6702a9  stp	x26, x25, [sp, #0x20]
0xfffffff00879a34c: f85f03a9  stp	x24, x23, [sp, #0x30]
0xfffffff00879a350: f65704a9  stp	x22, x21, [sp, #0x40]
0xfffffff00879a354: f44f05a9  stp	x20, x19, [sp, #0x50]
0xfffffff00879a358: fd7b06a9  stp	x29, x30, [sp, #0x60]
0xfffffff00879a35c: fd830191  add	x29, sp, #0x60
0xfffffff00879a360: f30300aa  mov	x19, x0
0xfffffff00879a364: 013440b9  ldr	w1, [x0, #0x34]
0xfffffff00879a368: 02008052  mov	w2, #0
0xfffffff00879a36c: 1262ff97  bl	#0xfffffff008772bb4
0xfffffff00879a370: 613a40b9  ldr	w1, [x19, #0x38]
