; Candidate 3878
; ADRP+ADD at VM 0xfffffff00876be80 (fileoff 0x1767e80): page=0x1fe9c6000 add_imm=0xd90

0xfffffff00876be00: f92300a9  stp	x25, x8, [sp]
0xfffffff00876be04: 204effd0  adrp	x0, #0xfffffff007131000
0xfffffff00876be08: 00403691  add	x0, x0, #0xd90
0xfffffff00876be0c: 8194ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff00876be10: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00876be14: c34eff90  adrp	x3, #0xfffffff007143000
0xfffffff00876be18: 63100391  add	x3, x3, #0xc4
0xfffffff00876be1c: 02008052  mov	w2, #0
0xfffffff00876be20: c41cef97  bl	#0xfffffff008333130
0xfffffff00876be24: e00316aa  mov	x0, x22
0xfffffff00876be28: 4fffff97  bl	#0xfffffff00876bb64
0xfffffff00876be2c: a00200b9  str	w0, [x21]
0xfffffff00876be30: e0020079  strh	w0, [x23]
0xfffffff00876be34: 080b8052  mov	w8, #0x58
0xfffffff00876be38: 485b089b  madd	x8, x26, x8, x22
0xfffffff00876be3c: 09009052  mov	w9, #0x8000
0xfffffff00876be40: a97ba172  movk	w9, #0xbdd, lsl #16
0xfffffff00876be44: 093900f9  str	x9, [x8, #0x70]
0xfffffff00876be48: e00316aa  mov	x0, x22
0xfffffff00876be4c: e10317aa  mov	x1, x23
0xfffffff00876be50: 22008052  mov	w2, #1
0xfffffff00876be54: befcff97  bl	#0xfffffff00876b14c
0xfffffff00876be58: a1024079  ldrh	w1, [x21]
0xfffffff00876be5c: e00316aa  mov	x0, x22
0xfffffff00876be60: 22008052  mov	w2, #1
0xfffffff00876be64: ddfeff97  bl	#0xfffffff00876b9d8
0xfffffff00876be68: 17008052  mov	w23, #0
0xfffffff00876be6c: c00640f9  ldr	x0, [x22, #8]
0xfffffff00876be70: 3302d997  bl	#0xfffffff007dac73c
0xfffffff00876be74: a80240b9  ldr	w8, [x21]
0xfffffff00876be78: e85301a9  stp	x8, x20, [sp, #0x10]
0xfffffff00876be7c: f94f00a9  stp	x25, x19, [sp]
0xfffffff00876be80: 204effd0  adrp	x0, #0xfffffff007131000
0xfffffff00876be84: 00403691  add	x0, x0, #0xd90
0xfffffff00876be88: 8194ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff00876be8c: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00876be90: c34eff90  adrp	x3, #0xfffffff007143000
0xfffffff00876be94: 63900491  add	x3, x3, #0x124
0xfffffff00876be98: 02008052  mov	w2, #0
0xfffffff00876be9c: a51cef97  bl	#0xfffffff008333130
0xfffffff00876bea0: e00317aa  mov	x0, x23
0xfffffff00876bea4: fd7b46a9  ldp	x29, x30, [sp, #0x60]
0xfffffff00876bea8: f44f45a9  ldp	x20, x19, [sp, #0x50]
0xfffffff00876beac: f65744a9  ldp	x22, x21, [sp, #0x40]
0xfffffff00876beb0: f85f43a9  ldp	x24, x23, [sp, #0x30]
0xfffffff00876beb4: fa6742a9  ldp	x26, x25, [sp, #0x20]
0xfffffff00876beb8: ffc30191  add	sp, sp, #0x70
0xfffffff00876bebc: ff0f5fd6  retab	
0xfffffff00876bec0: 7f2303d5  pacibsp	
0xfffffff00876bec4: ff0301d1  sub	sp, sp, #0x40
0xfffffff00876bec8: f65701a9  stp	x22, x21, [sp, #0x10]
0xfffffff00876becc: f44f02a9  stp	x20, x19, [sp, #0x20]
0xfffffff00876bed0: fd7b03a9  stp	x29, x30, [sp, #0x30]
0xfffffff00876bed4: fdc30091  add	x29, sp, #0x30
0xfffffff00876bed8: 081040b9  ldr	w8, [x0, #0x10]
0xfffffff00876bedc: 1f01016b  cmp	w8, w1
0xfffffff00876bee0: e90a0054  b.ls	#0xfffffff00876c03c
0xfffffff00876bee4: 152c40f9  ldr	x21, [x0, #0x58]
0xfffffff00876bee8: f603012a  mov	w22, w1
0xfffffff00876beec: 08038052  mov	w8, #0x18
0xfffffff00876bef0: 3454a89b  umaddl	x20, w1, w8, x21
0xfffffff00876bef4: 08c05679  ldrh	w8, [x0, #0xb60]
0xfffffff00876bef8: c8010034  cbz	w8, #0xfffffff00876bf30
0xfffffff00876befc: 10644bb9  ldr	w16, [x0, #0xb64]
