; Candidate 15353
; ADRP+ADD at VM 0xfffffff009b53f18 (fileoff 0x2b4ff18): page=0x1fdad5000 add_imm=0xed0

0xfffffff009b53e98: 40000054  b.eq	#0xfffffff009b53ea0
0xfffffff009b53e9c: 408e38d4  brk	#0xc472
0xfffffff009b53ea0: 08a20791  add	x8, x16, #0x1e8
0xfffffff009b53ea4: 09f640f9  ldr	x9, [x16, #0x1e8]
0xfffffff009b53ea8: e00313aa  mov	x0, x19
0xfffffff009b53eac: 010080d2  mov	x1, #0
0xfffffff009b53eb0: f10308aa  mov	x17, x8
0xfffffff009b53eb4: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff009b53eb8: 31093fd7  blraa	x9, x17
0xfffffff009b53ebc: f50300aa  mov	x21, x0
0xfffffff009b53ec0: 700240f9  ldr	x16, [x19]
0xfffffff009b53ec4: f10313aa  mov	x17, x19
0xfffffff009b53ec8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009b53ecc: 301ac1da  autda	x16, x17
0xfffffff009b53ed0: f10310aa  mov	x17, x16
0xfffffff009b53ed4: f147c1da  xpacd	x17
0xfffffff009b53ed8: 1f0211eb  cmp	x16, x17
0xfffffff009b53edc: 40000054  b.eq	#0xfffffff009b53ee4
0xfffffff009b53ee0: 408e38d4  brk	#0xc472
0xfffffff009b53ee4: 08620891  add	x8, x16, #0x218
0xfffffff009b53ee8: 090e41f9  ldr	x9, [x16, #0x218]
0xfffffff009b53eec: e00313aa  mov	x0, x19
0xfffffff009b53ef0: 010080d2  mov	x1, #0
0xfffffff009b53ef4: f10308aa  mov	x17, x8
0xfffffff009b53ef8: 11a8e6f2  movk	x17, #0x3540, lsl #48
0xfffffff009b53efc: 31093fd7  blraa	x9, x17
0xfffffff009b53f00: a8d6fef0  adrp	x8, #0xfffffff00762a000
0xfffffff009b53f04: 09052d91  add	x9, x8, #0xb41
0xfffffff009b53f08: a8d6fed0  adrp	x8, #0xfffffff007629000
0xfffffff009b53f0c: 08f11f91  add	x8, x8, #0x7fc
0xfffffff009b53f10: e82701a9  stp	x8, x9, [sp, #0x10]
0xfffffff009b53f14: f50300a9  stp	x21, x0, [sp]
0xfffffff009b53f18: a0d6feb0  adrp	x0, #0xfffffff007628000
0xfffffff009b53f1c: 00403b91  add	x0, x0, #0xed0
0xfffffff009b53f20: c3d6feb0  adrp	x3, #0xfffffff00762c000
0xfffffff009b53f24: 63d42291  add	x3, x3, #0x8b5
0xfffffff009b53f28: e10314aa  mov	x1, x20
0xfffffff009b53f2c: 02028052  mov	w2, #0x10
0xfffffff009b53f30: 807c9f97  bl	#0xfffffff008333130
0xfffffff009b53f34: 74c641b9  ldr	w20, [x19, #0x1c4]
0xfffffff009b53f38: 140f1836  tbz	w20, #3, #0xfffffff009b54118
0xfffffff009b53f3c: 3405f036  tbz	w20, #0x1e, #0xfffffff009b53fe0
0xfffffff009b53f40: d7e78d97  bl	#0xfffffff007ecde9c
0xfffffff009b53f44: 1f040071  cmp	w0, #1
0xfffffff009b53f48: c1040054  b.ne	#0xfffffff009b53fe0
0xfffffff009b53f4c: 700240f9  ldr	x16, [x19]
0xfffffff009b53f50: f10313aa  mov	x17, x19
0xfffffff009b53f54: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009b53f58: 301ac1da  autda	x16, x17
0xfffffff009b53f5c: 113d80d2  mov	x17, #0x1e8
0xfffffff009b53f60: 1002118b  add	x16, x16, x17
0xfffffff009b53f64: 080240f9  ldr	x8, [x16]
0xfffffff009b53f68: e90310aa  mov	x9, x16
0xfffffff009b53f6c: e00313aa  mov	x0, x19
0xfffffff009b53f70: 010080d2  mov	x1, #0
0xfffffff009b53f74: f10309aa  mov	x17, x9
0xfffffff009b53f78: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff009b53f7c: 11093fd7  blraa	x8, x17
0xfffffff009b53f80: f40300aa  mov	x20, x0
0xfffffff009b53f84: 700240f9  ldr	x16, [x19]
0xfffffff009b53f88: f10313aa  mov	x17, x19
0xfffffff009b53f8c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009b53f90: 301ac1da  autda	x16, x17
0xfffffff009b53f94: 114380d2  mov	x17, #0x218
