; Candidate 1208
; ADRP+ADD at VM 0xfffffff008294f6c (fileoff 0x1290f6c): page=0x1ff6e8000 add_imm=0xd30

0xfffffff008294eec: 09050011  add	w9, w8, #1
0xfffffff008294ef0: a96a00b9  str	w9, [x21, #0x68]
0xfffffff008294ef4: a9b24139  ldrb	w9, [x21, #0x6c]
0xfffffff008294ef8: a9001837  tbnz	w9, #3, #0xfffffff008294f0c
0xfffffff008294efc: d4028052  mov	w20, #0x16
0xfffffff008294f00: a86a00b9  str	w8, [x21, #0x68]
0xfffffff008294f04: c8030035  cbnz	w8, #0xfffffff008294f7c
0xfffffff008294f08: 08000014  b	#0xfffffff008294f28
0xfffffff008294f0c: e00315aa  mov	x0, x21
0xfffffff008294f10: 81feff97  bl	#0xfffffff008294914
0xfffffff008294f14: 14008052  mov	w20, #0
0xfffffff008294f18: a86a40b9  ldr	w8, [x21, #0x68]
0xfffffff008294f1c: 08050051  sub	w8, w8, #1
0xfffffff008294f20: a86a00b9  str	w8, [x21, #0x68]
0xfffffff008294f24: c8020035  cbnz	w8, #0xfffffff008294f7c
0xfffffff008294f28: a86e40b9  ldr	w8, [x21, #0x6c]
0xfffffff008294f2c: 28010036  tbz	w8, #0, #0xfffffff008294f50
0xfffffff008294f30: a94e40f9  ldr	x9, [x21, #0x98]
0xfffffff008294f34: a90000b4  cbz	x9, #0xfffffff008294f48
0xfffffff008294f38: e00315aa  mov	x0, x21
0xfffffff008294f3c: d15785d2  mov	x17, #0x2abe
0xfffffff008294f40: 31093fd7  blraa	x9, x17
0xfffffff008294f44: a86e40b9  ldr	w8, [x21, #0x6c]
0xfffffff008294f48: 08791f12  and	w8, w8, #0xfffffffe
0xfffffff008294f4c: a86e00b9  str	w8, [x21, #0x6c]
0xfffffff008294f50: e00316aa  mov	x0, x22
0xfffffff008294f54: 01008052  mov	w1, #0
0xfffffff008294f58: 02028052  mov	w2, #0x10
0xfffffff008294f5c: 19dfea97  bl	#0xfffffff007d4cbc0
0xfffffff008294f60: bf3a00f9  str	xzr, [x21, #0x70]
0xfffffff008294f64: a8b24139  ldrb	w8, [x21, #0x6c]
0xfffffff008294f68: a8001836  tbz	w8, #3, #0xfffffff008294f7c
0xfffffff008294f6c: 40b7ff90  adrp	x0, #0xfffffff00797c000
0xfffffff008294f70: 00c03491  add	x0, x0, #0xd30
0xfffffff008294f74: e10315aa  mov	x1, x21
0xfffffff008294f78: 25d3ed97  bl	#0xfffffff007e09c0c
0xfffffff008294f7c: 681a44b9  ldr	w8, [x19, #0x418]
0xfffffff008294f80: e20308aa  mov	x2, x8
0xfffffff008294f84: fffea288  casl	w2, wzr, [x23]
0xfffffff008294f88: 5f00086b  cmp	w2, w8
0xfffffff008294f8c: a1010054  b.ne	#0xfffffff008294fc0
0xfffffff008294f90: e00314aa  mov	x0, x20
0xfffffff008294f94: fd7b43a9  ldp	x29, x30, [sp, #0x30]
0xfffffff008294f98: f44f42a9  ldp	x20, x19, [sp, #0x20]
0xfffffff008294f9c: f65741a9  ldp	x22, x21, [sp, #0x10]
0xfffffff008294fa0: f85fc4a8  ldp	x24, x23, [sp], #0x40
0xfffffff008294fa4: ff0f5fd6  retab	
0xfffffff008294fa8: 00fc00f0  adrp	x0, #0xfffffff00a217000
0xfffffff008294fac: 00c02d91  add	x0, x0, #0xb70
0xfffffff008294fb0: e10313aa  mov	x1, x19
0xfffffff008294fb4: 02008052  mov	w2, #0
0xfffffff008294fb8: d05aec97  bl	#0xfffffff007dabaf8
0xfffffff008294fbc: b8ffff17  b	#0xfffffff008294e9c
0xfffffff008294fc0: 00fc00f0  adrp	x0, #0xfffffff00a217000
0xfffffff008294fc4: 00c02d91  add	x0, x0, #0xb70
0xfffffff008294fc8: e10313aa  mov	x1, x19
0xfffffff008294fcc: e65dec97  bl	#0xfffffff007dac764
0xfffffff008294fd0: f0ffff17  b	#0xfffffff008294f90
0xfffffff008294fd4: 7f2303d5  pacibsp	
0xfffffff008294fd8: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff008294fdc: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff008294fe0: fd430091  add	x29, sp, #0x10
0xfffffff008294fe4: f40300aa  mov	x20, x0
0xfffffff008294fe8: c0028052  mov	w0, #0x16
