; Candidate 13410
; ADRP+ADD at VM 0xfffffff0092cee90 (fileoff 0x22cae90): page=0x1fe211000 add_imm=0xe26

0xfffffff0092cee10: 400300b4  cbz	x0, #0xfffffff0092cee78
0xfffffff0092cee14: 700240f9  ldr	x16, [x19]
0xfffffff0092cee18: f10313aa  mov	x17, x19
0xfffffff0092cee1c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0092cee20: 301ac1da  autda	x16, x17
0xfffffff0092cee24: 116e80d2  mov	x17, #0x370
0xfffffff0092cee28: 1002118b  add	x16, x16, x17
0xfffffff0092cee2c: 080240f9  ldr	x8, [x16]
0xfffffff0092cee30: e90310aa  mov	x9, x16
0xfffffff0092cee34: e00313aa  mov	x0, x19
0xfffffff0092cee38: f10309aa  mov	x17, x9
0xfffffff0092cee3c: f176f2f2  movk	x17, #0x93b7, lsl #48
0xfffffff0092cee40: 11093fd7  blraa	x8, x17
0xfffffff0092cee44: 100040f9  ldr	x16, [x0]
0xfffffff0092cee48: f10300aa  mov	x17, x0
0xfffffff0092cee4c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0092cee50: 301ac1da  autda	x16, x17
0xfffffff0092cee54: 113d80d2  mov	x17, #0x1e8
0xfffffff0092cee58: 1002118b  add	x16, x16, x17
0xfffffff0092cee5c: 080240f9  ldr	x8, [x16]
0xfffffff0092cee60: e90310aa  mov	x9, x16
0xfffffff0092cee64: 010080d2  mov	x1, #0
0xfffffff0092cee68: f10309aa  mov	x17, x9
0xfffffff0092cee6c: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff0092cee70: 11093fd7  blraa	x8, x17
0xfffffff0092cee74: 03000014  b	#0xfffffff0092cee80
0xfffffff0092cee78: 8010ff90  adrp	x0, #0xfffffff0074de000
0xfffffff0092cee7c: 00102191  add	x0, x0, #0x844
0xfffffff0092cee80: a8024079  ldrh	w8, [x21]
0xfffffff0092cee84: f4a301a9  stp	x20, x8, [sp, #0x18]
0xfffffff0092cee88: f78300a9  stp	x23, x0, [sp, #8]
0xfffffff0092cee8c: f60300f9  str	x22, [sp]
0xfffffff0092cee90: 8010ffb0  adrp	x0, #0xfffffff0074df000
0xfffffff0092cee94: 00983891  add	x0, x0, #0xe26
0xfffffff0092cee98: 6220c297  bl	#0xfffffff008357020
0xfffffff0092cee9c: 75c23991  add	x21, x19, #0xe70
0xfffffff0092ceea0: 9410ffb0  adrp	x20, #0xfffffff0074df000
0xfffffff0092ceea4: 944e3991  add	x20, x20, #0xe53
0xfffffff0092ceea8: e00314aa  mov	x0, x20
0xfffffff0092ceeac: e10315aa  mov	x1, x21
0xfffffff0092ceeb0: 42008052  mov	w2, #2
0xfffffff0092ceeb4: 4178c697  bl	#0xfffffff00846cfb8
0xfffffff0092ceeb8: c0070034  cbz	w0, #0xfffffff0092cefb0
0xfffffff0092ceebc: 700240f9  ldr	x16, [x19]
0xfffffff0092ceec0: f10313aa  mov	x17, x19
0xfffffff0092ceec4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0092ceec8: 301ac1da  autda	x16, x17
0xfffffff0092ceecc: 113d80d2  mov	x17, #0x1e8
0xfffffff0092ceed0: 1002118b  add	x16, x16, x17
0xfffffff0092ceed4: 080240f9  ldr	x8, [x16]
0xfffffff0092ceed8: e90310aa  mov	x9, x16
0xfffffff0092ceedc: e00313aa  mov	x0, x19
0xfffffff0092ceee0: 010080d2  mov	x1, #0
0xfffffff0092ceee4: f10309aa  mov	x17, x9
0xfffffff0092ceee8: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff0092ceeec: 11093fd7  blraa	x8, x17
0xfffffff0092ceef0: f60300aa  mov	x22, x0
0xfffffff0092ceef4: 700240f9  ldr	x16, [x19]
0xfffffff0092ceef8: f10313aa  mov	x17, x19
0xfffffff0092ceefc: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0092cef00: 301ac1da  autda	x16, x17
0xfffffff0092cef04: 116e80d2  mov	x17, #0x370
0xfffffff0092cef08: 1002118b  add	x16, x16, x17
0xfffffff0092cef0c: 080240f9  ldr	x8, [x16]
