; Candidate 14342
; ADRP+ADD at VM 0xfffffff009768130 (fileoff 0x2764130): page=0xc23000 add_imm=0xea8

0xfffffff0097680b0: c00100b5  cbnz	x0, #0xfffffff0097680e8
0xfffffff0097680b4: 700240f9  ldr	x16, [x19]
0xfffffff0097680b8: f10313aa  mov	x17, x19
0xfffffff0097680bc: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0097680c0: 301ac1da  autda	x16, x17
0xfffffff0097680c4: 113d80d2  mov	x17, #0x1e8
0xfffffff0097680c8: 1002118b  add	x16, x16, x17
0xfffffff0097680cc: 080240f9  ldr	x8, [x16]
0xfffffff0097680d0: e90310aa  mov	x9, x16
0xfffffff0097680d4: e00313aa  mov	x0, x19
0xfffffff0097680d8: 010080d2  mov	x1, #0
0xfffffff0097680dc: f10309aa  mov	x17, x9
0xfffffff0097680e0: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff0097680e4: 11093fd7  blraa	x8, x17
0xfffffff0097680e8: e00313aa  mov	x0, x19
0xfffffff0097680ec: 5c02fd97  bl	#0xfffffff0096a8a5c
0xfffffff0097680f0: e00313aa  mov	x0, x19
0xfffffff0097680f4: 5a02fd97  bl	#0xfffffff0096a8a5c
0xfffffff0097680f8: c00100b5  cbnz	x0, #0xfffffff009768130
0xfffffff0097680fc: 700240f9  ldr	x16, [x19]
0xfffffff009768100: f10313aa  mov	x17, x19
0xfffffff009768104: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009768108: 301ac1da  autda	x16, x17
0xfffffff00976810c: 114380d2  mov	x17, #0x218
0xfffffff009768110: 1002118b  add	x16, x16, x17
0xfffffff009768114: 080240f9  ldr	x8, [x16]
0xfffffff009768118: e90310aa  mov	x9, x16
0xfffffff00976811c: e00313aa  mov	x0, x19
0xfffffff009768120: 010080d2  mov	x1, #0
0xfffffff009768124: f10309aa  mov	x17, x9
0xfffffff009768128: 11a8e6f2  movk	x17, #0x3540, lsl #48
0xfffffff00976812c: 11093fd7  blraa	x8, x17
0xfffffff009768130: 006100f0  adrp	x0, #0xfffffff00a38b000
0xfffffff009768134: 00a03a91  add	x0, x0, #0xea8
0xfffffff009768138: 08f2ad97  bl	#0xfffffff0082e4958
0xfffffff00976813c: f50300aa  mov	x21, x0
0xfffffff009768140: e00313aa  mov	x0, x19
0xfffffff009768144: 4602fd97  bl	#0xfffffff0096a8a5c
0xfffffff009768148: f60300aa  mov	x22, x0
0xfffffff00976814c: e00100b5  cbnz	x0, #0xfffffff009768188
0xfffffff009768150: 700240f9  ldr	x16, [x19]
0xfffffff009768154: f10313aa  mov	x17, x19
0xfffffff009768158: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00976815c: 301ac1da  autda	x16, x17
0xfffffff009768160: 113d80d2  mov	x17, #0x1e8
0xfffffff009768164: 1002118b  add	x16, x16, x17
0xfffffff009768168: 080240f9  ldr	x8, [x16]
0xfffffff00976816c: e90310aa  mov	x9, x16
0xfffffff009768170: e00313aa  mov	x0, x19
0xfffffff009768174: 010080d2  mov	x1, #0
0xfffffff009768178: f10309aa  mov	x17, x9
0xfffffff00976817c: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff009768180: 11093fd7  blraa	x8, x17
0xfffffff009768184: f60300aa  mov	x22, x0
0xfffffff009768188: e00313aa  mov	x0, x19
0xfffffff00976818c: 3402fd97  bl	#0xfffffff0096a8a5c
0xfffffff009768190: 34f1feb0  adrp	x20, #0xfffffff00758d000
0xfffffff009768194: 94c63491  add	x20, x20, #0xd31
0xfffffff009768198: 37f1feb0  adrp	x23, #0xfffffff00758d000
0xfffffff00976819c: f7ca3491  add	x23, x23, #0xd32
0xfffffff0097681a0: 1f0000f1  cmp	x0, #0
0xfffffff0097681a4: f802949a  csel	x24, x23, x20, eq
0xfffffff0097681a8: e00313aa  mov	x0, x19
0xfffffff0097681ac: 2c02fd97  bl	#0xfffffff0096a8a5c
