; Candidate 6560
; ADRP+ADD at VM 0xfffffff008833208 (fileoff 0x182f208): page=0x1fe9e0000 add_imm=0xe0f

0xfffffff008833188: fd7b49a9  ldp	x29, x30, [sp, #0x90]
0xfffffff00883318c: f44f48a9  ldp	x20, x19, [sp, #0x80]
0xfffffff008833190: f65747a9  ldp	x22, x21, [sp, #0x70]
0xfffffff008833194: f85f46a9  ldp	x24, x23, [sp, #0x60]
0xfffffff008833198: fa6745a9  ldp	x26, x25, [sp, #0x50]
0xfffffff00883319c: ff830291  add	sp, sp, #0xa0
0xfffffff0088331a0: ff0f5fd6  retab	
0xfffffff0088331a4: 7f2303d5  pacibsp	
0xfffffff0088331a8: ffc301d1  sub	sp, sp, #0x70
0xfffffff0088331ac: f65704a9  stp	x22, x21, [sp, #0x40]
0xfffffff0088331b0: f44f05a9  stp	x20, x19, [sp, #0x50]
0xfffffff0088331b4: fd7b06a9  stp	x29, x30, [sp, #0x60]
0xfffffff0088331b8: fd830191  add	x29, sp, #0x60
0xfffffff0088331bc: f30300aa  mov	x19, x0
0xfffffff0088331c0: 200f8052  mov	w0, #0x79
0xfffffff0088331c4: c1008052  mov	w1, #6
0xfffffff0088331c8: 82210194  bl	#0xfffffff00887b7d0
0xfffffff0088331cc: 40020034  cbz	w0, #0xfffffff008833214
0xfffffff0088331d0: 200f8052  mov	w0, #0x79
0xfffffff0088331d4: 91210194  bl	#0xfffffff00887b818
0xfffffff0088331d8: f50300aa  mov	x21, x0
0xfffffff0088331dc: f4030294  bl	#0xfffffff0088b41ac
0xfffffff0088331e0: f40300aa  mov	x20, x0
0xfffffff0088331e4: c0008052  mov	w0, #6
0xfffffff0088331e8: 9a210194  bl	#0xfffffff00887b850
0xfffffff0088331ec: 35020034  cbz	w21, #0xfffffff008833230
0xfffffff0088331f0: 684ffff0  adrp	x8, #0xfffffff007222000
0xfffffff0088331f4: 08f53c91  add	x8, x8, #0xf3d
0xfffffff0088331f8: e8cf01a9  stp	x8, x19, [sp, #0x18]
0xfffffff0088331fc: 280f8052  mov	w8, #0x79
0xfffffff008833200: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff008833204: f40300f9  str	x20, [sp]
0xfffffff008833208: 004fff90  adrp	x0, #0xfffffff007213000
0xfffffff00883320c: 003c3891  add	x0, x0, #0xe0f
0xfffffff008833210: 9410d697  bl	#0xfffffff007db7460
0xfffffff008833214: 530300b4  cbz	x19, #0xfffffff00883327c
0xfffffff008833218: e00313aa  mov	x0, x19
0xfffffff00883321c: 01008052  mov	w1, #0
0xfffffff008833220: 021c8052  mov	w2, #0xe0
0xfffffff008833224: 6766d497  bl	#0xfffffff007d4cbc0
0xfffffff008833228: 14008052  mov	w20, #0
0xfffffff00883322c: 45000014  b	#0xfffffff008833340
0xfffffff008833230: df030294  bl	#0xfffffff0088b41ac
0xfffffff008833234: f40300aa  mov	x20, x0
0xfffffff008833238: c0008052  mov	w0, #6
0xfffffff00883323c: 85210194  bl	#0xfffffff00887b850
0xfffffff008833240: 684ffff0  adrp	x8, #0xfffffff007222000
0xfffffff008833244: 08f53c91  add	x8, x8, #0xf3d
0xfffffff008833248: e8cf01a9  stp	x8, x19, [sp, #0x18]
0xfffffff00883324c: 280f8052  mov	w8, #0x79
0xfffffff008833250: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff008833254: f40300f9  str	x20, [sp]
0xfffffff008833258: a04dffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff00883325c: 00003a91  add	x0, x0, #0xe80
0xfffffff008833260: a18effb0  adrp	x1, #0xfffffff007a08000
0xfffffff008833264: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008833268: c350ffd0  adrp	x3, #0xfffffff00724d000
0xfffffff00883326c: 63942591  add	x3, x3, #0x965
0xfffffff008833270: 02008052  mov	w2, #0
0xfffffff008833274: afffeb97  bl	#0xfffffff008333130
0xfffffff008833278: 13fdffb5  cbnz	x19, #0xfffffff008833218
0xfffffff00883327c: 200f8052  mov	w0, #0x79
0xfffffff008833280: 81008052  mov	w1, #4
0xfffffff008833284: 53210194  bl	#0xfffffff00887b7d0
