; Candidate 13819
; ADRP+ADD at VM 0xfffffff0095a6ba0 (fileoff 0x25a2ba0): page=0x1fdfbc000 add_imm=0xd9e

0xfffffff0095a6b20: 3b7d089b  mul	x27, x9, x8
0xfffffff0095a6b24: 5b0400b4  cbz	x27, #0xfffffff0095a6bac
0xfffffff0095a6b28: 0820a352  mov	w8, #0x19000000
0xfffffff0095a6b2c: 680308eb  subs	x8, x27, x8
0xfffffff0095a6b30: f733889a  csel	x23, xzr, x8, lo
0xfffffff0095a6b34: e5eb40b9  ldr	w5, [sp, #0xe8]
0xfffffff0095a6b38: e1c30891  add	x1, sp, #0x230
0xfffffff0095a6b3c: e00313aa  mov	x0, x19
0xfffffff0095a6b40: e20317aa  mov	x2, x23
0xfffffff0095a6b44: 23008052  mov	w3, #1
0xfffffff0095a6b48: 04008052  mov	w4, #0
0xfffffff0095a6b4c: 45f3ff97  bl	#0xfffffff0095a3860
0xfffffff0095a6b50: 80020035  cbnz	w0, #0xfffffff0095a6ba0
0xfffffff0095a6b54: 28008052  mov	w8, #1
0xfffffff0095a6b58: 0820a372  movk	w8, #0x1900, lsl #16
0xfffffff0095a6b5c: 7f0308eb  cmp	x27, x8
0xfffffff0095a6b60: 63020054  b.lo	#0xfffffff0095a6bac
0xfffffff0095a6b64: e00313aa  mov	x0, x19
0xfffffff0095a6b68: e10316aa  mov	x1, x22
0xfffffff0095a6b6c: 19030094  bl	#0xfffffff0095a77d0
0xfffffff0095a6b70: e00313aa  mov	x0, x19
0xfffffff0095a6b74: a3030094  bl	#0xfffffff0095a7a00
0xfffffff0095a6b78: e00313aa  mov	x0, x19
0xfffffff0095a6b7c: b9010094  bl	#0xfffffff0095a7260
0xfffffff0095a6b80: 000c0035  cbnz	w0, #0xfffffff0095a6d00
0xfffffff0095a6b84: e00313aa  mov	x0, x19
0xfffffff0095a6b88: e1018052  mov	w1, #0xf
0xfffffff0095a6b8c: 42008052  mov	w2, #2
0xfffffff0095a6b90: 8c020094  bl	#0xfffffff0095a75c0
0xfffffff0095a6b94: f60300aa  mov	x22, x0
0xfffffff0095a6b98: fb0317aa  mov	x27, x23
0xfffffff0095a6b9c: e3ffff17  b	#0xfffffff0095a6b28
0xfffffff0095a6ba0: e0fdfe90  adrp	x0, #0xfffffff007562000
0xfffffff0095a6ba4: 00783691  add	x0, x0, #0xd9e
0xfffffff0095a6ba8: 2e42a097  bl	#0xfffffff007db7460
0xfffffff0095a6bac: fb031aaa  mov	x27, x26
0xfffffff0095a6bb0: fa0b40f9  ldr	x26, [sp, #0x10]
0xfffffff0095a6bb4: e8ef41b9  ldr	w8, [sp, #0x1ec]
0xfffffff0095a6bb8: a8010034  cbz	w8, #0xfffffff0095a6bec
0xfffffff0095a6bbc: e8830191  add	x8, sp, #0x60
0xfffffff0095a6bc0: e8db00f9  str	x8, [sp, #0x1b0]
0xfffffff0095a6bc4: e8c30691  add	x8, sp, #0x1b0
0xfffffff0095a6bc8: ffa318a9  stp	xzr, x8, [sp, #0x188]
0xfffffff0095a6bcc: e5eb40b9  ldr	w5, [sp, #0xe8]
0xfffffff0095a6bd0: e1c30691  add	x1, sp, #0x1b0
0xfffffff0095a6bd4: e00313aa  mov	x0, x19
0xfffffff0095a6bd8: 020080d2  mov	x2, #0
0xfffffff0095a6bdc: 23008052  mov	w3, #1
0xfffffff0095a6be0: 24008052  mov	w4, #1
0xfffffff0095a6be4: 1ff3ff97  bl	#0xfffffff0095a3860
0xfffffff0095a6be8: 60120035  cbnz	w0, #0xfffffff0095a6e34
0xfffffff0095a6bec: e8df4179  ldrh	w8, [sp, #0xee]
0xfffffff0095a6bf0: 68001037  tbnz	w8, #2, #0xfffffff0095a6bfc
0xfffffff0095a6bf4: 37008052  mov	w23, #1
0xfffffff0095a6bf8: 16000014  b	#0xfffffff0095a6c50
0xfffffff0095a6bfc: e00313aa  mov	x0, x19
0xfffffff0095a6c00: e10316aa  mov	x1, x22
0xfffffff0095a6c04: f3020094  bl	#0xfffffff0095a77d0
0xfffffff0095a6c08: e00313aa  mov	x0, x19
0xfffffff0095a6c0c: 7d030094  bl	#0xfffffff0095a7a00
0xfffffff0095a6c10: e1eb40b9  ldr	w1, [sp, #0xe8]
0xfffffff0095a6c14: e2df0a91  add	x2, sp, #0x2b7
0xfffffff0095a6c18: e00313aa  mov	x0, x19
0xfffffff0095a6c1c: ec4bff97  bl	#0xfffffff009579bcc
