; Candidate 8666
; ADRP+ADD at VM 0xfffffff0088ba810 (fileoff 0x18b6810): page=0x1fe92f000 add_imm=0xe80

0xfffffff0088ba790: 700240f9  ldr	x16, [x19]
0xfffffff0088ba794: f10313aa  mov	x17, x19
0xfffffff0088ba798: 71f7e2f2  movk	x17, #0x17bb, lsl #48
0xfffffff0088ba79c: 301ac1da  autda	x16, x17
0xfffffff0088ba7a0: 088e40f8  ldr	x8, [x16, #8]!
0xfffffff0088ba7a4: e90310aa  mov	x9, x16
0xfffffff0088ba7a8: e00313aa  mov	x0, x19
0xfffffff0088ba7ac: f10309aa  mov	x17, x9
0xfffffff0088ba7b0: 719fe6f2  movk	x17, #0x34fb, lsl #48
0xfffffff0088ba7b4: 11093fd7  blraa	x8, x17
0xfffffff0088ba7b8: e00316aa  mov	x0, x22
0xfffffff0088ba7bc: fd7b48a9  ldp	x29, x30, [sp, #0x80]
0xfffffff0088ba7c0: f44f47a9  ldp	x20, x19, [sp, #0x70]
0xfffffff0088ba7c4: f65746a9  ldp	x22, x21, [sp, #0x60]
0xfffffff0088ba7c8: f85f45a9  ldp	x24, x23, [sp, #0x50]
0xfffffff0088ba7cc: ff430291  add	sp, sp, #0x90
0xfffffff0088ba7d0: ff0f5fd6  retab	
0xfffffff0088ba7d4: 76e6ff97  bl	#0xfffffff0088b41ac
0xfffffff0088ba7d8: f50300aa  mov	x21, x0
0xfffffff0088ba7dc: 80008052  mov	w0, #4
0xfffffff0088ba7e0: 1c04ff97  bl	#0xfffffff00887b850
0xfffffff0088ba7e4: e80316aa  mov	x8, x22
0xfffffff0088ba7e8: f42303a9  stp	x20, x8, [sp, #0x30]
0xfffffff0088ba7ec: 482a8052  mov	w8, #0x152
0xfffffff0088ba7f0: c94bfff0  adrp	x9, #0xfffffff007235000
0xfffffff0088ba7f4: 29bd0f91  add	x9, x9, #0x3ef
0xfffffff0088ba7f8: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0088ba7fc: e84bff90  adrp	x8, #0xfffffff007236000
0xfffffff0088ba800: 08493591  add	x8, x8, #0xd52
0xfffffff0088ba804: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088ba808: c8088052  mov	w8, #0x46
0xfffffff0088ba80c: f52300a9  stp	x21, x8, [sp]
0xfffffff0088ba810: 6049fff0  adrp	x0, #0xfffffff0071e9000
0xfffffff0088ba814: 00003a91  add	x0, x0, #0xe80
0xfffffff0088ba818: 618affd0  adrp	x1, #0xfffffff007a08000
0xfffffff0088ba81c: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088ba820: 434dfff0  adrp	x3, #0xfffffff007265000
0xfffffff0088ba824: 639c3991  add	x3, x3, #0xe67
0xfffffff0088ba828: 02008052  mov	w2, #0
0xfffffff0088ba82c: 41e2e997  bl	#0xfffffff008333130
0xfffffff0088ba830: 13fbffb5  cbnz	x19, #0xfffffff0088ba790
0xfffffff0088ba834: e1ffff17  b	#0xfffffff0088ba7b8
0xfffffff0088ba838: 5de6ff97  bl	#0xfffffff0088b41ac
0xfffffff0088ba83c: f60300aa  mov	x22, x0
0xfffffff0088ba840: e0008052  mov	w0, #7
0xfffffff0088ba844: 0304ff97  bl	#0xfffffff00887b850
0xfffffff0088ba848: a80640b9  ldr	w8, [x21, #4]
0xfffffff0088ba84c: f52303a9  stp	x21, x8, [sp, #0x30]
0xfffffff0088ba850: 08288052  mov	w8, #0x140
0xfffffff0088ba854: c94bfff0  adrp	x9, #0xfffffff007235000
0xfffffff0088ba858: 29bd0f91  add	x9, x9, #0x3ef
0xfffffff0088ba85c: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0088ba860: e84bff90  adrp	x8, #0xfffffff007236000
0xfffffff0088ba864: 08493591  add	x8, x8, #0xd52
0xfffffff0088ba868: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088ba86c: c8088052  mov	w8, #0x46
0xfffffff0088ba870: f62300a9  stp	x22, x8, [sp]
0xfffffff0088ba874: 6049fff0  adrp	x0, #0xfffffff0071e9000
0xfffffff0088ba878: 00003a91  add	x0, x0, #0xe80
0xfffffff0088ba87c: 618affd0  adrp	x1, #0xfffffff007a08000
0xfffffff0088ba880: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088ba884: 434dfff0  adrp	x3, #0xfffffff007265000
0xfffffff0088ba888: 63b43791  add	x3, x3, #0xded
0xfffffff0088ba88c: 02008052  mov	w2, #0
