; Candidate 9065
; ADRP+ADD at VM 0xfffffff0089cf148 (fileoff 0x19cb148): page=0x1fe8bb000 add_imm=0xde8

0xfffffff0089cf0c8: 802d0035  cbnz	w0, #0xfffffff0089cf678
0xfffffff0089cf0cc: 10000090  adrp	x16, #0xfffffff0089cf000
0xfffffff0089cf0d0: 10923d91  add	x16, x16, #0xf64
0xfffffff0089cf0d4: 117b8ed2  mov	x17, #0x73d8
0xfffffff0089cf0d8: 3002c1da  pacia	x16, x17
0xfffffff0089cf0dc: e10310aa  mov	x1, x16
0xfffffff0089cf0e0: e00313aa  mov	x0, x19
0xfffffff0089cf0e4: 22008052  mov	w2, #1
0xfffffff0089cf0e8: c3b73294  bl	#0xfffffff00967cff4
0xfffffff0089cf0ec: 606e00f9  str	x0, [x19, #0xd8]
0xfffffff0089cf0f0: e03000b4  cbz	x0, #0xfffffff0089cf70c
0xfffffff0089cf0f4: e10300aa  mov	x1, x0
0xfffffff0089cf0f8: 605a40f9  ldr	x0, [x19, #0xb0]
0xfffffff0089cf0fc: 100040f9  ldr	x16, [x0]
0xfffffff0089cf100: f10300aa  mov	x17, x0
0xfffffff0089cf104: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0089cf108: 301ac1da  autda	x16, x17
0xfffffff0089cf10c: 080e4af8  ldr	x8, [x16, #0xa0]!
0xfffffff0089cf110: e90310aa  mov	x9, x16
0xfffffff0089cf114: f10309aa  mov	x17, x9
0xfffffff0089cf118: 113de2f2  movk	x17, #0x11e8, lsl #48
0xfffffff0089cf11c: 11093fd7  blraa	x8, x17
0xfffffff0089cf120: e0330035  cbnz	w0, #0xfffffff0089cf79c
0xfffffff0089cf124: 20008052  mov	w0, #1
0xfffffff0089cf128: 010080d2  mov	x1, #0
0xfffffff0089cf12c: 020080d2  mov	x2, #0
0xfffffff0089cf130: ca46e597  bl	#0xfffffff008320c58
0xfffffff0089cf134: 607200f9  str	x0, [x19, #0xe0]
0xfffffff0089cf138: c03700b4  cbz	x0, #0xfffffff0089cf830
0xfffffff0089cf13c: 3f21e697  bl	#0xfffffff008357638
0xfffffff0089cf140: 607600f9  str	x0, [x19, #0xe8]
0xfffffff0089cf144: e03b00b4  cbz	x0, #0xfffffff0089cf8c0
0xfffffff0089cf148: c045fff0  adrp	x0, #0xfffffff00728a000
0xfffffff0089cf14c: 00a03791  add	x0, x0, #0xde8
0xfffffff0089cf150: 010080d2  mov	x1, #0
0xfffffff0089cf154: cfebe697  bl	#0xfffffff00838a090
0xfffffff0089cf158: c03f00b4  cbz	x0, #0xfffffff0089cf950
0xfffffff0089cf15c: f50300aa  mov	x21, x0
0xfffffff0089cf160: 4883fff0  adrp	x8, #0xfffffff007a3a000
0xfffffff0089cf164: 085543f9  ldr	x8, [x8, #0x6a8]
0xfffffff0089cf168: 000140f9  ldr	x0, [x8]
0xfffffff0089cf16c: 100000b0  adrp	x16, #0xfffffff0089d0000
0xfffffff0089cf170: 10220691  add	x16, x16, #0x188
0xfffffff0089cf174: d13b8cd2  mov	x17, #0x61de
0xfffffff0089cf178: 3002c1da  pacia	x16, x17
0xfffffff0089cf17c: e20310aa  mov	x2, x16
0xfffffff0089cf180: e10315aa  mov	x1, x21
0xfffffff0089cf184: e30313aa  mov	x3, x19
0xfffffff0089cf188: 040080d2  mov	x4, #0
0xfffffff0089cf18c: 05008052  mov	w5, #0
0xfffffff0089cf190: 71eae697  bl	#0xfffffff008389b54
0xfffffff0089cf194: 606600f9  str	x0, [x19, #0xc8]
0xfffffff0089cf198: b00240f9  ldr	x16, [x21]
0xfffffff0089cf19c: f10315aa  mov	x17, x21
0xfffffff0089cf1a0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0089cf1a4: 301ac1da  autda	x16, x17
0xfffffff0089cf1a8: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff0089cf1ac: e90310aa  mov	x9, x16
0xfffffff0089cf1b0: e00315aa  mov	x0, x21
0xfffffff0089cf1b4: f10309aa  mov	x17, x9
0xfffffff0089cf1b8: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff0089cf1bc: 11093fd7  blraa	x8, x17
0xfffffff0089cf1c0: 686640f9  ldr	x8, [x19, #0xc8]
0xfffffff0089cf1c4: e84000b4  cbz	x8, #0xfffffff0089cf9e0
