; Candidate 2763
; ADRP+ADD at VM 0xfffffff0086e7294 (fileoff 0x16e3294): page=0x1fea4a000 add_imm=0xd90

0xfffffff0086e7214: eb030caa  mov	x11, x12
0xfffffff0086e7218: 29050071  subs	w9, w9, #1
0xfffffff0086e721c: a1feff54  b.ne	#0xfffffff0086e71f0
0xfffffff0086e7220: e91f40f9  ldr	x9, [sp, #0x38]
0xfffffff0086e7224: 290140b9  ldr	w9, [x9]
0xfffffff0086e7228: 3f011a6a  tst	w9, w26
0xfffffff0086e722c: 80010054  b.eq	#0xfffffff0086e725c
0xfffffff0086e7230: f42300a9  stp	x20, x8, [sp]
0xfffffff0086e7234: 4052ffd0  adrp	x0, #0xfffffff007131000
0xfffffff0086e7238: 00403691  add	x0, x0, #0xd90
0xfffffff0086e723c: a198ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff0086e7240: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0086e7244: 6352ff90  adrp	x3, #0xfffffff007133000
0xfffffff0086e7248: 63ac3091  add	x3, x3, #0xc2b
0xfffffff0086e724c: 02008052  mov	w2, #0
0xfffffff0086e7250: b82ff197  bl	#0xfffffff008333130
0xfffffff0086e7254: f1c342a9  ldp	x17, x16, [sp, #0x28]
0xfffffff0086e7258: 080240b9  ldr	w8, [x16]
0xfffffff0086e725c: 957e1f53  lsr	w21, w20, #0x1f
0xfffffff0086e7260: 897a1f53  lsl	w9, w20, #1
0xfffffff0086e7264: 290200b9  str	w9, [x17]
0xfffffff0086e7268: 08050051  sub	w8, w8, #1
0xfffffff0086e726c: 080200b9  str	w8, [x16]
0xfffffff0086e7270: e91f40f9  ldr	x9, [sp, #0x38]
0xfffffff0086e7274: 290140b9  ldr	w9, [x9]
0xfffffff0086e7278: 3f011a6a  tst	w9, w26
0xfffffff0086e727c: e0010054  b.eq	#0xfffffff0086e72b8
0xfffffff0086e7280: f52301a9  stp	x21, x8, [sp, #0x10]
0xfffffff0086e7284: 4853ffb0  adrp	x8, #0xfffffff007150000
0xfffffff0086e7288: 08b51791  add	x8, x8, #0x5ed
0xfffffff0086e728c: 29008052  mov	w9, #1
0xfffffff0086e7290: e92300a9  stp	x9, x8, [sp]
0xfffffff0086e7294: 4052ffd0  adrp	x0, #0xfffffff007131000
0xfffffff0086e7298: 00403691  add	x0, x0, #0xd90
0xfffffff0086e729c: a198ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff0086e72a0: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0086e72a4: 6352ff90  adrp	x3, #0xfffffff007133000
0xfffffff0086e72a8: 63d82d91  add	x3, x3, #0xb76
0xfffffff0086e72ac: 02008052  mov	w2, #0
0xfffffff0086e72b0: a02ff197  bl	#0xfffffff008333130
0xfffffff0086e72b4: f1c342a9  ldp	x17, x16, [sp, #0x28]
0xfffffff0086e72b8: a8060011  add	w8, w21, #1
0xfffffff0086e72bc: 090340f9  ldr	x9, [x24]
0xfffffff0086e72c0: 284500b9  str	w8, [x9, #0x44]
0xfffffff0086e72c4: 0a0240b9  ldr	w10, [x16]
0xfffffff0086e72c8: 290240b9  ldr	w9, [x17]
0xfffffff0086e72cc: 5f3d0071  cmp	w10, #0xf
0xfffffff0086e72d0: e8040054  b.hi	#0xfffffff0086e736c
0xfffffff0086e72d4: 08008052  mov	w8, #0
0xfffffff0086e72d8: 14008052  mov	w20, #0
0xfffffff0086e72dc: 7f2e00b9  str	wzr, [x19, #0x2c]
0xfffffff0086e72e0: 8b008052  mov	w11, #4
0xfffffff0086e72e4: 6d3241a9  ldp	x13, x12, [x19, #0x10]
0xfffffff0086e72e8: 945e1853  lsl	w20, w20, #8
0xfffffff0086e72ec: bf010ceb  cmp	x13, x12
0xfffffff0086e72f0: 02010054  b.hs	#0xfffffff0086e7310
0xfffffff0086e72f4: 08210011  add	w8, w8, #8
0xfffffff0086e72f8: 682e00b9  str	w8, [x19, #0x2c]
0xfffffff0086e72fc: ae050091  add	x14, x13, #1
0xfffffff0086e7300: 6e0a00f9  str	x14, [x19, #0x10]
0xfffffff0086e7304: ad014039  ldrb	w13, [x13]
0xfffffff0086e7308: 94020d2a  orr	w20, w20, w13
0xfffffff0086e730c: ed030eaa  mov	x13, x14
0xfffffff0086e7310: 6b050071  subs	w11, w11, #1
