; Candidate 5575
; ADRP+ADD at VM 0xfffffff0087f9694 (fileoff 0x17f5694): page=0x1fea1a000 add_imm=0xd2e

0xfffffff0087f9614: f65748a9  ldp	x22, x21, [sp, #0x80]
0xfffffff0087f9618: f85f47a9  ldp	x24, x23, [sp, #0x70]
0xfffffff0087f961c: fa6746a9  ldp	x26, x25, [sp, #0x60]
0xfffffff0087f9620: ffc30291  add	sp, sp, #0xb0
0xfffffff0087f9624: ff0f5fd6  retab	
0xfffffff0087f9628: 7f2303d5  pacibsp	
0xfffffff0087f962c: ff4302d1  sub	sp, sp, #0x90
0xfffffff0087f9630: f85f05a9  stp	x24, x23, [sp, #0x50]
0xfffffff0087f9634: f65706a9  stp	x22, x21, [sp, #0x60]
0xfffffff0087f9638: f44f07a9  stp	x20, x19, [sp, #0x70]
0xfffffff0087f963c: fd7b08a9  stp	x29, x30, [sp, #0x80]
0xfffffff0087f9640: fd030291  add	x29, sp, #0x80
0xfffffff0087f9644: f40301aa  mov	x20, x1
0xfffffff0087f9648: f30300aa  mov	x19, x0
0xfffffff0087f964c: 000f8052  mov	w0, #0x78
0xfffffff0087f9650: e1008052  mov	w1, #7
0xfffffff0087f9654: 5f080294  bl	#0xfffffff00887b7d0
0xfffffff0087f9658: a0040034  cbz	w0, #0xfffffff0087f96ec
0xfffffff0087f965c: 000f8052  mov	w0, #0x78
0xfffffff0087f9660: 6e080294  bl	#0xfffffff00887b818
0xfffffff0087f9664: f60300aa  mov	x22, x0
0xfffffff0087f9668: d1ea0294  bl	#0xfffffff0088b41ac
0xfffffff0087f966c: f50300aa  mov	x21, x0
0xfffffff0087f9670: e0008052  mov	w0, #7
0xfffffff0087f9674: 77080294  bl	#0xfffffff00887b850
0xfffffff0087f9678: 76010034  cbz	w22, #0xfffffff0087f96a4
0xfffffff0087f967c: f35302a9  stp	x19, x20, [sp, #0x20]
0xfffffff0087f9680: e850ffb0  adrp	x8, #0xfffffff007216000
0xfffffff0087f9684: 08c13f91  add	x8, x8, #0xff0
0xfffffff0087f9688: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087f968c: 080f8052  mov	w8, #0x78
0xfffffff0087f9690: f52300a9  stp	x21, x8, [sp]
0xfffffff0087f9694: c050ffd0  adrp	x0, #0xfffffff007213000
0xfffffff0087f9698: 00b83491  add	x0, x0, #0xd2e
0xfffffff0087f969c: 71f7d697  bl	#0xfffffff007db7460
0xfffffff0087f96a0: 13000014  b	#0xfffffff0087f96ec
0xfffffff0087f96a4: c2ea0294  bl	#0xfffffff0088b41ac
0xfffffff0087f96a8: f50300aa  mov	x21, x0
0xfffffff0087f96ac: e0008052  mov	w0, #7
0xfffffff0087f96b0: 68080294  bl	#0xfffffff00887b850
0xfffffff0087f96b4: f35302a9  stp	x19, x20, [sp, #0x20]
0xfffffff0087f96b8: e850ffb0  adrp	x8, #0xfffffff007216000
0xfffffff0087f96bc: 08c13f91  add	x8, x8, #0xff0
0xfffffff0087f96c0: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087f96c4: 080f8052  mov	w8, #0x78
0xfffffff0087f96c8: f52300a9  stp	x21, x8, [sp]
0xfffffff0087f96cc: 804fff90  adrp	x0, #0xfffffff0071e9000
0xfffffff0087f96d0: 00003a91  add	x0, x0, #0xe80
0xfffffff0087f96d4: 6190fff0  adrp	x1, #0xfffffff007a08000
0xfffffff0087f96d8: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087f96dc: 4352ff90  adrp	x3, #0xfffffff007241000
0xfffffff0087f96e0: 630c2491  add	x3, x3, #0x903
0xfffffff0087f96e4: 02008052  mov	w2, #0
0xfffffff0087f96e8: 92e6ec97  bl	#0xfffffff008333130
0xfffffff0087f96ec: 750a40f9  ldr	x21, [x19, #0x10]
0xfffffff0087f96f0: 984a40f9  ldr	x24, [x20, #0x90]
0xfffffff0087f96f4: a02640f9  ldr	x0, [x21, #0x48]
0xfffffff0087f96f8: 611a40b9  ldr	w1, [x19, #0x18]
0xfffffff0087f96fc: 831240b9  ldr	w3, [x20, #0x10]
0xfffffff0087f9700: 849641a9  ldp	x4, x5, [x20, #0x18]
0xfffffff0087f9704: 865a40b9  ldr	w6, [x20, #0x58]
0xfffffff0087f9708: b80000b4  cbz	x24, #0xfffffff0087f971c
0xfffffff0087f970c: 08c740b9  ldr	w8, [x24, #0xc4]
0xfffffff0087f9710: 89668b52  mov	w9, #0x5b34
