; Candidate 1395
; ADRP+ADD at VM 0xfffffff008392164 (fileoff 0x138e164): page=0x1e86000 add_imm=0xd78

0xfffffff0083920e4: e1010054  b.ne	#0xfffffff008392120
0xfffffff0083920e8: 35020034  cbz	w21, #0xfffffff00839212c
0xfffffff0083920ec: e00313aa  mov	x0, x19
0xfffffff0083920f0: fd7b42a9  ldp	x29, x30, [sp, #0x20]
0xfffffff0083920f4: f44f41a9  ldp	x20, x19, [sp, #0x10]
0xfffffff0083920f8: f657c3a8  ldp	x22, x21, [sp], #0x30
0xfffffff0083920fc: ff2303d5  autibsp	
0xfffffff008392100: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff008392104: 5000f0b6  tbz	x16, #0x3e, #0xfffffff00839210c
0xfffffff008392108: 208e38d4  brk	#0xc471
0xfffffff00839210c: db000014  b	#0xfffffff008392478
0xfffffff008392110: e10314aa  mov	x1, x20
0xfffffff008392114: 02008052  mov	w2, #0
0xfffffff008392118: 7866e897  bl	#0xfffffff007dabaf8
0xfffffff00839211c: a6ffff17  b	#0xfffffff008391fb4
0xfffffff008392120: e10314aa  mov	x1, x20
0xfffffff008392124: 9069e897  bl	#0xfffffff007dac764
0xfffffff008392128: 35feff35  cbnz	w21, #0xfffffff0083920ec
0xfffffff00839212c: fd7b42a9  ldp	x29, x30, [sp, #0x20]
0xfffffff008392130: f44f41a9  ldp	x20, x19, [sp, #0x10]
0xfffffff008392134: f657c3a8  ldp	x22, x21, [sp], #0x30
0xfffffff008392138: ff0f5fd6  retab	
0xfffffff00839213c: 7f2303d5  pacibsp	
0xfffffff008392140: ff4301d1  sub	sp, sp, #0x50
0xfffffff008392144: f85f01a9  stp	x24, x23, [sp, #0x10]
0xfffffff008392148: f65702a9  stp	x22, x21, [sp, #0x20]
0xfffffff00839214c: f44f03a9  stp	x20, x19, [sp, #0x30]
0xfffffff008392150: fd7b04a9  stp	x29, x30, [sp, #0x40]
0xfffffff008392154: fd030191  add	x29, sp, #0x40
0xfffffff008392158: f40302aa  mov	x20, x2
0xfffffff00839215c: f60301aa  mov	x22, x1
0xfffffff008392160: f50300aa  mov	x21, x0
0xfffffff008392164: 20f400d0  adrp	x0, #0xfffffff00a218000
0xfffffff008392168: 00e03591  add	x0, x0, #0xd78
0xfffffff00839216c: 100040f9  ldr	x16, [x0]
0xfffffff008392170: f10300aa  mov	x17, x0
0xfffffff008392174: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008392178: 301ac1da  autda	x16, x17
0xfffffff00839217c: 088e46f8  ldr	x8, [x16, #0x68]!
0xfffffff008392180: e90310aa  mov	x9, x16
0xfffffff008392184: f10309aa  mov	x17, x9
0xfffffff008392188: 31c0e2f2  movk	x17, #0x1601, lsl #48
0xfffffff00839218c: 11093fd7  blraa	x8, x17
0xfffffff008392190: f30300aa  mov	x19, x0
0xfffffff008392194: 600300b4  cbz	x0, #0xfffffff008392200
0xfffffff008392198: b8f500d0  adrp	x24, #0xfffffff00a248000
0xfffffff00839219c: 08ab40f9  ldr	x8, [x24, #0x150]
0xfffffff0083921a0: 1f0100f1  cmp	x8, #0
0xfffffff0083921a4: b7f500d0  adrp	x23, #0xfffffff00a248000
0xfffffff0083921a8: e92240f9  ldr	x9, [x23, #0x40]
0xfffffff0083921ac: 241940fa  ccmp	x9, #0, #4, ne
0xfffffff0083921b0: e9079f1a  cset	w9, ne
0xfffffff0083921b4: 69320139  strb	w9, [x19, #0x4c]
0xfffffff0083921b8: 69420091  add	x9, x19, #0x10
0xfffffff0083921bc: 692601a9  stp	x9, x9, [x19, #0x10]
0xfffffff0083921c0: 764a00b9  str	w22, [x19, #0x48]
0xfffffff0083921c4: 751200f9  str	x21, [x19, #0x20]
0xfffffff0083921c8: b50500b4  cbz	x21, #0xfffffff00839227c
0xfffffff0083921cc: b00240f9  ldr	x16, [x21]
0xfffffff0083921d0: f10315aa  mov	x17, x21
0xfffffff0083921d4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0083921d8: 301ac1da  autda	x16, x17
0xfffffff0083921dc: 080e42f8  ldr	x8, [x16, #0x20]!
0xfffffff0083921e0: e90310aa  mov	x9, x16
