; Candidate 256
; ADRP+ADD at VM 0xfffffff007e77a48 (fileoff 0xe73a48): page=0x1ff1d7000 add_imm=0xdc1

0xfffffff007e779c8: a28359b8  ldur	w2, [x29, #-0x68]
0xfffffff007e779cc: 97d038d5  mrs	x23, tpidr_el1
0xfffffff007e779d0: a3035af8  ldur	x3, [x29, #-0x60]
0xfffffff007e779d4: e00317aa  mov	x0, x23
0xfffffff007e779d8: a1c6fc97  bl	#0xfffffff007da945c
0xfffffff007e779dc: a8c358b8  ldur	w8, [x29, #-0x74]
0xfffffff007e779e0: e8000034  cbz	w8, #0xfffffff007e779fc
0xfffffff007e779e4: c18641f9  ldr	x1, [x22, #0x308]
0xfffffff007e779e8: 48d4ffb0  adrp	x8, #0xfffffff007900000
0xfffffff007e779ec: 02a148b9  ldr	w2, [x8, #0x8a0]
0xfffffff007e779f0: a3035af8  ldur	x3, [x29, #-0x60]
0xfffffff007e779f4: e00317aa  mov	x0, x23
0xfffffff007e779f8: 99c6fc97  bl	#0xfffffff007da945c
0xfffffff007e779fc: 99000034  cbz	w25, #0xfffffff007e77a0c
0xfffffff007e77a00: 1c008052  mov	w28, #0
0xfffffff007e77a04: 35008052  mov	w21, #1
0xfffffff007e77a08: 9efdff17  b	#0xfffffff007e77080
0xfffffff007e77a0c: f9634aa9  ldp	x25, x24, [sp, #0xa0]
0xfffffff007e77a10: fb0315aa  mov	x27, x21
0xfffffff007e77a14: 01feff17  b	#0xfffffff007e77218
0xfffffff007e77a18: c8aa8452  mov	w8, #0x2556
0xfffffff007e77a1c: a98efff0  adrp	x9, #0xfffffff00704e000
0xfffffff007e77a20: 29a91891  add	x9, x9, #0x62a
0xfffffff007e77a24: e9a300a9  stp	x9, x8, [sp, #8]
0xfffffff007e77a28: f30300f9  str	x19, [sp]
0xfffffff007e77a2c: c08effb0  adrp	x0, #0xfffffff007050000
0xfffffff007e77a30: 00ac3291  add	x0, x0, #0xcab
0xfffffff007e77a34: b6721894  bl	#0xfffffff00849450c
0xfffffff007e77a38: a88efff0  adrp	x8, #0xfffffff00704e000
0xfffffff007e77a3c: 08a91891  add	x8, x8, #0x62a
0xfffffff007e77a40: 49d78452  mov	w9, #0x26ba
0xfffffff007e77a44: e82700a9  stp	x8, x9, [sp]
0xfffffff007e77a48: a08efff0  adrp	x0, #0xfffffff00704e000
0xfffffff007e77a4c: 00043791  add	x0, x0, #0xdc1
0xfffffff007e77a50: af721894  bl	#0xfffffff00849450c
0xfffffff007e77a54: 9f2403d5  bti	j
0xfffffff007e77a58: 28b78452  mov	w8, #0x25b9
0xfffffff007e77a5c: a98efff0  adrp	x9, #0xfffffff00704e000
0xfffffff007e77a60: 29a91891  add	x9, x9, #0x62a
0xfffffff007e77a64: e9a300a9  stp	x9, x8, [sp, #8]
0xfffffff007e77a68: e00300f9  str	x0, [sp]
0xfffffff007e77a6c: a08efff0  adrp	x0, #0xfffffff00704e000
0xfffffff007e77a70: 00d83591  add	x0, x0, #0xd76
0xfffffff007e77a74: a6721894  bl	#0xfffffff00849450c
0xfffffff007e77a78: 001c01b0  adrp	x0, #0xfffffff00a1f8000
0xfffffff007e77a7c: 00001591  add	x0, x0, #0x540
0xfffffff007e77a80: e10315aa  mov	x1, x21
0xfffffff007e77a84: 02008052  mov	w2, #0
0xfffffff007e77a88: 1cd0fc97  bl	#0xfffffff007dabaf8
0xfffffff007e77a8c: bafeff17  b	#0xfffffff007e77574
0xfffffff007e77a90: 001c01b0  adrp	x0, #0xfffffff00a1f8000
0xfffffff007e77a94: 00001591  add	x0, x0, #0x540
0xfffffff007e77a98: 33d3fc97  bl	#0xfffffff007dac764
0xfffffff007e77a9c: 45ffff17  b	#0xfffffff007e777b0
0xfffffff007e77aa0: a88efff0  adrp	x8, #0xfffffff00704e000
0xfffffff007e77aa4: 08a91891  add	x8, x8, #0x62a
0xfffffff007e77aa8: 89a78452  mov	w9, #0x253c
0xfffffff007e77aac: e82700a9  stp	x8, x9, [sp]
0xfffffff007e77ab0: a08efff0  adrp	x0, #0xfffffff00704e000
0xfffffff007e77ab4: 00c03391  add	x0, x0, #0xcf0
0xfffffff007e77ab8: 95721894  bl	#0xfffffff00849450c
0xfffffff007e77abc: a88efff0  adrp	x8, #0xfffffff00704e000
0xfffffff007e77ac0: 08a91891  add	x8, x8, #0x62a
0xfffffff007e77ac4: e9a78452  mov	w9, #0x253f
