; Candidate 16592
; ADRP+ADD at VM 0xfffffff009efbab0 (fileoff 0x2ef7ab0): page=0x1fd956000 add_imm=0xecc

0xfffffff009efba30: 010080d2  mov	x1, #0
0xfffffff009efba34: 16008052  mov	w22, #0
0xfffffff009efba38: 1a0080d2  mov	x26, #0
0xfffffff009efba3c: ffff06a9  stp	xzr, xzr, [sp, #0x68]
0xfffffff009efba40: b80b40f9  ldr	x24, [x29, #0x10]
0xfffffff009efba44: 781200b4  cbz	x24, #0xfffffff009efbc90
0xfffffff009efba48: d7030034  cbz	w23, #0xfffffff009efbac0
0xfffffff009efba4c: e00313aa  mov	x0, x19
0xfffffff009efba50: f70301aa  mov	x23, x1
0xfffffff009efba54: e1031aaa  mov	x1, x26
0xfffffff009efba58: e20318aa  mov	x2, x24
0xfffffff009efba5c: c4e1ff97  bl	#0xfffffff009ef416c
0xfffffff009efba60: e10317aa  mov	x1, x23
0xfffffff009efba64: 1f781e72  tst	w0, #0xfffffffd
0xfffffff009efba68: c0020054  b.eq	#0xfffffff009efbac0
0xfffffff009efba6c: 083e8452  mov	w8, #0x21f0
0xfffffff009efba70: 6802088b  add	x8, x19, x8
0xfffffff009efba74: 490740f9  ldr	x9, [x26, #8]
0xfffffff009efba78: 1fa80171  cmp	w0, #0x6a
0xfffffff009efba7c: a8000054  b.hi	#0xfffffff009efba90
0xfffffff009efba80: caf1feb0  adrp	x10, #0xfffffff007d34000
0xfffffff009efba84: 4a011191  add	x10, x10, #0x440
0xfffffff009efba88: 4a5960f8  ldr	x10, [x10, w0, uxtw #3]
0xfffffff009efba8c: 03000014  b	#0xfffffff009efba98
0xfffffff009efba90: 6acafef0  adrp	x10, #0xfffffff00784a000
0xfffffff009efba94: 4a9d0691  add	x10, x10, #0x1a7
0xfffffff009efba98: ea0302a9  stp	x10, x0, [sp, #0x20]
0xfffffff009efba9c: e82701a9  stp	x8, x9, [sp, #0x10]
0xfffffff009efbaa0: a8cafed0  adrp	x8, #0xfffffff007851000
0xfffffff009efbaa4: 084d3391  add	x8, x8, #0xcd3
0xfffffff009efbaa8: 69168852  mov	w9, #0x40b3
0xfffffff009efbaac: e82700a9  stp	x8, x9, [sp]
0xfffffff009efbab0: a0cafed0  adrp	x0, #0xfffffff007851000
0xfffffff009efbab4: 00303b91  add	x0, x0, #0xecc
0xfffffff009efbab8: 830ffe97  bl	#0xfffffff009e7f8c4
0xfffffff009efbabc: e10317aa  mov	x1, x23
0xfffffff009efbac0: 95000034  cbz	w21, #0xfffffff009efbad0
0xfffffff009efbac4: e00313aa  mov	x0, x19
0xfffffff009efbac8: e20318aa  mov	x2, x24
0xfffffff009efbacc: a9ccff97  bl	#0xfffffff009eeed70
0xfffffff009efbad0: f54740f9  ldr	x21, [sp, #0x88]
0xfffffff009efbad4: b4010034  cbz	w20, #0xfffffff009efbb08
0xfffffff009efbad8: e00313aa  mov	x0, x19
0xfffffff009efbadc: e10315aa  mov	x1, x21
0xfffffff009efbae0: 66e4ff97  bl	#0xfffffff009ef4c78
0xfffffff009efbae4: e20300aa  mov	x2, x0
0xfffffff009efbae8: e00313aa  mov	x0, x19
0xfffffff009efbaec: e1031aaa  mov	x1, x26
0xfffffff009efbaf0: e30318aa  mov	x3, x24
0xfffffff009efbaf4: 7f6efd97  bl	#0xfffffff009e574f0
0xfffffff009efbaf8: b6000035  cbnz	w22, #0xfffffff009efbb0c
0xfffffff009efbafc: 59010036  tbz	w25, #0, #0xfffffff009efbb24
0xfffffff009efbb00: 1c090035  cbnz	w28, #0xfffffff009efbc20
0xfffffff009efbb04: 63000014  b	#0xfffffff009efbc90
0xfffffff009efbb08: b6ffff34  cbz	w22, #0xfffffff009efbafc
0xfffffff009efbb0c: a12240f9  ldr	x1, [x21, #0x40]
0xfffffff009efbb10: e00313aa  mov	x0, x19
0xfffffff009efbb14: e20318aa  mov	x2, x24
0xfffffff009efbb18: 030080d2  mov	x3, #0
0xfffffff009efbb1c: f1ecff97  bl	#0xfffffff009ef6ee0
0xfffffff009efbb20: 19ff0737  tbnz	w25, #0, #0xfffffff009efbb00
0xfffffff009efbb24: a2035af8  ldur	x2, [x29, #-0x60]
0xfffffff009efbb28: 68008052  mov	w8, #3
0xfffffff009efbb2c: 48040039  strb	w8, [x2, #1]
