; Candidate 9086
; ADRP+ADD at VM 0xfffffff0089f3f60 (fileoff 0x19eff60): page=0x18ea000 add_imm=0xe18

0xfffffff0089f3ee0: e00313aa  mov	x0, x19
0xfffffff0089f3ee4: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff0089f3ee8: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff0089f3eec: ff0f5fd6  retab	
0xfffffff0089f3ef0: 5f2403d5  bti	c
0xfffffff0089f3ef4: 41000014  b	#0xfffffff0089f3ff8
0xfffffff0089f3ef8: 7f2303d5  pacibsp	
0xfffffff0089f3efc: ff0301d1  sub	sp, sp, #0x40
0xfffffff0089f3f00: f44f02a9  stp	x20, x19, [sp, #0x20]
0xfffffff0089f3f04: fd7b03a9  stp	x29, x30, [sp, #0x30]
0xfffffff0089f3f08: fdc30091  add	x29, sp, #0x30
0xfffffff0089f3f0c: f30300aa  mov	x19, x0
0xfffffff0089f3f10: 000080d2  mov	x0, #0
0xfffffff0089f3f14: ad16d597  bl	#0xfffffff007f399c8
0xfffffff0089f3f18: 000080d2  mov	x0, #0
0xfffffff0089f3f1c: ab16d597  bl	#0xfffffff007f399c8
0xfffffff0089f3f20: 09108052  mov	w9, #0x80
0xfffffff0089f3f24: 0845ffd0  adrp	x8, #0xfffffff007295000
0xfffffff0089f3f28: 08650991  add	x8, x8, #0x259
0xfffffff0089f3f2c: e8a700a9  stp	x8, x9, [sp, #8]
0xfffffff0089f3f30: e00300f9  str	x0, [sp]
0xfffffff0089f3f34: 0045ffb0  adrp	x0, #0xfffffff007294000
0xfffffff0089f3f38: 00400c91  add	x0, x0, #0x310
0xfffffff0089f3f3c: a182ff90  adrp	x1, #0xfffffff007a47000
0xfffffff0089f3f40: 214047f9  ldr	x1, [x1, #0xe80]
0xfffffff0089f3f44: 0345fff0  adrp	x3, #0xfffffff007296000
0xfffffff0089f3f48: 63283a91  add	x3, x3, #0xe8a
0xfffffff0089f3f4c: 02008052  mov	w2, #0
0xfffffff0089f3f50: 78fce497  bl	#0xfffffff008333130
0xfffffff0089f3f54: 40c700d0  adrp	x0, #0xfffffff00a2dd000
0xfffffff0089f3f58: 00203791  add	x0, x0, #0xdc8
0xfffffff0089f3f5c: 809ddf97  bl	#0xfffffff0081db55c
0xfffffff0089f3f60: 40c700d0  adrp	x0, #0xfffffff00a2dd000
0xfffffff0089f3f64: 00603891  add	x0, x0, #0xe18
0xfffffff0089f3f68: 7d9ddf97  bl	#0xfffffff0081db55c
0xfffffff0089f3f6c: 40c700d0  adrp	x0, #0xfffffff00a2dd000
0xfffffff0089f3f70: 00a03991  add	x0, x0, #0xe68
0xfffffff0089f3f74: 7a9ddf97  bl	#0xfffffff0081db55c
0xfffffff0089f3f78: 40c700d0  adrp	x0, #0xfffffff00a2dd000
0xfffffff0089f3f7c: 00e03a91  add	x0, x0, #0xeb8
0xfffffff0089f3f80: 779ddf97  bl	#0xfffffff0081db55c
0xfffffff0089f3f84: 40c700d0  adrp	x0, #0xfffffff00a2dd000
0xfffffff0089f3f88: 00203c91  add	x0, x0, #0xf08
0xfffffff0089f3f8c: 749ddf97  bl	#0xfffffff0081db55c
0xfffffff0089f3f90: 40c700d0  adrp	x0, #0xfffffff00a2dd000
0xfffffff0089f3f94: 00603d91  add	x0, x0, #0xf58
0xfffffff0089f3f98: 719ddf97  bl	#0xfffffff0081db55c
0xfffffff0089f3f9c: 40c700d0  adrp	x0, #0xfffffff00a2dd000
0xfffffff0089f3fa0: 00a03e91  add	x0, x0, #0xfa8
0xfffffff0089f3fa4: 6e9ddf97  bl	#0xfffffff0081db55c
0xfffffff0089f3fa8: 40c700d0  adrp	x0, #0xfffffff00a2dd000
0xfffffff0089f3fac: 00e03f91  add	x0, x0, #0xff8
0xfffffff0089f3fb0: 6b9ddf97  bl	#0xfffffff0081db55c
0xfffffff0089f3fb4: 40c700f0  adrp	x0, #0xfffffff00a2de000
0xfffffff0089f3fb8: 00400191  add	x0, x0, #0x50
0xfffffff0089f3fbc: 689ddf97  bl	#0xfffffff0081db55c
0xfffffff0089f3fc0: 40c700f0  adrp	x0, #0xfffffff00a2de000
0xfffffff0089f3fc4: 00a00291  add	x0, x0, #0xa8
0xfffffff0089f3fc8: 659ddf97  bl	#0xfffffff0081db55c
0xfffffff0089f3fcc: 40c700f0  adrp	x0, #0xfffffff00a2de000
0xfffffff0089f3fd0: 00e00391  add	x0, x0, #0xf8
0xfffffff0089f3fd4: 629ddf97  bl	#0xfffffff0081db55c
0xfffffff0089f3fd8: 40c700f0  adrp	x0, #0xfffffff00a2de000
0xfffffff0089f3fdc: 00200591  add	x0, x0, #0x148
