; Candidate 6913
; ADRP+ADD at VM 0xfffffff00884991c (fileoff 0x184591c): page=0x1fe9a0000 add_imm=0xe80

0xfffffff00884989c: 40020034  cbz	w0, #0xfffffff0088498e4
0xfffffff0088498a0: 20098052  mov	w0, #0x49
0xfffffff0088498a4: ddc70094  bl	#0xfffffff00887b818
0xfffffff0088498a8: f50300aa  mov	x21, x0
0xfffffff0088498ac: 40aa0194  bl	#0xfffffff0088b41ac
0xfffffff0088498b0: f40300aa  mov	x20, x0
0xfffffff0088498b4: c0008052  mov	w0, #6
0xfffffff0088498b8: e6c70094  bl	#0xfffffff00887b850
0xfffffff0088498bc: d5010034  cbz	w21, #0xfffffff0088498f4
0xfffffff0088498c0: e84eff90  adrp	x8, #0xfffffff007225000
0xfffffff0088498c4: 08751a91  add	x8, x8, #0x69d
0xfffffff0088498c8: e8cf01a9  stp	x8, x19, [sp, #0x18]
0xfffffff0088498cc: 28098052  mov	w8, #0x49
0xfffffff0088498d0: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0088498d4: f40300f9  str	x20, [sp]
0xfffffff0088498d8: 404effd0  adrp	x0, #0xfffffff007213000
0xfffffff0088498dc: 003c3891  add	x0, x0, #0xe0f
0xfffffff0088498e0: e0b6d597  bl	#0xfffffff007db7460
0xfffffff0088498e4: f30200b4  cbz	x19, #0xfffffff008849940
0xfffffff0088498e8: 14008052  mov	w20, #0
0xfffffff0088498ec: 7f2200b9  str	wzr, [x19, #0x20]
0xfffffff0088498f0: 45000014  b	#0xfffffff008849a04
0xfffffff0088498f4: 2eaa0194  bl	#0xfffffff0088b41ac
0xfffffff0088498f8: f40300aa  mov	x20, x0
0xfffffff0088498fc: c0008052  mov	w0, #6
0xfffffff008849900: d4c70094  bl	#0xfffffff00887b850
0xfffffff008849904: e84eff90  adrp	x8, #0xfffffff007225000
0xfffffff008849908: 08751a91  add	x8, x8, #0x69d
0xfffffff00884990c: e8cf01a9  stp	x8, x19, [sp, #0x18]
0xfffffff008849910: 28098052  mov	w8, #0x49
0xfffffff008849914: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff008849918: f40300f9  str	x20, [sp]
0xfffffff00884991c: 004dff90  adrp	x0, #0xfffffff0071e9000
0xfffffff008849920: 00003a91  add	x0, x0, #0xe80
0xfffffff008849924: e18dfff0  adrp	x1, #0xfffffff007a08000
0xfffffff008849928: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00884992c: 4350ff90  adrp	x3, #0xfffffff007251000
0xfffffff008849930: 63401391  add	x3, x3, #0x4d0
0xfffffff008849934: 02008052  mov	w2, #0
0xfffffff008849938: fea5eb97  bl	#0xfffffff008333130
0xfffffff00884993c: 73fdffb5  cbnz	x19, #0xfffffff0088498e8
0xfffffff008849940: 20098052  mov	w0, #0x49
0xfffffff008849944: 81008052  mov	w1, #4
0xfffffff008849948: a2c70094  bl	#0xfffffff00887b7d0
0xfffffff00884994c: a0050034  cbz	w0, #0xfffffff008849a00
0xfffffff008849950: 20098052  mov	w0, #0x49
0xfffffff008849954: b1c70094  bl	#0xfffffff00887b818
0xfffffff008849958: f50300aa  mov	x21, x0
0xfffffff00884995c: 14aa0194  bl	#0xfffffff0088b41ac
0xfffffff008849960: f40300aa  mov	x20, x0
0xfffffff008849964: 80008052  mov	w0, #4
0xfffffff008849968: bac70094  bl	#0xfffffff00887b850
0xfffffff00884996c: f5010034  cbz	w21, #0xfffffff0088499a8
0xfffffff008849970: e84eff90  adrp	x8, #0xfffffff007225000
0xfffffff008849974: 08f11791  add	x8, x8, #0x5fc
0xfffffff008849978: 29148052  mov	w9, #0xa1
0xfffffff00884997c: e8ff02a9  stp	x8, xzr, [sp, #0x28]
0xfffffff008849980: e84eff90  adrp	x8, #0xfffffff007225000
0xfffffff008849984: 08751a91  add	x8, x8, #0x69d
0xfffffff008849988: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff00884998c: e00b00f9  str	x0, [sp, #0x10]
0xfffffff008849990: 28098052  mov	w8, #0x49
0xfffffff008849994: 604eff90  adrp	x0, #0xfffffff007215000
0xfffffff008849998: 00a81491  add	x0, x0, #0x52a
