; Candidate 10697
; ADRP+ADD at VM 0xfffffff008de3814 (fileoff 0x1ddf814): page=0x1fe5e1000 add_imm=0xe15

0xfffffff008de3794: 290140f9  ldr	x9, [x9]
0xfffffff008de3798: 3f0108eb  cmp	x9, x8
0xfffffff008de379c: 610e0054  b.ne	#0xfffffff008de3968
0xfffffff008de37a0: e00316aa  mov	x0, x22
0xfffffff008de37a4: ff074091  add	sp, sp, #1, lsl #12
0xfffffff008de37a8: ffc30591  add	sp, sp, #0x170
0xfffffff008de37ac: fd7b45a9  ldp	x29, x30, [sp, #0x50]
0xfffffff008de37b0: f44f44a9  ldp	x20, x19, [sp, #0x40]
0xfffffff008de37b4: f65743a9  ldp	x22, x21, [sp, #0x30]
0xfffffff008de37b8: f85f42a9  ldp	x24, x23, [sp, #0x20]
0xfffffff008de37bc: fa6741a9  ldp	x26, x25, [sp, #0x10]
0xfffffff008de37c0: fc6fc6a8  ldp	x28, x27, [sp], #0x60
0xfffffff008de37c4: ff0f5fd6  retab	
0xfffffff008de37c8: 48b48052  mov	w8, #0x5a2
0xfffffff008de37cc: e92effd0  adrp	x9, #0xfffffff0073c1000
0xfffffff008de37d0: 29490d91  add	x9, x9, #0x352
0xfffffff008de37d4: e81300f9  str	x8, [sp, #0x20]
0xfffffff008de37d8: 082fffb0  adrp	x8, #0xfffffff0073c4000
0xfffffff008de37dc: 08493991  add	x8, x8, #0xe52
0xfffffff008de37e0: ea2effd0  adrp	x10, #0xfffffff0073c1000
0xfffffff008de37e4: 4ab51491  add	x10, x10, #0x52d
0xfffffff008de37e8: 09000014  b	#0xfffffff008de380c
0xfffffff008de37ec: 68b48052  mov	w8, #0x5a3
0xfffffff008de37f0: e92effd0  adrp	x9, #0xfffffff0073c1000
0xfffffff008de37f4: 29490d91  add	x9, x9, #0x352
0xfffffff008de37f8: e81300f9  str	x8, [sp, #0x20]
0xfffffff008de37fc: 082fffb0  adrp	x8, #0xfffffff0073c4000
0xfffffff008de3800: 08493991  add	x8, x8, #0xe52
0xfffffff008de3804: ea2efff0  adrp	x10, #0xfffffff0073c2000
0xfffffff008de3808: 4a590991  add	x10, x10, #0x256
0xfffffff008de380c: e82701a9  stp	x8, x9, [sp, #0x10]
0xfffffff008de3810: ea7f00a9  stp	x10, xzr, [sp]
0xfffffff008de3814: 002fffb0  adrp	x0, #0xfffffff0073c4000
0xfffffff008de3818: 00543891  add	x0, x0, #0xe15
0xfffffff008de381c: 01ced597  bl	#0xfffffff008357020
0xfffffff008de3820: c8088052  mov	w8, #0x46
0xfffffff008de3824: 56008012  mov	w22, #-3
0xfffffff008de3828: ceffff17  b	#0xfffffff008de3760
0xfffffff008de382c: 08b58052  mov	w8, #0x5a8
0xfffffff008de3830: fca301a9  stp	x28, x8, [sp, #0x18]
0xfffffff008de3834: 082fffb0  adrp	x8, #0xfffffff0073c4000
0xfffffff008de3838: 08493991  add	x8, x8, #0xe52
0xfffffff008de383c: e92effd0  adrp	x9, #0xfffffff0073c1000
0xfffffff008de3840: 29bd1591  add	x9, x9, #0x56f
0xfffffff008de3844: ffa300a9  stp	xzr, x8, [sp, #8]
0xfffffff008de3848: e90300f9  str	x9, [sp]
0xfffffff008de384c: 002fffb0  adrp	x0, #0xfffffff0073c4000
0xfffffff008de3850: 00543891  add	x0, x0, #0xe15
0xfffffff008de3854: f3cdd597  bl	#0xfffffff008357020
0xfffffff008de3858: c8088052  mov	w8, #0x46
0xfffffff008de385c: 76008012  mov	w22, #-4
0xfffffff008de3860: c0ffff17  b	#0xfffffff008de3760
0xfffffff008de3864: f60300aa  mov	x22, x0
0xfffffff008de3868: c87e4093  sxtw	x8, w22
0xfffffff008de386c: 29ba8052  mov	w9, #0x5d1
0xfffffff008de3870: e91300f9  str	x9, [sp, #0x20]
0xfffffff008de3874: 092fffb0  adrp	x9, #0xfffffff0073c4000
0xfffffff008de3878: 29493991  add	x9, x9, #0xe52
0xfffffff008de387c: 0a2fffb0  adrp	x10, #0xfffffff0073c4000
0xfffffff008de3880: 4af13a91  add	x10, x10, #0xebc
0xfffffff008de3884: eb2effd0  adrp	x11, #0xfffffff0073c1000
0xfffffff008de3888: 6b490d91  add	x11, x11, #0x352
0xfffffff008de388c: e92f01a9  stp	x9, x11, [sp, #0x10]
0xfffffff008de3890: ea2300a9  stp	x10, x8, [sp]
