; Candidate 6120
; ADRP+ADD at VM 0xfffffff008815af8 (fileoff 0x1811af8): page=0x1fe9d4000 add_imm=0xe80

0xfffffff008815a78: 01018052  mov	w1, #8
0xfffffff008815a7c: 55970194  bl	#0xfffffff00887b7d0
0xfffffff008815a80: 40020034  cbz	w0, #0xfffffff008815ac8
0xfffffff008815a84: 800e8052  mov	w0, #0x74
0xfffffff008815a88: 64970194  bl	#0xfffffff00887b818
0xfffffff008815a8c: f60300aa  mov	x22, x0
0xfffffff008815a90: c7790294  bl	#0xfffffff0088b41ac
0xfffffff008815a94: f50300aa  mov	x21, x0
0xfffffff008815a98: 00018052  mov	w0, #8
0xfffffff008815a9c: 6d970194  bl	#0xfffffff00887b850
0xfffffff008815aa0: 96010034  cbz	w22, #0xfffffff008815ad0
0xfffffff008815aa4: f35302a9  stp	x19, x20, [sp, #0x20]
0xfffffff008815aa8: 4850ffb0  adrp	x8, #0xfffffff00721e000
0xfffffff008815aac: 08b52291  add	x8, x8, #0x8ad
0xfffffff008815ab0: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008815ab4: 880e8052  mov	w8, #0x74
0xfffffff008815ab8: f52300a9  stp	x21, x8, [sp]
0xfffffff008815abc: e04fffd0  adrp	x0, #0xfffffff007213000
0xfffffff008815ac0: 00b83491  add	x0, x0, #0xd2e
0xfffffff008815ac4: 6786d697  bl	#0xfffffff007db7460
0xfffffff008815ac8: b30200b5  cbnz	x19, #0xfffffff008815b1c
0xfffffff008815acc: 26000014  b	#0xfffffff008815b64
0xfffffff008815ad0: b7790294  bl	#0xfffffff0088b41ac
0xfffffff008815ad4: f50300aa  mov	x21, x0
0xfffffff008815ad8: 00018052  mov	w0, #8
0xfffffff008815adc: 5d970194  bl	#0xfffffff00887b850
0xfffffff008815ae0: f35302a9  stp	x19, x20, [sp, #0x20]
0xfffffff008815ae4: 4850ffb0  adrp	x8, #0xfffffff00721e000
0xfffffff008815ae8: 08b52291  add	x8, x8, #0x8ad
0xfffffff008815aec: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008815af0: 880e8052  mov	w8, #0x74
0xfffffff008815af4: f52300a9  stp	x21, x8, [sp]
0xfffffff008815af8: a04eff90  adrp	x0, #0xfffffff0071e9000
0xfffffff008815afc: 00003a91  add	x0, x0, #0xe80
0xfffffff008815b00: 818ffff0  adrp	x1, #0xfffffff007a08000
0xfffffff008815b04: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008815b08: 8351fff0  adrp	x3, #0xfffffff007248000
0xfffffff008815b0c: 63241a91  add	x3, x3, #0x689
0xfffffff008815b10: 02008052  mov	w2, #0
0xfffffff008815b14: 8775ec97  bl	#0xfffffff008333130
0xfffffff008815b18: 730200b4  cbz	x19, #0xfffffff008815b64
0xfffffff008815b1c: 540200b4  cbz	x20, #0xfffffff008815b64
0xfffffff008815b20: 88a649a9  ldp	x8, x9, [x20, #0x98]
0xfffffff008815b24: e82704a9  stp	x8, x9, [sp, #0x40]
0xfffffff008815b28: 98a24aa9  ldp	x24, x8, [x20, #0xa8]
0xfffffff008815b2c: f82305a9  stp	x24, x8, [sp, #0x50]
0xfffffff008815b30: 765a40b9  ldr	w22, [x19, #0x58]
0xfffffff008815b34: 97c640b9  ldr	w23, [x20, #0xc4]
0xfffffff008815b38: e00318aa  mov	x0, x24
0xfffffff008815b3c: 00d10194  bl	#0xfffffff008889f3c
0xfffffff008815b40: f50300aa  mov	x21, x0
0xfffffff008815b44: e00318aa  mov	x0, x24
0xfffffff008815b48: fdd60194  bl	#0xfffffff00888b73c
0xfffffff008815b4c: 88849d52  mov	w8, #0xec24
0xfffffff008815b50: c801a072  movk	w8, #0xe, lsl #16
0xfffffff008815b54: 686a68b8  ldr	w8, [x19, x8]
0xfffffff008815b58: a8030034  cbz	w8, #0xfffffff008815bcc
0xfffffff008815b5c: 15008052  mov	w21, #0
0xfffffff008815b60: 63000014  b	#0xfffffff008815cec
0xfffffff008815b64: 800e8052  mov	w0, #0x74
0xfffffff008815b68: 81008052  mov	w1, #4
0xfffffff008815b6c: 19970194  bl	#0xfffffff00887b7d0
0xfffffff008815b70: a00a0034  cbz	w0, #0xfffffff008815cc4
0xfffffff008815b74: 800e8052  mov	w0, #0x74
