; Candidate 12395
; ADRP+ADD at VM 0xfffffff009099718 (fileoff 0x2095718): page=0x1fe3c0000 add_imm=0xe24

0xfffffff009099698: 200d0035  cbnz	w0, #0xfffffff00909983c
0xfffffff00909969c: e85f40b9  ldr	w8, [sp, #0x5c]
0xfffffff0090996a0: 037d1053  lsr	w3, w8, #0x10
0xfffffff0090996a4: e92b40f9  ldr	x9, [sp, #0x50]
0xfffffff0090996a8: f9a702a9  stp	x25, x9, [sp, #0x28]
0xfffffff0090996ac: e94f40b9  ldr	w9, [sp, #0x4c]
0xfffffff0090996b0: ffdb03a9  stp	xzr, x22, [sp, #0x38]
0xfffffff0090996b4: e93b00b9  str	w9, [sp, #0x38]
0xfffffff0090996b8: e13340f9  ldr	x1, [sp, #0x60]
0xfffffff0090996bc: 023d0012  and	w2, w8, #0xffff
0xfffffff0090996c0: e46f4139  ldrb	w4, [sp, #0x5b]
0xfffffff0090996c4: e5a30091  add	x5, sp, #0x28
0xfffffff0090996c8: e00315aa  mov	x0, x21
0xfffffff0090996cc: e60314aa  mov	x6, x20
0xfffffff0090996d0: e70313aa  mov	x7, x19
0xfffffff0090996d4: 7b390094  bl	#0xfffffff0090a7cc0
0xfffffff0090996d8: f70300aa  mov	x23, x0
0xfffffff0090996dc: 800b0035  cbnz	w0, #0xfffffff00909984c
0xfffffff0090996e0: e02b40f9  ldr	x0, [sp, #0x50]
0xfffffff0090996e4: e14f40b9  ldr	w1, [sp, #0x4c]
0xfffffff0090996e8: 2f450094  bl	#0xfffffff0090aaba4
0xfffffff0090996ec: ff020071  cmp	w23, #0
0xfffffff0090996f0: c8088052  mov	w8, #0x46
0xfffffff0090996f4: 49018052  mov	w9, #0xa
0xfffffff0090996f8: 2801881a  csel	w8, w9, w8, eq
0xfffffff0090996fc: 89034039  ldrb	w9, [x28]
0xfffffff009099700: 1f01096b  cmp	w8, w9
0xfffffff009099704: 03010054  b.lo	#0xfffffff009099724
0xfffffff009099708: e80317aa  mov	x8, x23
0xfffffff00909970c: 087d4093  sxtw	x8, w8
0xfffffff009099710: fb6b00a9  stp	x27, x26, [sp]
0xfffffff009099714: e80b00f9  str	x8, [sp, #0x10]
0xfffffff009099718: 001eff90  adrp	x0, #0xfffffff007459000
0xfffffff00909971c: 00903891  add	x0, x0, #0xe24
0xfffffff009099720: 40f6ca97  bl	#0xfffffff008357020
0xfffffff009099724: a8835af8  ldur	x8, [x29, #-0x58]
0xfffffff009099728: 8955ff90  adrp	x9, #0xfffffff007b49000
0xfffffff00909972c: 29a541f9  ldr	x9, [x9, #0x348]
0xfffffff009099730: 290140f9  ldr	x9, [x9]
0xfffffff009099734: 3f0108eb  cmp	x9, x8
0xfffffff009099738: 810a0054  b.ne	#0xfffffff009099888
0xfffffff00909973c: e00317aa  mov	x0, x23
0xfffffff009099740: fd7b4da9  ldp	x29, x30, [sp, #0xd0]
0xfffffff009099744: f44f4ca9  ldp	x20, x19, [sp, #0xc0]
0xfffffff009099748: f6574ba9  ldp	x22, x21, [sp, #0xb0]
0xfffffff00909974c: f85f4aa9  ldp	x24, x23, [sp, #0xa0]
0xfffffff009099750: fa6749a9  ldp	x26, x25, [sp, #0x90]
0xfffffff009099754: fc6f48a9  ldp	x28, x27, [sp, #0x80]
0xfffffff009099758: ff830391  add	sp, sp, #0xe0
0xfffffff00909975c: ff0f5fd6  retab	
0xfffffff009099760: c8388052  mov	w8, #0x1c6
0xfffffff009099764: 291efff0  adrp	x9, #0xfffffff007460000
0xfffffff009099768: 29f11391  add	x9, x9, #0x4fc
0xfffffff00909976c: e81300f9  str	x8, [sp, #0x20]
0xfffffff009099770: 081eff90  adrp	x8, #0xfffffff007459000
0xfffffff009099774: 08b92d91  add	x8, x8, #0xb6e
0xfffffff009099778: 2a1efff0  adrp	x10, #0xfffffff007460000
0xfffffff00909977c: 4ad91591  add	x10, x10, #0x576
0xfffffff009099780: 09000014  b	#0xfffffff0090997a4
0xfffffff009099784: e8388052  mov	w8, #0x1c7
0xfffffff009099788: 291efff0  adrp	x9, #0xfffffff007460000
0xfffffff00909978c: 29f11391  add	x9, x9, #0x4fc
0xfffffff009099790: e81300f9  str	x8, [sp, #0x20]
0xfffffff009099794: 081eff90  adrp	x8, #0xfffffff007459000
