; Candidate 6404
; ADRP+ADD at VM 0xfffffff008829b50 (fileoff 0x1825b50): page=0x1fe9c0000 add_imm=0xe80

0xfffffff008829ad0: c8020037  tbnz	w8, #0, #0xfffffff008829b28
0xfffffff008829ad4: 680340f9  ldr	x8, [x27]
0xfffffff008829ad8: 69ab7e29  ldp	w9, w10, [x27, #-0xc]
0xfffffff008829adc: ea2303a9  stp	x10, x8, [sp, #0x30]
0xfffffff008829ae0: fa2702a9  stp	x26, x9, [sp, #0x20]
0xfffffff008829ae4: e05701a9  stp	x0, x21, [sp, #0x10]
0xfffffff008829ae8: f95300a9  stp	x25, x20, [sp]
0xfffffff008829aec: c04fff90  adrp	x0, #0xfffffff007221000
0xfffffff008829af0: 00043491  add	x0, x0, #0xd01
0xfffffff008829af4: 0b000014  b	#0xfffffff008829b20
0xfffffff008829af8: e0030034  cbz	w0, #0xfffffff008829b74
0xfffffff008829afc: e84f40b9  ldr	w8, [sp, #0x4c]
0xfffffff008829b00: a8030035  cbnz	w8, #0xfffffff008829b74
0xfffffff008829b04: 680340f9  ldr	x8, [x27]
0xfffffff008829b08: 69ab7e29  ldp	w9, w10, [x27, #-0xc]
0xfffffff008829b0c: eaa301a9  stp	x10, x8, [sp, #0x18]
0xfffffff008829b10: faa700a9  stp	x26, x9, [sp, #8]
0xfffffff008829b14: f50300f9  str	x21, [sp]
0xfffffff008829b18: c04fff90  adrp	x0, #0xfffffff007221000
0xfffffff008829b1c: 00983391  add	x0, x0, #0xce6
0xfffffff008829b20: 5036d697  bl	#0xfffffff007db7460
0xfffffff008829b24: 21000014  b	#0xfffffff008829ba8
0xfffffff008829b28: a1290294  bl	#0xfffffff0088b41ac
0xfffffff008829b2c: f90300aa  mov	x25, x0
0xfffffff008829b30: e00316aa  mov	x0, x22
0xfffffff008829b34: 47470194  bl	#0xfffffff00887b850
0xfffffff008829b38: 680340f9  ldr	x8, [x27]
0xfffffff008829b3c: 69ab7e29  ldp	w9, w10, [x27, #-0xc]
0xfffffff008829b40: ea2303a9  stp	x10, x8, [sp, #0x30]
0xfffffff008829b44: fa2702a9  stp	x26, x9, [sp, #0x20]
0xfffffff008829b48: e05701a9  stp	x0, x21, [sp, #0x10]
0xfffffff008829b4c: f95f00a9  stp	x25, x23, [sp]
0xfffffff008829b50: 004eff90  adrp	x0, #0xfffffff0071e9000
0xfffffff008829b54: 00003a91  add	x0, x0, #0xe80
0xfffffff008829b58: e18efff0  adrp	x1, #0xfffffff007a08000
0xfffffff008829b5c: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008829b60: 02008052  mov	w2, #0
0xfffffff008829b64: 0351ffd0  adrp	x3, #0xfffffff00724b000
0xfffffff008829b68: 63583d91  add	x3, x3, #0xf56
0xfffffff008829b6c: 7125ec97  bl	#0xfffffff008333130
0xfffffff008829b70: 0e000014  b	#0xfffffff008829ba8
0xfffffff008829b74: 680340f9  ldr	x8, [x27]
0xfffffff008829b78: 69ab7e29  ldp	w9, w10, [x27, #-0xc]
0xfffffff008829b7c: eaa301a9  stp	x10, x8, [sp, #0x18]
0xfffffff008829b80: faa700a9  stp	x26, x9, [sp, #8]
0xfffffff008829b84: f50300f9  str	x21, [sp]
0xfffffff008829b88: 004eff90  adrp	x0, #0xfffffff0071e9000
0xfffffff008829b8c: 00003a91  add	x0, x0, #0xe80
0xfffffff008829b90: e18efff0  adrp	x1, #0xfffffff007a08000
0xfffffff008829b94: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008829b98: 02008052  mov	w2, #0
0xfffffff008829b9c: 0351ffd0  adrp	x3, #0xfffffff00724b000
0xfffffff008829ba0: 63f03c91  add	x3, x3, #0xf3c
0xfffffff008829ba4: 6325ec97  bl	#0xfffffff008333130
0xfffffff008829ba8: 5a070091  add	x26, x26, #1
0xfffffff008829bac: a80280b9  ldrsw	x8, [x21]
0xfffffff008829bb0: 7b630091  add	x27, x27, #0x18
0xfffffff008829bb4: 5f0308eb  cmp	x26, x8
0xfffffff008829bb8: 0bf7ff54  b.lt	#0xfffffff008829a98
0xfffffff008829bbc: 00008052  mov	w0, #0
0xfffffff008829bc0: a8835af8  ldur	x8, [x29, #-0x58]
0xfffffff008829bc4: e98efff0  adrp	x9, #0xfffffff007a08000
0xfffffff008829bc8: 292942f9  ldr	x9, [x9, #0x450]
0xfffffff008829bcc: 290140f9  ldr	x9, [x9]
