; Candidate 2904
; ADRP+ADD at VM 0xfffffff0086f4a34 (fileoff 0x16f0a34): page=0x1fea3d000 add_imm=0xd90

0xfffffff0086f49b4: fa6747a9  ldp	x26, x25, [sp, #0x70]
0xfffffff0086f49b8: fc6f46a9  ldp	x28, x27, [sp, #0x60]
0xfffffff0086f49bc: ff030391  add	sp, sp, #0xc0
0xfffffff0086f49c0: ff0f5fd6  retab	
0xfffffff0086f49c4: 09b74039  ldrb	w9, [x24, #0x2d]
0xfffffff0086f49c8: 89000034  cbz	w9, #0xfffffff0086f49d8
0xfffffff0086f49cc: 09954039  ldrb	w9, [x8, #0x25]
0xfffffff0086f49d0: 89fbff35  cbnz	w9, #0xfffffff0086f4940
0xfffffff0086f49d4: 1fb70039  strb	wzr, [x24, #0x2d]
0xfffffff0086f49d8: f92700f9  str	x25, [sp, #0x48]
0xfffffff0086f49dc: fb7e4093  sxtw	x27, w23
0xfffffff0086f49e0: 89af4039  ldrb	w9, [x28, #0x2b]
0xfffffff0086f49e4: 8ab34039  ldrb	w10, [x28, #0x2c]
0xfffffff0086f49e8: 4905098b  add	x9, x10, x9, lsl #1
0xfffffff0086f49ec: 8a53fff0  adrp	x10, #0xfffffff007167000
0xfffffff0086f49f0: 4a413b91  add	x10, x10, #0xed0
0xfffffff0086f49f4: 497969b8  ldr	w9, [x10, x9, lsl #2]
0xfffffff0086f49f8: 090500b9  str	w9, [x8, #4]
0xfffffff0086f49fc: 60665cf9  ldr	x0, [x19, #0x38c8]
0xfffffff0086f4a00: 01810091  add	x1, x8, #0x20
0xfffffff0086f4a04: 08258052  mov	w8, #0x128
0xfffffff0086f4a08: 684f089b  madd	x8, x27, x8, x19
0xfffffff0086f4a0c: 098f8252  mov	w9, #0x1478
0xfffffff0086f4a10: f90317aa  mov	x25, x23
0xfffffff0086f4a14: 1701098b  add	x23, x8, x9
0xfffffff0086f4a18: e20317aa  mov	x2, x23
0xfffffff0086f4a1c: 9a89ff97  bl	#0xfffffff0086d7084
0xfffffff0086f4a20: c0010034  cbz	w0, #0xfffffff0086f4a58
0xfffffff0086f4a24: 88974039  ldrb	w8, [x28, #0x25]
0xfffffff0086f4a28: e90314aa  mov	x9, x20
0xfffffff0086f4a2c: e82701a9  stp	x8, x9, [sp, #0x10]
0xfffffff0086f4a30: fa5700a9  stp	x26, x21, [sp]
0xfffffff0086f4a34: e051ffb0  adrp	x0, #0xfffffff007131000
0xfffffff0086f4a38: 00403691  add	x0, x0, #0xd90
0xfffffff0086f4a3c: 4198ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff0086f4a40: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0086f4a44: 0352ff90  adrp	x3, #0xfffffff007134000
0xfffffff0086f4a48: 63803b91  add	x3, x3, #0xee0
0xfffffff0086f4a4c: 02008052  mov	w2, #0
0xfffffff0086f4a50: b8f9f097  bl	#0xfffffff008333130
0xfffffff0086f4a54: bbffff17  b	#0xfffffff0086f4940
0xfffffff0086f4a58: fbe703a9  stp	x27, x25, [sp, #0x38]
0xfffffff0086f4a5c: 88834039  ldrb	w8, [x28, #0x20]
0xfffffff0086f4a60: a8040034  cbz	w8, #0xfffffff0086f4af4
0xfffffff0086f4a64: 60665cf9  ldr	x0, [x19, #0x38c8]
0xfffffff0086f4a68: 685a5cf9  ldr	x8, [x19, #0x38b0]
0xfffffff0086f4a6c: 01810091  add	x1, x8, #0x20
0xfffffff0086f4a70: 6c8aff97  bl	#0xfffffff0086d7420
0xfffffff0086f4a74: 60665cf9  ldr	x0, [x19, #0x38c8]
0xfffffff0086f4a78: ba8aff97  bl	#0xfffffff0086d7560
0xfffffff0086f4a7c: f40300aa  mov	x20, x0
0xfffffff0086f4a80: 800000b4  cbz	x0, #0xfffffff0086f4a90
0xfffffff0086f4a84: e00313aa  mov	x0, x19
0xfffffff0086f4a88: e10314aa  mov	x1, x20
0xfffffff0086f4a8c: 6a020094  bl	#0xfffffff0086f5434
0xfffffff0086f4a90: 68da5ef9  ldr	x8, [x19, #0x3db0]
0xfffffff0086f4a94: 09294029  ldp	w9, w10, [x8]
0xfffffff0086f4a98: 3f010a6b  cmp	w9, w10
0xfffffff0086f4a9c: f72340f9  ldr	x23, [sp, #0x40]
0xfffffff0086f4aa0: e2090054  b.hs	#0xfffffff0086f4bdc
0xfffffff0086f4aa4: 182c8052  mov	w24, #0x160
0xfffffff0086f4aa8: 2a090012  and	w10, w9, #7
0xfffffff0086f4aac: 4a21b89b  umaddl	x10, w10, w24, x8
0xfffffff0086f4ab0: 553d40b9  ldr	w21, [x10, #0x3c]
