; Candidate 13582
; ADRP+ADD at VM 0xfffffff0093ac0e8 (fileoff 0x23a80e8): page=0x1fe156000 add_imm=0xd20

0xfffffff0093ac068: a9535d38  ldurb	w9, [x29, #-0x2b]
0xfffffff0093ac06c: aa635d38  ldurb	w10, [x29, #-0x2a]
0xfffffff0093ac070: ab735d38  ldurb	w11, [x29, #-0x29]
0xfffffff0093ac074: ac835d38  ldurb	w12, [x29, #-0x28]
0xfffffff0093ac078: ad935d38  ldurb	w13, [x29, #-0x27]
0xfffffff0093ac07c: ec3703a9  stp	x12, x13, [sp, #0x30]
0xfffffff0093ac080: ea2f02a9  stp	x10, x11, [sp, #0x20]
0xfffffff0093ac084: e82701a9  stp	x8, x9, [sp, #0x10]
0xfffffff0093ac088: e05700a9  stp	x0, x21, [sp]
0xfffffff0093ac08c: a00affd0  adrp	x0, #0xfffffff007502000
0xfffffff0093ac090: 00803491  add	x0, x0, #0xd20
0xfffffff0093ac094: e140ffd0  adrp	x1, #0xfffffff007bca000
0xfffffff0093ac098: 217443f9  ldr	x1, [x1, #0x6e8]
0xfffffff0093ac09c: c30aff90  adrp	x3, #0xfffffff007504000
0xfffffff0093ac0a0: 63e01691  add	x3, x3, #0x5b8
0xfffffff0093ac0a4: 22008052  mov	w2, #1
0xfffffff0093ac0a8: 221cbe97  bl	#0xfffffff008333130
0xfffffff0093ac0ac: a0b300d1  sub	x0, x29, #0x2c
0xfffffff0093ac0b0: a1d300d1  sub	x1, x29, #0x34
0xfffffff0093ac0b4: c2008052  mov	w2, #6
0xfffffff0093ac0b8: 6fcdab97  bl	#0xfffffff007e9f674
0xfffffff0093ac0bc: 60040034  cbz	w0, #0xfffffff0093ac148
0xfffffff0093ac0c0: a1b300d1  sub	x1, x29, #0x2c
0xfffffff0093ac0c4: e00313aa  mov	x0, x19
0xfffffff0093ac0c8: e5030094  bl	#0xfffffff0093ad05c
0xfffffff0093ac0cc: b47e0090  adrp	x20, #0xfffffff00a380000
0xfffffff0093ac0d0: 94622b91  add	x20, x20, #0xad8
0xfffffff0093ac0d4: e00314aa  mov	x0, x20
0xfffffff0093ac0d8: 20e2bc97  bl	#0xfffffff0082e4958
0xfffffff0093ac0dc: e00314aa  mov	x0, x20
0xfffffff0093ac0e0: 1ee2bc97  bl	#0xfffffff0082e4958
0xfffffff0093ac0e4: e05700a9  stp	x0, x21, [sp]
0xfffffff0093ac0e8: a00affd0  adrp	x0, #0xfffffff007502000
0xfffffff0093ac0ec: 00803491  add	x0, x0, #0xd20
0xfffffff0093ac0f0: e140ffd0  adrp	x1, #0xfffffff007bca000
0xfffffff0093ac0f4: 217443f9  ldr	x1, [x1, #0x6e8]
0xfffffff0093ac0f8: c30aff90  adrp	x3, #0xfffffff007504000
0xfffffff0093ac0fc: 63e01791  add	x3, x3, #0x5f8
0xfffffff0093ac100: 22008052  mov	w2, #1
0xfffffff0093ac104: 0b1cbe97  bl	#0xfffffff008333130
0xfffffff0093ac108: 700240f9  ldr	x16, [x19]
0xfffffff0093ac10c: f10313aa  mov	x17, x19
0xfffffff0093ac110: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0093ac114: 301ac1da  autda	x16, x17
0xfffffff0093ac118: f10310aa  mov	x17, x16
0xfffffff0093ac11c: f147c1da  xpacd	x17
0xfffffff0093ac120: 1f0211eb  cmp	x16, x17
0xfffffff0093ac124: 40000054  b.eq	#0xfffffff0093ac12c
0xfffffff0093ac128: 408e38d4  brk	#0xc472
0xfffffff0093ac12c: 08621091  add	x8, x16, #0x418
0xfffffff0093ac130: 090e42f9  ldr	x9, [x16, #0x418]
0xfffffff0093ac134: e00313aa  mov	x0, x19
0xfffffff0093ac138: 01018052  mov	w1, #8
0xfffffff0093ac13c: f10308aa  mov	x17, x8
0xfffffff0093ac140: 51cae4f2  movk	x17, #0x2652, lsl #48
0xfffffff0093ac144: 31093fd7  blraa	x9, x17
0xfffffff0093ac148: 61223991  add	x1, x19, #0xe48
0xfffffff0093ac14c: e00313aa  mov	x0, x19
0xfffffff0093ac150: 30040094  bl	#0xfffffff0093ad210
0xfffffff0093ac154: b47e0090  adrp	x20, #0xfffffff00a380000
0xfffffff0093ac158: 94622b91  add	x20, x20, #0xad8
0xfffffff0093ac15c: e00314aa  mov	x0, x20
0xfffffff0093ac160: fee1bc97  bl	#0xfffffff0082e4958
0xfffffff0093ac164: e00314aa  mov	x0, x20
