; Candidate 7768
; ADRP+ADD at VM 0xfffffff00887e3e4 (fileoff 0x187a3e4): page=0x1fe96b000 add_imm=0xe80

0xfffffff00887e364: 17020034  cbz	w23, #0xfffffff00887e3a4
0xfffffff00887e368: 681a40b9  ldr	w8, [x19, #0x18]
0xfffffff00887e36c: f4d703a9  stp	x20, x21, [sp, #0x38]
0xfffffff00887e370: f3a302a9  stp	x19, x8, [sp, #0x28]
0xfffffff00887e374: 684dffd0  adrp	x8, #0xfffffff00722c000
0xfffffff00887e378: 09c11191  add	x9, x8, #0x470
0xfffffff00887e37c: 684dffd0  adrp	x8, #0xfffffff00722c000
0xfffffff00887e380: 08b91891  add	x8, x8, #0x62e
0xfffffff00887e384: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff00887e388: e00b00f9  str	x0, [sp, #0x10]
0xfffffff00887e38c: 280b8052  mov	w8, #0x59
0xfffffff00887e390: 004dfff0  adrp	x0, #0xfffffff007221000
0xfffffff00887e394: 00342691  add	x0, x0, #0x98d
0xfffffff00887e398: f62300a9  stp	x22, x8, [sp]
0xfffffff00887e39c: 31e4d497  bl	#0xfffffff007db7460
0xfffffff00887e3a0: 19000014  b	#0xfffffff00887e404
0xfffffff00887e3a4: 82d70094  bl	#0xfffffff0088b41ac
0xfffffff00887e3a8: f60300aa  mov	x22, x0
0xfffffff00887e3ac: e0008052  mov	w0, #7
0xfffffff00887e3b0: 28f5ff97  bl	#0xfffffff00887b850
0xfffffff00887e3b4: e80315aa  mov	x8, x21
0xfffffff00887e3b8: 691a40b9  ldr	w9, [x19, #0x18]
0xfffffff00887e3bc: f4a303a9  stp	x20, x8, [sp, #0x38]
0xfffffff00887e3c0: f3a702a9  stp	x19, x9, [sp, #0x28]
0xfffffff00887e3c4: 684dffd0  adrp	x8, #0xfffffff00722c000
0xfffffff00887e3c8: 0ac11191  add	x10, x8, #0x470
0xfffffff00887e3cc: 684dffd0  adrp	x8, #0xfffffff00722c000
0xfffffff00887e3d0: 08b91891  add	x8, x8, #0x62e
0xfffffff00887e3d4: e8ab01a9  stp	x8, x10, [sp, #0x18]
0xfffffff00887e3d8: 280b8052  mov	w8, #0x59
0xfffffff00887e3dc: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff00887e3e0: f60300f9  str	x22, [sp]
0xfffffff00887e3e4: 404bfff0  adrp	x0, #0xfffffff0071e9000
0xfffffff00887e3e8: 00003a91  add	x0, x0, #0xe80
0xfffffff00887e3ec: 418cffd0  adrp	x1, #0xfffffff007a08000
0xfffffff00887e3f0: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00887e3f4: e34effb0  adrp	x3, #0xfffffff00725b000
0xfffffff00887e3f8: 63a00891  add	x3, x3, #0x228
0xfffffff00887e3fc: 02008052  mov	w2, #0
0xfffffff00887e400: 4cd3ea97  bl	#0xfffffff008333130
0xfffffff00887e404: e00315aa  mov	x0, x21
0xfffffff00887e408: fd7b48a9  ldp	x29, x30, [sp, #0x80]
0xfffffff00887e40c: f44f47a9  ldp	x20, x19, [sp, #0x70]
0xfffffff00887e410: f65746a9  ldp	x22, x21, [sp, #0x60]
0xfffffff00887e414: f85f45a9  ldp	x24, x23, [sp, #0x50]
0xfffffff00887e418: ff430291  add	sp, sp, #0x90
0xfffffff00887e41c: ff0f5fd6  retab	
0xfffffff00887e420: 200b8052  mov	w0, #0x59
0xfffffff00887e424: 81008052  mov	w1, #4
0xfffffff00887e428: eaf4ff97  bl	#0xfffffff00887b7d0
0xfffffff00887e42c: a0060034  cbz	w0, #0xfffffff00887e500
0xfffffff00887e430: 200b8052  mov	w0, #0x59
0xfffffff00887e434: f9f4ff97  bl	#0xfffffff00887b818
0xfffffff00887e438: f60300aa  mov	x22, x0
0xfffffff00887e43c: 5cd70094  bl	#0xfffffff0088b41ac
0xfffffff00887e440: f50300aa  mov	x21, x0
0xfffffff00887e444: 80008052  mov	w0, #4
0xfffffff00887e448: 02f5ff97  bl	#0xfffffff00887b850
0xfffffff00887e44c: 76020034  cbz	w22, #0xfffffff00887e498
0xfffffff00887e450: 68264329  ldp	w8, w9, [x19, #0x18]
0xfffffff00887e454: 8a4cfff0  adrp	x10, #0xfffffff007211000
0xfffffff00887e458: 4a591891  add	x10, x10, #0x616
0xfffffff00887e45c: e82704a9  stp	x8, x9, [sp, #0x40]
0xfffffff00887e460: ea4f03a9  stp	x10, x19, [sp, #0x30]
