; Candidate 16
; ADRP+ADD at VM 0xfffffff007d7b21c (fileoff 0xd7721c): page=0x1ff2c8000 add_imm=0xead

0xfffffff007d7b19c: 1f0211eb  cmp	x16, x17
0xfffffff007d7b1a0: 40000054  b.eq	#0xfffffff007d7b1a8
0xfffffff007d7b1a4: 408e38d4  brk	#0xc472
0xfffffff007d7b1a8: 300400b5  cbnz	x16, #0xfffffff007d7b22c
0xfffffff007d7b1ac: 1f0100f9  str	xzr, [x8]
0xfffffff007d7b1b0: 69c9ff97  bl	#0xfffffff007d6d754
0xfffffff007d7b1b4: e80313aa  mov	x8, x19
0xfffffff007d7b1b8: 098d40b8  ldr	w9, [x8, #8]!
0xfffffff007d7b1bc: 29090012  and	w9, w9, #7
0xfffffff007d7b1c0: 2a0d0051  sub	w10, w9, #3
0xfffffff007d7b1c4: 5f0d0071  cmp	w10, #3
0xfffffff007d7b1c8: e3000054  b.lo	#0xfffffff007d7b1e4
0xfffffff007d7b1cc: 2a050051  sub	w10, w9, #1
0xfffffff007d7b1d0: 5f090071  cmp	w10, #2
0xfffffff007d7b1d4: c2030054  b.hs	#0xfffffff007d7b24c
0xfffffff007d7b1d8: 68320091  add	x8, x19, #0xc
0xfffffff007d7b1dc: 09208052  mov	w9, #0x100
0xfffffff007d7b1e0: 081129b8  ldclr	w9, w8, [x8]
0xfffffff007d7b1e4: 60320091  add	x0, x19, #0xc
0xfffffff007d7b1e8: fd7b43a9  ldp	x29, x30, [sp, #0x30]
0xfffffff007d7b1ec: f44f42a9  ldp	x20, x19, [sp, #0x20]
0xfffffff007d7b1f0: ff030191  add	sp, sp, #0x40
0xfffffff007d7b1f4: ff2303d5  autibsp	
0xfffffff007d7b1f8: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff007d7b1fc: 5000f0b6  tbz	x16, #0x3e, #0xfffffff007d7b204
0xfffffff007d7b200: 208e38d4  brk	#0xc471
0xfffffff007d7b204: 3dcf0014  b	#0xfffffff007daeef8
0xfffffff007d7b208: a8948152  mov	w8, #0xca5
0xfffffff007d7b20c: 4996ff90  adrp	x9, #0xfffffff007043000
0xfffffff007d7b210: 29cd3891  add	x9, x9, #0xe33
0xfffffff007d7b214: e9a300a9  stp	x9, x8, [sp, #8]
0xfffffff007d7b218: f30300f9  str	x19, [sp]
0xfffffff007d7b21c: 4096ff90  adrp	x0, #0xfffffff007043000
0xfffffff007d7b220: 00b43a91  add	x0, x0, #0xead
0xfffffff007d7b224: ba641c94  bl	#0xfffffff00849450c
0xfffffff007d7b228: 000080d2  mov	x0, #0
0xfffffff007d7b22c: e8968152  mov	w8, #0xcb7
0xfffffff007d7b230: 4996ff90  adrp	x9, #0xfffffff007043000
0xfffffff007d7b234: 29cd3891  add	x9, x9, #0xe33
0xfffffff007d7b238: e92301a9  stp	x9, x8, [sp, #0x10]
0xfffffff007d7b23c: f30300a9  stp	x19, x0, [sp]
0xfffffff007d7b240: 4096ff90  adrp	x0, #0xfffffff007043000
0xfffffff007d7b244: 006c3b91  add	x0, x0, #0xedb
0xfffffff007d7b248: b1641c94  bl	#0xfffffff00849450c
0xfffffff007d7b24c: cae18052  mov	w10, #0x70e
0xfffffff007d7b250: 6b96fff0  adrp	x11, #0xfffffff00704a000
0xfffffff007d7b254: 6b090f91  add	x11, x11, #0x3c2
0xfffffff007d7b258: eb2b01a9  stp	x11, x10, [sp, #0x10]
0xfffffff007d7b25c: e82700a9  stp	x8, x9, [sp]
0xfffffff007d7b260: 6096fff0  adrp	x0, #0xfffffff00704a000
0xfffffff007d7b264: 00fc1191  add	x0, x0, #0x47f
0xfffffff007d7b268: a9641c94  bl	#0xfffffff00849450c
0xfffffff007d7b26c: 7f2303d5  pacibsp	
0xfffffff007d7b270: f657bda9  stp	x22, x21, [sp, #-0x30]!
0xfffffff007d7b274: f44f01a9  stp	x20, x19, [sp, #0x10]
0xfffffff007d7b278: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff007d7b27c: fd830091  add	x29, sp, #0x20
0xfffffff007d7b280: 082440f9  ldr	x8, [x0, #0x48]
0xfffffff007d7b284: f40308aa  mov	x20, x8
0xfffffff007d7b288: e9daffb0  adrp	x9, #0xfffffff0078d8000
0xfffffff007d7b28c: 29411c91  add	x9, x9, #0x710
0xfffffff007d7b290: 2a210091  add	x10, x9, #8
0xfffffff007d7b294: 292940a9  ldp	x9, x10, [x9]
0xfffffff007d7b298: 0b410291  add	x11, x8, #0x90
