; Candidate 11268
; ADRP+ADD at VM 0xfffffff008eda454 (fileoff 0x1ed6454): page=0x1fe4fe000 add_imm=0xe3d

0xfffffff008eda3d4: 88a100b0  adrp	x8, #0xfffffff00a30b000
0xfffffff008eda3d8: 08850291  add	x8, x8, #0xa1
0xfffffff008eda3dc: e80300a9  stp	x8, x0, [sp]
0xfffffff008eda3e0: e027ffd0  adrp	x0, #0xfffffff0073d8000
0xfffffff008eda3e4: 005c0891  add	x0, x0, #0x217
0xfffffff008eda3e8: 0ef3d197  bl	#0xfffffff008357020
0xfffffff008eda3ec: e827ffd0  adrp	x8, #0xfffffff0073d8000
0xfffffff008eda3f0: 08110991  add	x8, x8, #0x244
0xfffffff008eda3f4: e91c8052  mov	w9, #0xe7
0xfffffff008eda3f8: e82700a9  stp	x8, x9, [sp]
0xfffffff008eda3fc: c027ff90  adrp	x0, #0xfffffff0073d2000
0xfffffff008eda400: 00080691  add	x0, x0, #0x182
0xfffffff008eda404: 42e8d697  bl	#0xfffffff00849450c
0xfffffff008eda408: 7f2303d5  pacibsp	
0xfffffff008eda40c: ff8300d1  sub	sp, sp, #0x20
0xfffffff008eda410: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff008eda414: fd430091  add	x29, sp, #0x10
0xfffffff008eda418: e827ffd0  adrp	x8, #0xfffffff0073d8000
0xfffffff008eda41c: 08c13991  add	x8, x8, #0xe70
0xfffffff008eda420: c9418052  mov	w9, #0x20e
0xfffffff008eda424: e82700a9  stp	x8, x9, [sp]
0xfffffff008eda428: e027ffd0  adrp	x0, #0xfffffff0073d8000
0xfffffff008eda42c: 00f43891  add	x0, x0, #0xe3d
0xfffffff008eda430: 37e8d697  bl	#0xfffffff00849450c
0xfffffff008eda434: 7f2303d5  pacibsp	
0xfffffff008eda438: ff8300d1  sub	sp, sp, #0x20
0xfffffff008eda43c: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff008eda440: fd430091  add	x29, sp, #0x10
0xfffffff008eda444: e827ffd0  adrp	x8, #0xfffffff0073d8000
0xfffffff008eda448: 08c13991  add	x8, x8, #0xe70
0xfffffff008eda44c: 49558052  mov	w9, #0x2aa
0xfffffff008eda450: e82700a9  stp	x8, x9, [sp]
0xfffffff008eda454: e027ffd0  adrp	x0, #0xfffffff0073d8000
0xfffffff008eda458: 00f43891  add	x0, x0, #0xe3d
0xfffffff008eda45c: 2ce8d697  bl	#0xfffffff00849450c
0xfffffff008eda460: 7f2303d5  pacibsp	
0xfffffff008eda464: ffc300d1  sub	sp, sp, #0x30
0xfffffff008eda468: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff008eda46c: fd830091  add	x29, sp, #0x20
0xfffffff008eda470: 080040b9  ldr	w8, [x0]
0xfffffff008eda474: e92f8052  mov	w9, #0x17f
0xfffffff008eda478: ea27fff0  adrp	x10, #0xfffffff0073d9000
0xfffffff008eda47c: 4ae90691  add	x10, x10, #0x1ba
0xfffffff008eda480: eb27fff0  adrp	x11, #0xfffffff0073d9000
0xfffffff008eda484: 6b290691  add	x11, x11, #0x18a
0xfffffff008eda488: ea2701a9  stp	x10, x9, [sp, #0x10]
0xfffffff008eda48c: eb2300a9  stp	x11, x8, [sp]
0xfffffff008eda490: e027fff0  adrp	x0, #0xfffffff0073d9000
0xfffffff008eda494: 00740591  add	x0, x0, #0x15d
0xfffffff008eda498: 1de8d697  bl	#0xfffffff00849450c
0xfffffff008eda49c: 7f2303d5  pacibsp	
0xfffffff008eda4a0: ff8300d1  sub	sp, sp, #0x20
0xfffffff008eda4a4: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff008eda4a8: fd430091  add	x29, sp, #0x10
0xfffffff008eda4ac: e827fff0  adrp	x8, #0xfffffff0073d9000
0xfffffff008eda4b0: 08e90691  add	x8, x8, #0x1ba
0xfffffff008eda4b4: 495a8052  mov	w9, #0x2d2
0xfffffff008eda4b8: e82700a9  stp	x8, x9, [sp]
0xfffffff008eda4bc: e027fff0  adrp	x0, #0xfffffff0073d9000
0xfffffff008eda4c0: 00a81091  add	x0, x0, #0x42a
0xfffffff008eda4c4: 12e8d697  bl	#0xfffffff00849450c
0xfffffff008eda4c8: 7f2303d5  pacibsp	
0xfffffff008eda4cc: ff0302d1  sub	sp, sp, #0x80
0xfffffff008eda4d0: fa6703a9  stp	x26, x25, [sp, #0x30]
