; Candidate 15494
; ADRP+ADD at VM 0xfffffff009bd7ab4 (fileoff 0x2bd3ab4): page=0x1fda68000 add_imm=0xebc

0xfffffff009bd7a34: f657bda9  stp	x22, x21, [sp, #-0x30]!
0xfffffff009bd7a38: f44f01a9  stp	x20, x19, [sp, #0x10]
0xfffffff009bd7a3c: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff009bd7a40: fd830091  add	x29, sp, #0x20
0xfffffff009bd7a44: f30300aa  mov	x19, x0
0xfffffff009bd7a48: 002844b9  ldr	w0, [x0, #0x428]
0xfffffff009bd7a4c: c00a0035  cbnz	w0, #0xfffffff009bd7ba4
0xfffffff009bd7a50: 40d3fe90  adrp	x0, #0xfffffff00763f000
0xfffffff009bd7a54: 00d03a91  add	x0, x0, #0xeb4
0xfffffff009bd7a58: 010080d2  mov	x1, #0
0xfffffff009bd7a5c: c4cb9e97  bl	#0xfffffff00838a96c
0xfffffff009bd7a60: c00900b4  cbz	x0, #0xfffffff009bd7b98
0xfffffff009bd7a64: f50300aa  mov	x21, x0
0xfffffff009bd7a68: 01409ed2  mov	x1, #0xf200
0xfffffff009bd7a6c: a140a5f2  movk	x1, #0x2a05, lsl #16
0xfffffff009bd7a70: 2100c0f2  movk	x1, #1, lsl #32
0xfffffff009bd7a74: c6c89e97  bl	#0xfffffff008389d8c
0xfffffff009bd7a78: f40300aa  mov	x20, x0
0xfffffff009bd7a7c: b00240f9  ldr	x16, [x21]
0xfffffff009bd7a80: f10315aa  mov	x17, x21
0xfffffff009bd7a84: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009bd7a88: 301ac1da  autda	x16, x17
0xfffffff009bd7a8c: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff009bd7a90: e90310aa  mov	x9, x16
0xfffffff009bd7a94: e00315aa  mov	x0, x21
0xfffffff009bd7a98: f10309aa  mov	x17, x9
0xfffffff009bd7a9c: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff009bd7aa0: 11093fd7  blraa	x8, x17
0xfffffff009bd7aa4: b40700b4  cbz	x20, #0xfffffff009bd7b98
0xfffffff009bd7aa8: 4808ffb0  adrp	x8, #0xfffffff007ce0000
0xfffffff009bd7aac: 08c146f9  ldr	x8, [x8, #0xd80]
0xfffffff009bd7ab0: 010140f9  ldr	x1, [x8]
0xfffffff009bd7ab4: 40d3fe90  adrp	x0, #0xfffffff00763f000
0xfffffff009bd7ab8: 00f03a91  add	x0, x0, #0xebc
0xfffffff009bd7abc: 020080d2  mov	x2, #0
0xfffffff009bd7ac0: 030080d2  mov	x3, #0
0xfffffff009bd7ac4: 040080d2  mov	x4, #0
0xfffffff009bd7ac8: 6f1d9e97  bl	#0xfffffff00835f084
0xfffffff009bd7acc: 200500b4  cbz	x0, #0xfffffff009bd7b70
0xfffffff009bd7ad0: f50300aa  mov	x21, x0
0xfffffff009bd7ad4: 100040f9  ldr	x16, [x0]
0xfffffff009bd7ad8: f10300aa  mov	x17, x0
0xfffffff009bd7adc: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009bd7ae0: 301ac1da  autda	x16, x17
0xfffffff009bd7ae4: 112380d2  mov	x17, #0x118
0xfffffff009bd7ae8: 1002118b  add	x16, x16, x17
0xfffffff009bd7aec: 080240f9  ldr	x8, [x16]
0xfffffff009bd7af0: e90310aa  mov	x9, x16
0xfffffff009bd7af4: 41d3fe90  adrp	x1, #0xfffffff00763f000
0xfffffff009bd7af8: 21143b91  add	x1, x1, #0xec5
0xfffffff009bd7afc: f10309aa  mov	x17, x9
0xfffffff009bd7b00: b1f4e6f2  movk	x17, #0x37a5, lsl #48
0xfffffff009bd7b04: 11093fd7  blraa	x8, x17
0xfffffff009bd7b08: 4808ffb0  adrp	x8, #0xfffffff007ce0000
0xfffffff009bd7b0c: 086946f9  ldr	x8, [x8, #0xcd0]
0xfffffff009bd7b10: 010140f9  ldr	x1, [x8]
0xfffffff009bd7b14: 78309c97  bl	#0xfffffff0082e3cf4
0xfffffff009bd7b18: 800100b4  cbz	x0, #0xfffffff009bd7b48
0xfffffff009bd7b1c: 100040f9  ldr	x16, [x0]
0xfffffff009bd7b20: f10300aa  mov	x17, x0
0xfffffff009bd7b24: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009bd7b28: 301ac1da  autda	x16, x17
0xfffffff009bd7b2c: 088e4df8  ldr	x8, [x16, #0xd8]!
0xfffffff009bd7b30: e90310aa  mov	x9, x16
