; Candidate 263
; ADRP+ADD at VM 0xfffffff007e86fd8 (fileoff 0xe82fd8): page=0x2371000 add_imm=0xe2c

0xfffffff007e86f58: 60000054  b.eq	#0xfffffff007e86f64
0xfffffff007e86f5c: 80008052  mov	w0, #4
0xfffffff007e86f60: c8040014  b	#0xfffffff007e88280
0xfffffff007e86f64: 08fc4ed3  lsr	x8, x0, #0xe
0xfffffff007e86f68: e82300f9  str	x8, [sp, #0x40]
0xfffffff007e86f6c: 88980034  cbz	w8, #0xfffffff007e8827c
0xfffffff007e86f70: fc0303aa  mov	x28, x3
0xfffffff007e86f74: a2c31ab8  stur	w2, [x29, #-0x54]
0xfffffff007e86f78: e4970429  stp	w4, w5, [sp, #0x24]
0xfffffff007e86f7c: e10f00f9  str	x1, [sp, #0x18]
0xfffffff007e86f80: 13008052  mov	w19, #0
0xfffffff007e86f84: a81d01b0  adrp	x8, #0xfffffff00a23b000
0xfffffff007e86f88: 08a11691  add	x8, x8, #0x5a8
0xfffffff007e86f8c: a91d01b0  adrp	x9, #0xfffffff00a23b000
0xfffffff007e86f90: 29b11691  add	x9, x9, #0x5ac
0xfffffff007e86f94: bf001472  tst	w5, #0x1000
0xfffffff007e86f98: 2801889a  csel	x8, x9, x8, eq
0xfffffff007e86f9c: e82700f9  str	x8, [sp, #0x48]
0xfffffff007e86fa0: 9ad038d5  mrs	x26, tpidr_el1
0xfffffff007e86fa4: 9b1b01d0  adrp	x27, #0xfffffff00a1f8000
0xfffffff007e86fa8: 7b231691  add	x27, x27, #0x588
0xfffffff007e86fac: 991c01b0  adrp	x25, #0xfffffff00a217000
0xfffffff007e86fb0: b5d2fff0  adrp	x21, #0xfffffff0078dd000
0xfffffff007e86fb4: 971b01d0  adrp	x23, #0xfffffff00a1f8000
0xfffffff007e86fb8: 981b01d0  adrp	x24, #0xfffffff00a1f8000
0xfffffff007e86fbc: fa1b00f9  str	x26, [sp, #0x30]
0xfffffff007e86fc0: e32f00b9  str	w3, [sp, #0x2c]
0xfffffff007e86fc4: 05000014  b	#0xfffffff007e86fd8
0xfffffff007e86fc8: 7f020071  cmp	w19, #0
0xfffffff007e86fcc: e0079f1a  cset	w0, ne
0xfffffff007e86fd0: 380efe97  bl	#0xfffffff007e0a8b0
0xfffffff007e86fd4: 73060011  add	w19, w19, #1
0xfffffff007e86fd8: 801b01b0  adrp	x0, #0xfffffff00a1f7000
0xfffffff007e86fdc: 00b03891  add	x0, x0, #0xe2c
0xfffffff007e86fe0: 749afc97  bl	#0xfffffff007dad9b0
0xfffffff007e86fe4: 681a01d0  adrp	x8, #0xfffffff00a1d4000
0xfffffff007e86fe8: 089545b9  ldr	w8, [x8, #0x594]
0xfffffff007e86fec: 288a0035  cbnz	w8, #0xfffffff007e88130
0xfffffff007e86ff0: 080080d2  mov	x8, #0
0xfffffff007e86ff4: 491b44b9  ldr	w9, [x26, #0x418]
0xfffffff007e86ff8: 8a1b01d0  adrp	x10, #0xfffffff00a1f8000
0xfffffff007e86ffc: 4a211591  add	x10, x10, #0x548
0xfffffff007e87000: 497de8c8  casa	x8, x9, [x10]
0xfffffff007e87004: 1f0100f1  cmp	x8, #0
0xfffffff007e87008: e1890054  b.ne	#0xfffffff007e88144
0xfffffff007e8700c: f33f00b9  str	w19, [sp, #0x3c]
0xfffffff007e87010: 080080d2  mov	x8, #0
0xfffffff007e87014: 491b44b9  ldr	w9, [x26, #0x418]
0xfffffff007e87018: 697fe8c8  casa	x8, x9, [x27]
0xfffffff007e8701c: 1f0100f1  cmp	x8, #0
0xfffffff007e87020: e1890054  b.ne	#0xfffffff007e8815c
0xfffffff007e87024: 13008052  mov	w19, #0
0xfffffff007e87028: 09008052  mov	w9, #0
0xfffffff007e8702c: 0b008052  mov	w11, #0
0xfffffff007e87030: bf431ab8  stur	wzr, [x29, #-0x5c]
0xfffffff007e87034: 0a008052  mov	w10, #0
0xfffffff007e87038: 280748b9  ldr	w8, [x25, #0x804]
0xfffffff007e8703c: 4c1c01b0  adrp	x12, #0xfffffff00a210000
0xfffffff007e87040: 8cf14db9  ldr	w12, [x12, #0xdf0]
0xfffffff007e87044: 08010c4b  sub	w8, w8, w12
0xfffffff007e87048: ec2b40b9  ldr	w12, [sp, #0x28]
0xfffffff007e8704c: 9f011472  tst	w12, #0x1000
0xfffffff007e87050: ac1d0190  adrp	x12, #0xfffffff00a23b000
0xfffffff007e87054: 8ca11691  add	x12, x12, #0x5a8
